phecodeX_code	phecodeX_label	phecodeX_simpleLabel	phecodeX_category
T913.5	Electrocution and nonfatal effects of electric current	electrocution and nonfatal effects of electric current	Trauma
T914	Maltreatment syndrome	maltreatment syndrome	Trauma
C920.1	Mechanical complication of cardiac electronic device	mechanical complication of cardiac electronic device	Complications of care
C920.2	Complication due to heart valve prosthesis	complication due to heart valve prosthesis	Complications of care
C920.3	Mechanical complication due to coronary bypass graft	mechanical complication due to coronary bypass graft	Complications of care
C920.5	Complication of other vascular device, implant, and graft	complication of other vascular device implant and graft	Complications of care
C920.6	Infection and inflammatory reaction due to cardiac device, implant, and graft	infection and inflammatory reaction due to cardiac device implant and graft	Complications of care
C921	Complication of nervous system device, implant, and graft	complication of nervous system device implant and graft	Complications of care
C922	Complication of genitourinary device, implant, and graft	complication of genitourinary device implant and graft	Complications of care
C922.1	Complication due to urethral [indwelling] catheter	complication due to urethral indwelling catheter	Complications of care
C922.2	Complication due to intrauterine contraceptive device	complication due to intrauterine contraceptive device	Complications of care
C923	Complication of internal orthopedic or prosthetic device, implant, and graft	complication of internal orthopedic or prosthetic device implant and graft	Complications of care
C924	Complication due to corneal graft or lens prosthesis	complication due to corneal graft or lens prosthesis	Complications of care
C925	Complication due to breast prosthesis	complication due to breast prosthesis	Complications of care
C926	Complication due to other tissue graft, not elsewhere classified	complication due to other tissue graft not elsewhere classified	Complications of care
C927	Complication due to other implant and internal device or procedure not elsewhere classified	complication due to other implant and internal device or procedure not elsewhere classified	Complications of care
C928	Transplanted organ or tissue	transplanted organ or tissue	Complications of care
C929	Complications of reattached extremity or body part	complications of reattached extremity or body part	Complications of care
C922.3	Infection and inflammatory reaction due to other genitourinary device, implant, and graft	infection and inflammatory reaction due to other genitourinary device implant and graft	Complications of care
C922.4	Infection and inflammatory reaction due to peritoneal dialysis catheter	infection and inflammatory reaction due to peritoneal dialysis catheter	Complications of care
C922.5	Other complications due to renal dialysis device, implant, and graft	other complications due to renal dialysis device implant and graft	Complications of care
333.8	Sleep disturbances	sleep disturbances	Neuro
C928.7	Transplanted intestine	transplanted intestine	Complications of care
333.55	Sleep terrors [night terrors]*	sleep terrors night terrors	Neuro
333.54	Sleepwalking [somnambulism]*	sleepwalking somnambulism	Neuro
C934	Digestive system complications	digestive system complications	Complications of care
C937	Vascular complications of procedure	vascular complications of procedure	Complications of care
C940	Postoperative shock	postoperative shock	Complications of care
C943	Wound complications of procedures	wound complications of procedures	Complications of care
C944	Other specified complications of procedures, not elsewhere classified	other specified complications of procedures not elsewhere classified	Complications of care
C945	Infection due to medical care	infection due to medical care	Complications of care
C944.1	Emphysema (subcutaneous) (surgical) resulting from a procedure	emphysema subcutaneous surgical resulting from a procedure	Complications of care
333.63	Sleep related bruxism	sleep related bruxism	Neuro
387.21	Progressive high (degenerative) myopia	progressive high degenerative myopia	Eye
C943.2	Disruption of wound	disruption of wound	Complications of care
C943.1	Accidental puncture or laceration during a procedure	accidental puncture or laceration during a procedure	Complications of care
C943.3	Foreign body accidentally left during a procedure	foreign body accidentally left during a procedure	Complications of care
C944.5	Persistent postoperative fistula	persistent postoperative fistula	Complications of care
C944.6	Air embolism as a complication of medical care, not elsewhere classified	air embolism as a complication of medical care not elsewhere classified	Complications of care
C945.1	Postoperative infection	postoperative infection	Complications of care
C945.2	Infection due to central venous catheter	infection due to central venous catheter	Complications of care
C945.3	Acute infection following transfusion, infusion, or injection	acute infection following transfusion infusion or injection	Complications of care
C946.1	ABO incompatibility reaction	abo incompatibility reaction	Complications of care
C946.2	Rh incompatibility reaction	rh incompatibility reaction	Complications of care
C946.3	Extravasation of vesicant agent	extravasation of vesicant agent	Complications of care
308	Signs and symptoms involving emotional state	signs and symptoms involving emotional state	Mental
333.62	Sleep related leg cramps	sleep related leg cramps	Neuro
688	Granulomatous disorder of the skin	granulomatous disorder of the skin	Derm
688.7	Abnormal granulation tissue, NOS	abnormal granulation tissue	Derm
004.1	Streptococcus pneumoniae	streptococcus pneumoniae	ID
687	Vascular disorders of the skin	vascular disorders of the skin	Derm
161.22	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	Blood
247.71	Hemochromatosis	hemochromatosis	Metab
673	Skin changes due to chronic exposure to nonionizing radiation	skin changes due to chronic exposure to nonionizing radiation	Derm
236.1	Obesity	obesity	Metab
247.7	Disorders of iron metabolism	disorders of iron metabolism	Metab
247.52	Hypercalcemia	hypercalcemia	Metab
200.9	Abnormal thyroid function studies	abnormal thyroid function studies	Endo
672	Other acute skin changes due to ultraviolet radiation	other acute skin changes due to ultraviolet radiation	Derm
T911.3	Heat cramps	heat cramps	Trauma
T911.4	Heat exhaustion	heat exhaustion	Trauma
333.6	Sleep related movement disorders	sleep related movement disorders	Neuro
672.1	Acute dermatitis due to solar radiation	acute dermatitis due to solar radiation	Derm
672.4	Disseminated superficial actinic porokeratosis (DSAP)	disseminated superficial actinic porokeratosis dsap	Derm
976.1	Malignant hyperthermia	malignant hyperthermia	Rx
976.3	Shock due to anesthesia not elsewhere classified	shock due to anesthesia not elsewhere classified	Rx
841.2	Allergy to anesthetic agent	allergy to anesthetic agent	Signs/Symptoms
960.1	Penicillins causing adverse effects in therapeutic use	penicillins causing adverse effects in therapeutic use	Rx
960.3	Erythromycin and other macrolides causing adverse effects in therapeutic use	erythromycin and other macrolides causing adverse effects in therapeutic use	Rx
960.4	Tetracycline group causing adverse effects in therapeutic use	tetracycline group causing adverse effects in therapeutic use	Rx
960.5	Cephalosporin group causing adverse effects in therapeutic use	cephalosporin group causing adverse effects in therapeutic use	Rx
960.6	Antimycobacterial antibiotics causing adverse effects in therapeutic use	antimycobacterial antibiotics causing adverse effects in therapeutic use	Rx
960.7	Antiviral drugs causing adverse effects in therapeutic use	antiviral drugs causing adverse effects in therapeutic use	Rx
960.8	Sulfonamides causing adverse effects in therapeutic use	sulfonamides causing adverse effects in therapeutic use	Rx
960.9	Antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use	antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use	Rx
960.2	Antifungal antibiotics causing adverse effects in therapeutic use	antifungal antibiotics causing adverse effects in therapeutic use	Rx
963.2	Adverse effect of salicylates	adverse effect of salicylates	Rx
963.3	Antirheumatics causing adverse effects in therapeutic use	antirheumatics causing adverse effects in therapeutic use	Rx
964.1	Anticonvulsants causing adverse effects in therapeutic use	anticonvulsants causing adverse effects in therapeutic use	Rx
964.2	Adverse effect of barbiturates	adverse effect of barbiturates	Rx
965.1	Antidepressants causing adverse effects in therapeutic use	antidepressants causing adverse effects in therapeutic use	Rx
965.2	Phenothiazine-based tranquilizers causing adverse effects in therapeutic use	phenothiazine-based tranquilizers causing adverse effects in therapeutic use	Rx
965.3	Butyrophenone-based tranquilizers causing adverse effects in therapeutic use	butyrophenone-based tranquilizers causing adverse effects in therapeutic use	Rx
333.53	Recurrent isolated sleep paralysis	recurrent isolated sleep paralysis	Neuro
965.5	Psychostimulants causing adverse effects in therapeutic use	psychostimulants causing adverse effects in therapeutic use	Rx
966	Adverse effects of central nervous system stimulants in therapeutic use	adverse effects of central nervous system stimulants in therapeutic use	Rx
967.1	Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use	parasympathomimetics cholinergics causing adverse effects in therapeutic use	Rx
967.2	Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use	parasympatholytics anticholinergics and antimuscarinics and spasmolytics causing adverse effects in therapeutic use	Rx
967.3	Sympathomimetics [adrenergics] causing adverse effects in therapeutic use	sympathomimetics adrenergics causing adverse effects in therapeutic use	Rx
967.4	Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use	sympatholytics antiadrenergics causing adverse effects in therapeutic use	Rx
333.52	REM sleep behavior disorder	rem sleep behavior disorder	Neuro
968.1	Cardiac rhythm regulators causing adverse effects in therapeutic use	cardiac rhythm regulators causing adverse effects in therapeutic use	Rx
968.2	Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use	cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use	Rx
968.3	Vasodilators causing adverse effects in therapeutic use	vasodilators causing adverse effects in therapeutic use	Rx
968.4	Other antihypertensive agents causing adverse effects in therapeutic use	other antihypertensive agents causing adverse effects in therapeutic use	Rx
970	Adverse effects of water, mineral, and uric acid metabolism drugs	adverse effects of water mineral and uric acid metabolism drugs	Rx
971.1	Antiasthmatics causing adverse effects in therapeutic use	antiasthmatics causing adverse effects in therapeutic use	Rx
975.1	Antiallergic and antiemetic drugs causing adverse effects in therapeutic use	antiallergic and antiemetic drugs causing adverse effects in therapeutic use	Rx
975.2	Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use	antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use	Rx
C948	Exposure and effects of radiation	exposure and effects of radiation	Complications of care
962.11	Heparin-induced thrombocytopenia (HIT)	heparin-induced thrombocytopenia hit	Rx
324.12	Secondary parkinsonism	secondary parkinsonism	Neuro
975.22	Antineoplastic chemotherapy induced anemia	antineoplastic chemotherapy induced anemia	Rx
975.23	Mucositis (ulcerative) due to antineoplastic therapy	mucositis ulcerative due to antineoplastic therapy	Rx
397	Other hearing abnormality	other hearing abnormality	Hearing
397.1	Tinnitus	tinnitus	Hearing
C922.6	Complication of implanted vaginal mesh	complication of implanted vaginal mesh	Complications of care
C946.4	Arthus phenomenon	arthus phenomenon	Complications of care
333.5	Parasomnia and sleep arousal Disorders	parasomnia and sleep arousal disorders	Neuro
840.17	Milk allergy	milk allergy	Signs/Symptoms
333.43	Circadian rhythm sleep disorder, jet lag or shift work type	circadian rhythm sleep disorder jet lag or shift work type	Neuro
840.1	Food allergy	food allergy	Signs/Symptoms
840.11	Peanut allergy	peanut allergy	Signs/Symptoms
840.2	Allergy to insects	allergy to insects	Signs/Symptoms
840.12	Seafood allergy	seafood allergy	Signs/Symptoms
840.13	Allergy to fruits and vegetables	allergy to fruits and vegetables	Signs/Symptoms
840.14	Tree nut allergy	tree nut allergy	Signs/Symptoms
840.15	Fish allergy	fish allergy	Signs/Symptoms
840.16	Allergy to food additives	allergy to food additives	Signs/Symptoms
298.1	Intermittent explosive disorder	intermittent explosive disorder	Mental
471.2	Deviated nasal septum	deviated nasal septum	Resp
840.18	Egg allergy	egg allergy	Signs/Symptoms
341.1	Cerebral palsy	cerebral palsy	Neuro
341.2	Hemiplegia and hemiparesis	hemiplegia and hemiparesis	Neuro
859.2	Neonatal jaundice from hepatocellular damage	neonatal jaundice from hepatocellular damage	Neonate
T840.13	Superior glenoid labrum lesion	superior glenoid labrum lesion	Trauma
859.1	Neonatal jaundice associated with preterm delivery	neonatal jaundice associated with preterm delivery	Neonate
308.5	Nervousness	nervousness	Mental
308.4	Demoralization and apathy	demoralization and apathy	Mental
308.3	Emotional lability	emotional lability	Mental
308.2	Impulsiveness	impulsiveness	Mental
308.1	Irritability	irritability	Mental
C944.8	Postprocedural fever	postprocedural fever	Complications of care
308.6	Excessive crying of child, adolescent, or adult	excessive crying of child adolescent or adult	Mental
825	Elevated C-reactive protein (CRP)	elevated c-reactive protein crp	Signs/Symptoms
333.2	Insomnia	insomnia	Neuro
830	Proteinuria	proteinuria	Signs/Symptoms
890	Lack of expected normal physiological development in childhood	lack of expected normal physiological development in childhood	Dev
333.11	Obstructive sleep apnea	obstructive sleep apnea	Neuro
890.1	Failure to thrive in childhood	failure to thrive in childhood	Dev
891.4	Delayed milestones	delayed milestones	Dev
890.3	Short stature	short stature	Dev
333.14	Idiopathic sleep related nonobstructive alveolar hypoventilation	idiopathic sleep related nonobstructive alveolar hypoventilation	Neuro
T860.2	Peripheral stem cells replaced by transplant	peripheral stem cells replaced by transplant	Trauma
249.3	Wild-type transthyretin-related (ATTRwt) amyloidosis*	wild-type transthyretin-related attrwt amyloidosis	Metab
440.12	Portal vein thrombosis	portal vein thrombosis	Cardio
468.4	Personal history of pneumonia (recurrent)	personal history of pneumonia recurrent	Resp
334.41	Third [oculomotor] nerve palsy	third oculomotor nerve palsy	Neuro
380.11	Optic neuritis	optic neuritis	Eye
375.14	Low-tension glaucoma (Normal-tension glaucoma)	low-tension glaucoma normal-tension glaucoma	Eye
333.13	High altitude periodic breathing	high altitude periodic breathing	Neuro
418.1	Abnormal electrocardiogram [ECG] [EKG]	abnormal electrocardiogram ecg ekg	Cardio
202.2	Type 2 diabetes	type 2 diabetes	Endo
290.1	Posttraumatic stress disorder	posttraumatic stress disorder	Mental
558	Abnormal findings on diagnostic imaging of the digestive tract	abnormal findings on diagnostic imaging of the digestive tract	GI
016	Chlamydia	chlamydia	ID
C945.4	Inflammation (infection) of postprocedural bleb	inflammation infection of postprocedural bleb	Complications of care
525.31	Lactose intolerance*	lactose intolerance	GI
232.27	Vitamin B12 deficiency	vitamin b12 deficiency	Metab
214.11	Premature menopause	premature menopause	Endo
352	Disturbances of sensation of smell and taste	disturbances of sensation of smell and taste	Neuro
333.12	Central sleep apnea	central sleep apnea	Neuro
375.7	Hypotony of eye	hypotony of eye	Eye
468.9	Lobar pneumonia*	lobar pneumonia	Resp
418	Abnormal results of cardiovascular function studies	abnormal results of cardiovascular function studies	Cardio
440.3	Pulmonary embolism	pulmonary embolism	Cardio
477.2	Hypersensitivity pneumonitis	hypersensitivity pneumonitis	Resp
296	Specific personality disorders	specific personality disorders	Mental
053	Parvovirus	parvovirus	ID
T860.3	Graft-versus-host disease	graft-versus-host disease	Trauma
T860.1	Bone marrow replaced by transplant	bone marrow replaced by transplant	Trauma
961.4	Adverse effect of antithyroid drugs	adverse effect of antithyroid drugs	Rx
857.5	Acute idiopathic pulmonary hemorrhage in infants [aiphi]	acute idiopathic pulmonary hemorrhage in infants aiphi	Neonate
333	Sleep disorders	sleep disorders	Neuro
750.13	Congenital reduction deformities of brain	congenital reduction deformities of brain	Cong
916.5	Infection of amniotic cavity	infection of amniotic cavity	Preg
916.51	Chorioamnionitis*	chorioamnionitis	Preg
922.2	Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium	thyroid dysfunction complicating pregnancy childbirth or the puerperium	Preg
908.3	Gestational [pregnancy-induced] hypertension without significant proteinuria	gestational pregnancy-induced hypertension without significant proteinuria	Preg
901.1	Ectopic pregnancy	ectopic pregnancy	Preg
331.7	Drug induced headache	drug induced headache	Neuro
917	Liver and biliary tract disorders in pregnancy	liver and biliary tract disorders in pregnancy	Preg
932.2	Central nervous system malformation in fetus affecting management of mother	central nervous system malformation in fetus affecting management of mother	Preg
162	Aplastic anemia	aplastic anemia	Blood
104.4	Malignant neoplasm of peripheral nerves*	malignant neoplasm of peripheral nerves	Neoplasms
464.2	Chronic nasopharyngitis	chronic nasopharyngitis	Resp
753.51	Absence of iris [Aniridia]	absence of iris aniridia	Cong
753.6	Congenital corneal malformations	congenital corneal malformations	Cong
753.61	Congenital corneal opacity	congenital corneal opacity	Cong
753.5	Congenital malformations of iris	congenital malformations of iris	Cong
755.6	Congenital absence, atresia and stricture of auditory canal*	congenital absence atresia and stricture of auditory canal	Cong
785	Congenital anomalies of limbs	congenital anomalies of limbs	Cong
763	Congenital malformation of stomach	congenital malformation of stomach	Cong
784.4	Congenital pes cavus*	congenital pes cavus	Cong
784.5	Congenital vertical talus deformity [Rocker bottom foot]	congenital vertical talus deformity rocker bottom foot	Cong
872.11	Congenital hypertonia*	congenital hypertonia	Neonate
863	Transitory neonatal endocrine disorders	transitory neonatal endocrine disorders	Neonate
369.44	Senile corneal changes including arcus senilis	senile corneal changes including arcus senilis	Eye
961.3	Adverse effect of thyroid hormones and substitutes	adverse effect of thyroid hormones and substitutes	Rx
891.2	Specific developmental disorders of scholastic skills	specific developmental disorders of scholastic skills	Dev
891.1	Specific developmental disorders of speech and language	specific developmental disorders of speech and language	Dev
891	Specific developmental disorders	specific developmental disorders	Dev
963.4	Adverse effect of other opioids	adverse effect of other opioids	Rx
964.4	Adverse effect of antiparkinsonism drugs and other central muscle-tone depressants	adverse effect of antiparkinsonism drugs and other central muscle-tone depressants	Rx
110.1	Malignant neoplasm of the thyroid	malignant neoplasm of the thyroid	Neoplasms
001	Salmonella	salmonella	ID
002	Staphylococcus	staphylococcus	ID
003	Escherichia coli	escherichia coli	ID
160.3	Protein-deficiency anemia	protein-deficiency anemia	Blood
011	Klebsiella	klebsiella	ID
012	Proteus	proteus	ID
004	Streptococcus	streptococcus	ID
005	Mycobacteria	mycobacteria	ID
486	Other respiratory disorders	other respiratory disorders	Resp
006	Neisseria	neisseria	ID
007	Hemophilus infection	hemophilus infection	ID
009	Pseudomonas	pseudomonas	ID
020	Borrelia	borrelia	ID
021	Rickettsia	rickettsia	ID
052	Herpesvirus	herpesvirus	ID
013	Mycoplasma	mycoplasma	ID
014	Bacteroides fragilis	bacteroides fragilis	ID
015	Clostridium	clostridium	ID
023	Vibrio	vibrio	ID
055	Poxvirus	poxvirus	ID
056	Human papillomavirus	human papillomavirus	ID
017	Bartonellosis	bartonellosis	ID
057	Retrovirus	retrovirus	ID
028	Bacillus	bacillus	ID
157.3	Multiple endocrine neoplasia [MEN] type IIB	multiple endocrine neoplasia men type iib	Neoplasms
018	Serratia	serratia	ID
168	Coagulation defects, purpura and other hemorrhagic conditions	coagulation defects purpura and other hemorrhagic conditions	Blood
109.1	Malignant neoplasm of eye	malignant neoplasm of eye	Neoplasms
109.2	Malignant neoplasm of meninges	malignant neoplasm of meninges	Neoplasms
109.12	Malignant neoplasm of lacrimal gland and duct	malignant neoplasm of lacrimal gland and duct	Neoplasms
109.3	Malignant neoplasm of brain	malignant neoplasm of brain	Neoplasms
109.4	Malignant neoplasm of spinal cord	malignant neoplasm of spinal cord	Neoplasms
109.11	Malignant neoplasm of orbit	malignant neoplasm of orbit	Neoplasms
239.1	Hypercholesterolemia	hypercholesterolemia	Metab
232.3	Vitamin C deficiency [Ascorbic acid]	vitamin c deficiency ascorbic acid	Metab
110.3	Malignant neoplasm of the parathyroid gland	malignant neoplasm of the parathyroid gland	Neoplasms
144.3	Benign neoplasms of the ovary	benign neoplasms of the ovary	Neoplasms
144.11	Benign neoplasms of the vulva	benign neoplasms of the vulva	Neoplasms
144.12	Benign neoplasms of the vagina	benign neoplasms of the vagina	Neoplasms
144.13	Benign neoplasms of the cervix	benign neoplasms of the cervix	Neoplasms
140	Benign neoplasm of the breast	benign neoplasm of the breast	Neoplasms
139.51	Lipomatosis*	lipomatosis	Neoplasms
144.1	Benign neoplasms of external female genital organs and cervix	benign neoplasms of external female genital organs and cervix	Neoplasms
144	Gynecological benign neoplasms	gynecological benign neoplasms	Neoplasms
177.12	Chronic lymphadenitis	chronic lymphadenitis	Blood
247.72	Iron deficiency	iron deficiency	Metab
148	Benign neoplasm of the eye, brain and other parts of central nervous system	benign neoplasm of the eye brain and other parts of central nervous system	Neoplasms
331.8	Headache NOS	headache	Neuro
220.1	Persistent hyperplasia of thymus	persistent hyperplasia of thymus	Endo
171.1	Lymphocytosis (symptomatic)	lymphocytosis symptomatic	Blood
171.2	Monocytosis (symptomatic)	monocytosis symptomatic	Blood
171.3	Plasmacytosis	plasmacytosis	Blood
171.4	Leukemoid reaction	leukemoid reaction	Blood
965.6	Malignant neuroleptic syndrome	malignant neuroleptic syndrome	Rx
247.81	Dietary selenium deficiency*	dietary selenium deficiency	Metab
892.4	Autistic disorder	autistic disorder	Dev
333.61	Periodic limb movement disorder	periodic limb movement disorder	Neuro
349.13	Abnormal findings on diagnostic imaging of skull and head	abnormal findings on diagnostic imaging of skull and head	Neuro
323.32	Progressive bulbar palsy	progressive bulbar palsy	Neuro
323.33	Primary lateral sclerosis	primary lateral sclerosis	Neuro
441	Arteriovenous malformation	arteriovenous malformation	Cardio
753.9	Congenital or developmental glaucoma	congenital or developmental glaucoma	Cong
333.51	Confusional arousals	confusional arousals	Neuro
333.4	Circadian rhythm sleep disorder	circadian rhythm sleep disorder	Neuro
871.1	Vomiting of newborn	vomiting of newborn	Neonate
871.2	Failure to thrive in newborn	failure to thrive in newborn	Neonate
380.5	Disorders of visual cortex	disorders of visual cortex	Eye
468.8	Bronchopneumonia	bronchopneumonia	Resp
396.1	Conductive hearing loss	conductive hearing loss	Hearing
403	Angina pectoris	angina pectoris	Cardio
333.1	Sleep apnea	sleep apnea	Neuro
343.1	Autonomic neuropathy	autonomic neuropathy	Neuro
401.61	Renovascular hypertension	renovascular hypertension	Cardio
404	Ischemic heart disease	ischemic heart disease	Cardio
404.11	Acute myocardial infarction	acute myocardial infarction	Cardio
727.8	Physeal arrest and disorders of bone development and growth*	physeal arrest and disorders of bone development and growth	Musc/Skel
441.1	Arteriovenous fistula	arteriovenous fistula	Cardio
443.2	Celiac artery compression syndrome	celiac artery compression syndrome	Cardio
326.3	Diffuse myelinoclastic sclerosis [Schilder's disease]	diffuse myelinoclastic sclerosis schilders disease	Neuro
122.11	Nodular sclerosis Hodgkin lymphoma	nodular sclerosis hodgkin lymphoma	Neoplasms
326.1	Multiple sclerosis	multiple sclerosis	Neuro
545	Nonspecific abnormal results of function study of liver	nonspecific abnormal results of function study of liver	GI
550.2	Cholecystitis	cholecystitis	GI
550.3	Gallbladder perforation	gallbladder perforation	GI
550	Disorders of the gallbladder	disorders of the gallbladder	GI
907.7	Placental infarction*	placental infarction	Preg
597.6	Urethral false passage	urethral false passage	Genitourinary
597.5	Urethral caruncle	urethral caruncle	Genitourinary
597.4	Urethral diverticulum	urethral diverticulum	Genitourinary
593.3	Recurrent and persistent hematuria*	recurrent and persistent hematuria	Genitourinary
593.4	Hematuria in other conditions*	hematuria in other conditions	Genitourinary
329.6	Transient global amnesia	transient global amnesia	Neuro
602.2	Cyst of prostate	cyst of prostate	Genitourinary
608.1	Abnormal findings in semen	abnormal findings in semen	Genitourinary
604.5	Balanoposthitis	balanoposthitis	Genitourinary
610.5	Mammary duct ectasia	mammary duct ectasia	Genitourinary
928	Poor fetal growth and uterine size date discrepancy	poor fetal growth and uterine size date discrepancy	Preg
904.3	Antepartum hemorrhage	antepartum hemorrhage	Preg
900.1	Spontaneous abortion	spontaneous abortion	Preg
900	Spontaneous abortion or history of recurrent pregnancy loss	spontaneous abortion or history of recurrent pregnancy loss	Preg
901.12	Tubal pregnancy	tubal pregnancy	Preg
901.11	Abdominal pregnancy	abdominal pregnancy	Preg
901.13	Ovarian pregnancy	ovarian pregnancy	Preg
904	Bleeding in pregnancy	bleeding in pregnancy	Preg
903	Preterm labor (including history of)	preterm labor including history of	Preg
907.1	Placenta previa	placenta previa	Preg
905	Premature rupture of membranes	premature rupture of membranes	Preg
N000	Liveborn infant	liveborn infant	Neonate
P003	Maternal postpartum care and examination	maternal postpartum care and examination	Preg
P001	Supervision of pregnancy	supervision of pregnancy	Preg
P002	Labor and delivery	labor and delivery	Preg
918	Pregnancy related renal disease	pregnancy related renal disease	Preg
807.11	Postviral fatigue syndrome*	postviral fatigue syndrome	Signs/Symptoms
947.6	Velamentous insertion of umbilical cord*	velamentous insertion of umbilical cord	Preg
916.1	Infections of genitourinary tract in pregnancy	infections of genitourinary tract in pregnancy	Preg
916.2	Viral diseases complicating pregnancy, childbirth, or the puerperium	viral diseases complicating pregnancy childbirth or the puerperium	Preg
926.1	Postpartum mood disturbance*	postpartum mood disturbance	Preg
329.5	Mild cognitive impairment, so stated	mild cognitive impairment so stated	Neuro
932.3	Genetic disease in fetus affecting management of mother	genetic disease in fetus affecting management of mother	Preg
942	False labor	false labor	Preg
944	Late pregnancy	late pregnancy	Preg
329.45	Frontal lobe and executive function deficit	frontal lobe and executive function deficit	Neuro
945	Rupture of uterus	rupture of uterus	Preg
950	Puerperal infection or fever	puerperal infection or fever	Preg
121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
941.2	Precipitate labor	precipitate labor	Preg
941.1	Uterine inertia	uterine inertia	Preg
665	Psoriasis	psoriasis	Derm
664	Papulosquamous disorders	papulosquamous disorders	Derm
664.1	Lichen planus, nitidus, or striatus	lichen planus nitidus or striatus	Derm
664.2	Pityriasis	pityriasis	Derm
200.5	Disorders of thyrocalcitonin secretion	disorders of thyrocalcitonin secretion	Endo
685.4	Prickly heat and miliaria	prickly heat and miliaria	Derm
685.5	Anhidrosis	anhidrosis	Derm
284	Suicide ideation and attempt or self harm	suicide ideation and attempt or self harm	Mental
371.32	Infantile and juvenile nuclear cataract	infantile and juvenile nuclear cataract	Eye
885.32	Moderate to late preterm, 35-36 weeks	moderate to late preterm 35-36 weeks	Neonate
754	Congenital anomalies of eyelids, lacrimal system, and orbit	congenital anomalies of eyelids lacrimal system and orbit	Cong
753.4	Coloboma	coloboma	Cong
758.1	Congenital facial asymmetry*	congenital facial asymmetry	Cong
N000.72	Quadruplet liveborn infant*	quadruplet liveborn infant	Neonate
371.31	Age-related nuclear cataract	age-related nuclear cataract	Eye
875	Newborn affected by maternal conditions	newborn affected by maternal conditions	Neonate
416.211	Paroxysmal atrial fibrillation*	paroxysmal atrial fibrillation	Cardio
832.9	Hypercalciuria*	hypercalciuria	Signs/Symptoms
329.44	Psychomotor deficit	psychomotor deficit	Neuro
431.13	Brain stem stroke syndrome*	brain stem stroke syndrome	Cardio
871	Feeding problems of newborn	feeding problems of newborn	Neonate
329.43	Visuospatial deficit	visuospatial deficit	Neuro
353.1	Hallucinations	hallucinations	Neuro
961.5	Adverse effect of oral contraceptives and ovarian hormones	adverse effect of oral contraceptives and ovarian hormones	Rx
832.6	Pyuria*	pyuria	Signs/Symptoms
832.7	Hypocitraturia*	hypocitraturia	Signs/Symptoms
964.3	Adverse effect of benzodiazepines	adverse effect of benzodiazepines	Rx
974.1	Postvaccination fever	postvaccination fever	Rx
329.42	Cognitive communication deficit	cognitive communication deficit	Neuro
002.1	Staphylococcus aureus	staphylococcus aureus	ID
104	Malignant sarcoma-related cancers	malignant sarcoma-related cancers	Neoplasms
217.4	Short stature due to endocrine disorder	short stature due to endocrine disorder	Endo
204	Elevated blood glucose level	elevated blood glucose level	Endo
232.1	Vitamin A deficiency	vitamin a deficiency	Metab
892	Pervasive developmental disorders	pervasive developmental disorders	Dev
463.21	Seasonal allergic rhinitis	seasonal allergic rhinitis	Resp
464	Nasopharyngitis	nasopharyngitis	Resp
462	Sinusitis	sinusitis	Resp
329.41	Attention and concentration deficit	attention and concentration deficit	Neuro
526	Intestinal infection	intestinal infection	GI
526.1	Bacterial enteritis	bacterial enteritis	GI
526.11	Intestinal e.coli	intestinal e.coli	GI
526.12	Intestinal infection due to C. difficile	intestinal infection due to c. difficile	GI
526.13	Shigellosis	shigellosis	GI
526.2	Viral enteritis	viral enteritis	GI
526.21	Rotaviral enteritis	rotaviral enteritis	GI
526.3	Intestinal infection due to protozoa	intestinal infection due to protozoa	GI
006.1	Neisseria meningitidis	neisseria meningitidis	ID
006.2	Neisseria gonorrhea	neisseria gonorrhea	ID
007.1	Hemophilus influenzae	hemophilus influenzae	ID
015.1	Clostridium perfringens	clostridium perfringens	ID
015.2	Clostridium difficile	clostridium difficile	ID
015.3	Clostridium botulinum	clostridium botulinum	ID
016.1	Chlamydia trachomatis	chlamydia trachomatis	ID
050.1	Poliovirus	poliovirus	ID
050.2	Coxsackie virus	coxsackie virus	ID
050.3	ECHO virus	echo virus	ID
050.4	Hand, foot, and mouth disease	hand foot and mouth disease	ID
050.5	Enteroviral vesicular pharyngitis	enteroviral vesicular pharyngitis	ID
052.1	Herpes simplex	herpes simplex	ID
096	Contact or exposure to infectious agent	contact or exposure to infectious agent	ID
052.3	Varicella zoster virus	varicella zoster virus	ID
052.4	Infectious mononucleosis	infectious mononucleosis	ID
052.5	Cytomegalovirus [CMV]	cytomegalovirus cmv	ID
052.6	Human herpesvirus 6 and 7	human herpesvirus 6 and 7	ID
025	Enterococcus	enterococcus	ID
024	Pertussis	pertussis	ID
055.1	Molluscum contagiosum	molluscum contagiosum	ID
