phecode1.2_code	phecode1.2_label	phecode1.2_simpleLabel	phecode1.2_category
427.8	Sinoatrial node dysfunction (Bradycardia)	sinoatrial node dysfunction bradycardia	circulatory system
427.9	Palpitations	palpitations	circulatory system
428	Congestive heart failure; nonhypertensive	congestive heart failure nonhypertensive	circulatory system
428.1	Congestive heart failure (CHF) NOS	congestive heart failure chf	circulatory system
428.2	Heart failure NOS	heart failure	circulatory system
428.3	Heart failure with reduced EF [Systolic or combined heart failure]	heart failure with reduced ef systolic or combined heart failure	circulatory system
428.4	Heart failure with preserved EF [Diastolic heart failure]	heart failure with preserved ef diastolic heart failure	circulatory system
429	Ill-defined descriptions and complications of heart disease	ill-defined descriptions and complications of heart disease	circulatory system
429.1	Heart transplant/surgery	heart transplantsurgery	circulatory system
429.2	Abnormal function study of cardiovascular system	abnormal function study of cardiovascular system	circulatory system
429.3	Symptoms involving cardiovascular system	symptoms involving cardiovascular system	circulatory system
429.9	Cardiac complications, not elsewhere classified	cardiac complications not elsewhere classified	circulatory system
430	Intracranial hemorrhage	intracranial hemorrhage	circulatory system
430.1	Subarachnoid hemorrhage	subarachnoid hemorrhage	circulatory system
430.2	Intracerebral hemorrhage	intracerebral hemorrhage	circulatory system
430.3	Subdural hemorrhage	subdural hemorrhage	circulatory system
433	Cerebrovascular disease	cerebrovascular disease	circulatory system
433.1	Occlusion and stenosis of precerebral arteries	occlusion and stenosis of precerebral arteries	circulatory system
433.11	Occlusion of cerebral arteries, with cerebral infarction	occlusion of cerebral arteries with cerebral infarction	circulatory system
433.12	Cerebral atherosclerosis	cerebral atherosclerosis	circulatory system
433.2	Occlusion of cerebral arteries	occlusion of cerebral arteries	circulatory system
433.21	Cerebral artery occlusion, with cerebral infarction	cerebral artery occlusion with cerebral infarction	circulatory system
433.3	Cerebral ischemia	cerebral ischemia	circulatory system
433.31	Transient cerebral ischemia	transient cerebral ischemia	circulatory system
433.32	Moyamoya disease	moyamoya disease	circulatory system
433.5	Cerebral aneurysm	cerebral aneurysm	circulatory system
433.6	Acute, but ill-defined cerebrovascular disease	acute but ill-defined cerebrovascular disease	circulatory system
433.8	Late effects of cerebrovascular disease	late effects of cerebrovascular disease	circulatory system
440	Atherosclerosis	atherosclerosis	circulatory system
440.1	Atherosclerosis of renal artery	atherosclerosis of renal artery	circulatory system
440.2	Atherosclerosis of the extremities	atherosclerosis of the extremities	circulatory system
440.21	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	atherosclerosis of native arteries of the extremities with ulceration or gangrene	circulatory system
440.22	Atherosclerosis of native arteries of the extremities with intermittent claudication	atherosclerosis of native arteries of the extremities with intermittent claudication	circulatory system
440.9	Atherosclerosis of aorta	atherosclerosis of aorta	circulatory system
441	Vascular insufficiency of intestine	vascular insufficiency of intestine	circulatory system
441.1	Acute vascular insufficiency of intestine	acute vascular insufficiency of intestine	circulatory system
441.2	Chronic vascular insufficiency of intestine	chronic vascular insufficiency of intestine	circulatory system
442	Other aneurysm	other aneurysm	circulatory system
442.1	Aortic aneurysm	aortic aneurysm	circulatory system
442.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	circulatory system
442.2	Aneurysm of iliac artery	aneurysm of iliac artery	circulatory system
442.3	Aneurysm of artery of lower extremity	aneurysm of artery of lower extremity	circulatory system
442.4	Arterial dissection	arterial dissection	circulatory system
442.8	Aneurysm of other specified artery	aneurysm of other specified artery	circulatory system
443	Peripheral vascular disease	peripheral vascular disease	circulatory system
443.1	Raynaud's syndrome	raynauds syndrome	circulatory system
443.7	Peripheral angiopathy in diseases classified elsewhere	peripheral angiopathy in diseases classified elsewhere	circulatory system
443.8	Other specified peripheral vascular diseases	other specified peripheral vascular diseases	circulatory system
443.9	Peripheral vascular disease, unspecified	peripheral vascular disease	circulatory system
444	Arterial embolism and thrombosis	arterial embolism and thrombosis	circulatory system
444.1	Arterial embolism and thrombosis of lower extremity artery	arterial embolism and thrombosis of lower extremity artery	circulatory system
444.2	Embolism and thrombosis of abdominal aorta	embolism and thrombosis of abdominal aorta	circulatory system
444.5	Atheroembolism	atheroembolism	circulatory system
446	Polyarteritis nodosa and allied conditions	polyarteritis nodosa and allied conditions	circulatory system
446.1	Thromboangiitis obliterans	thromboangiitis obliterans	circulatory system
446.2	Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	acute febrile mucocutaneous lymph node syndrome kawasaki disease	circulatory system
446.3	Hypersensitivity angiitis	hypersensitivity angiitis	circulatory system
446.4	Wegener's granulomatosis	wegeners granulomatosis	circulatory system
446.5	Giant cell arteritis	giant cell arteritis	circulatory system
446.6	Polyarteritis nodosa	polyarteritis nodosa	circulatory system
446.7	Takayasu's disease	takayasus disease	circulatory system
446.8	Thrombotic microangiopathy	thrombotic microangiopathy	circulatory system
446.9	Arteritis NOS	arteritis	circulatory system
447	Other disorders of arteries and arterioles	other disorders of arteries and arterioles	circulatory system
447.1	Stricture of artery	stricture of artery	circulatory system
447.7	Aortic ectasia	aortic ectasia	circulatory system
448	Disease of capillaries	disease of capillaries	circulatory system
450	Noninfectious disorders of lymphatic channels	noninfectious disorders of lymphatic channels	circulatory system
451	Phlebitis and thrombophlebitis	phlebitis and thrombophlebitis	circulatory system
451.2	Phlebitis and thrombophlebitis of lower extremities	phlebitis and thrombophlebitis of lower extremities	circulatory system
452	Other venous embolism and thrombosis	other venous embolism and thrombosis	circulatory system
452.1	Iatrogenic pulmonary embolism and infarction	iatrogenic pulmonary embolism and infarction	circulatory system
452.2	Deep vein thrombosis [DVT]	deep vein thrombosis dvt	circulatory system
452.8	Postphlebitic syndrome	postphlebitic syndrome	circulatory system
453	Chronic venous hypertension	chronic venous hypertension	circulatory system
454	Varicose veins	varicose veins	circulatory system
454.1	Varicose veins of lower extremity	varicose veins of lower extremity	circulatory system
454.11	Varicose veins of lower extremity, symptomtic	varicose veins of lower extremity symptomtic	circulatory system
455	Hemorrhoids	hemorrhoids	circulatory system
456	Chronic venous insufficiency [CVI]	chronic venous insufficiency cvi	circulatory system
457	Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin	encounter for long-term current use of anticoagulants antithrombotics aspirin	circulatory system
457.2	Encounter for long-term (current) use of antiplatelets/antithrombotics	encounter for long-term current use of antiplateletsantithrombotics	circulatory system
457.3	Encounter for long-term (current) use of aspirin	encounter for long-term current use of aspirin	circulatory system
458	Hypotension	hypotension	circulatory system
458.1	Orthostatic hypotension	orthostatic hypotension	circulatory system
458.2	Iatrogenic hypotension	iatrogenic hypotension	circulatory system
458.9	Hypotension NOS	hypotension	circulatory system
459	Other disorders of circulatory system	other disorders of circulatory system	circulatory system
459.1	Hemorrhage NOS	hemorrhage	circulatory system
459.7	Blood vessel replaced	blood vessel replaced	circulatory system
459.9	Circulatory disease NEC	circulatory disease nec	circulatory system
464	Acute sinusitis	acute sinusitis	respiratory
465	Acute upper respiratory infections of multiple or unspecified sites	acute upper respiratory infections of multiple orsites	respiratory
465.2	Acute pharyngitis	acute pharyngitis	respiratory
465.4	Acute laryngitis and tracheitis	acute laryngitis and tracheitis	respiratory
470	Septal Deviations/Turbinate Hypertrophy	septal deviationsturbinate hypertrophy	respiratory
471	Nasal polyps	nasal polyps	respiratory
472	Chronic pharyngitis and nasopharyngitis	chronic pharyngitis and nasopharyngitis	respiratory
473	Diseases of the larynx and vocal cords	diseases of the larynx and vocal cords	respiratory
473.1	Chronic laryngitis	chronic laryngitis	respiratory
473.3	Paralysis/spasm of vocal cords or larynx	paralysisspasm of vocal cords or larynx	respiratory
473.4	Voice disturbance	voice disturbance	respiratory
474	Acute and chronic tonsillitis	acute and chronic tonsillitis	respiratory
474.1	Acute tonsillitis	acute tonsillitis	respiratory
474.2	Chronic tonsillitis and adenoiditis	chronic tonsillitis and adenoiditis	respiratory
475	Chronic sinusitis	chronic sinusitis	respiratory
475.9	Postnasal drip	postnasal drip	respiratory
476	Allergic rhinitis	allergic rhinitis	respiratory
477	Epistaxis or throat hemorrhage	epistaxis or throat hemorrhage	respiratory
478	Throat pain	throat pain	respiratory
479	Other upper respiratory disease	other upper respiratory disease	respiratory
480	Pneumonia	pneumonia	respiratory
480.1	Bacterial pneumonia	bacterial pneumonia	respiratory
480.11	Pneumococcal pneumonia	pneumococcal pneumonia	respiratory
480.12	Pseudomonal pneumonia	pseudomonal pneumonia	respiratory
480.13	MRSA pneumonia	mrsa pneumonia	respiratory
480.2	Viral pneumonia	viral pneumonia	respiratory
480.3	Pneumonia due to fungus (mycoses)	pneumonia due to fungus mycoses	respiratory
480.5	Bronchopneumonia and lung abscess	bronchopneumonia and lung abscess	respiratory
481	Influenza	influenza	respiratory
483	Acute bronchitis and bronchiolitis	acute bronchitis and bronchiolitis	respiratory
495	Asthma	asthma	respiratory
495.1	Chronic obstructive asthma	chronic obstructive asthma	respiratory
495.11	Chronic obstructive asthma with exacerbation	chronic obstructive asthma with exacerbation	respiratory
495.2	Asthma with exacerbation	asthma with exacerbation	respiratory
496	Chronic airway obstruction	chronic airway obstruction	respiratory
496.1	Emphysema	emphysema	respiratory
496.2	Chronic bronchitis	chronic bronchitis	respiratory
496.21	Obstructive chronic bronchitis	obstructive chronic bronchitis	respiratory
496.3	Bronchiectasis	bronchiectasis	respiratory
497	Bronchitis	bronchitis	respiratory
498	Acute bronchospasm	acute bronchospasm	respiratory
499	Cystic fibrosis	cystic fibrosis	respiratory
500	Lung disease due to external agents	lung disease due to external agents	respiratory
500.1	Extrinsic allergic alveolitis	extrinsic allergic alveolitis	respiratory
500.2	Pneumoconiosis	pneumoconiosis	respiratory
501	Pneumonitis due to inhalation of food or vomitus	pneumonitis due to inhalation of food or vomitus	respiratory
502	Postinflammatory pulmonary fibrosis	postinflammatory pulmonary fibrosis	respiratory
503	Pulmonary congestion and hypostasis	pulmonary congestion and hypostasis	respiratory
504	Other alveolar and parietoalveolar pneumonopathy	other alveolar and parietoalveolar pneumonopathy	respiratory
504.1	Idiopathic fibrosing alveolitis	idiopathic fibrosing alveolitis	respiratory
505	Other pulmonary inflamation or edema	other pulmonary inflamation or edema	respiratory
506	Empyema and pneumothorax	empyema and pneumothorax	respiratory
507	Pleurisy; pleural effusion	pleurisy pleural effusion	respiratory
508	Pulmonary collapse; interstitial and compensatory emphysema	pulmonary collapse interstitial and compensatory emphysema	respiratory
509	Respiratory failure, insufficiency, arrest	respiratory failure insufficiency arrest	respiratory
509.1	Respiratory failure	respiratory failure	respiratory
509.2	Respiratory insufficiency	respiratory insufficiency	respiratory
509.3	Pulmonary insufficiency or respiratory failure following trauma and surgery	pulmonary insufficiency or respiratory failure following trauma and surgery	respiratory
509.5	Respiratory arrest	respiratory arrest	respiratory
509.8	Dependence on respirator [Ventilator] or supplemental oxygen	dependence on respirator ventilator or supplemental oxygen	respiratory
510	Other diseases of lung	other diseases of lung	respiratory
510.2	Lung transplant	lung transplant	respiratory
512	Other symptoms of respiratory system	other symptoms of respiratory system	respiratory
512.1	Wheezing	wheezing	respiratory
512.2	Painful respiration	painful respiration	respiratory
512.3	Abnormal chest sounds	abnormal chest sounds	respiratory
512.7	Shortness of breath	shortness of breath	respiratory
512.8	Cough	cough	respiratory
512.9	Other dyspnea	other dyspnea	respiratory
513	Respiratory abnormalities	respiratory abnormalities	respiratory
513.3	Hypoventilation	hypoventilation	respiratory
513.31	Apnea	apnea	respiratory
513.32	Orthopnea	orthopnea	respiratory
513.4	Hyperventilation	hyperventilation	respiratory
513.8	Disorders of diaphragm	disorders of diaphragm	respiratory
514	Abnormal findings examination of lungs	abnormal findings examination of lungs	respiratory
514.1	Abnormal results of function study of pulmonary system	abnormal results of function study of pulmonary system	respiratory
514.2	Solitary pulmonary nodule	solitary pulmonary nodule	respiratory
516	Abnormal sputum	abnormal sputum	respiratory
516.1	Hemoptysis	hemoptysis	respiratory
519	Other diseases of respiratory system, not elsewhere classified	other diseases of respiratory system not elsewhere classified	respiratory
519.1	Tracheostomy complications	tracheostomy complications	respiratory
519.2	Respiratory complications	respiratory complications	respiratory
519.8	Other diseases of respiratory system, NEC	other diseases of respiratory system nec	respiratory
519.9	Symptoms involving respiratory system and other chest symptoms	symptoms involving respiratory system and other chest symptoms	respiratory
520	Disorders of tooth development	disorders of tooth development	digestive
520.1	Hereditary disturbances in tooth structure	hereditary disturbances in tooth structure	digestive
520.2	Disturbances in tooth eruption	disturbances in tooth eruption	digestive
521	Diseases of hard tissues of teeth	diseases of hard tissues of teeth	digestive
521.1	Dental caries	dental caries	digestive
521.2	Dental abrasion, erosion and attrition	dental abrasion erosion and attrition	digestive
521.4	Tooth complications likely association with other diseases	tooth complications likely association with other diseases	digestive
522	Diseases of pulp and periapical tissues	diseases of pulp and periapical tissues	digestive
522.1	Pulpitis and necrosis of tooth pulp	pulpitis and necrosis of tooth pulp	digestive
522.5	Periapical abscess	periapical abscess	digestive
523	Gingival and periodontal diseases	gingival and periodontal diseases	digestive
523.1	Gingivitis	gingivitis	digestive
523.3	Periodontitis (acute or chronic)	periodontitis acute or chronic	digestive
523.31	Acute periodontitis	acute periodontitis	digestive
523.32	Chronic periodontitis	chronic periodontitis	digestive
524	Dentofacial anomalies, including malocclusion	dentofacial anomalies including malocclusion	digestive
524.3	Anomalies of tooth position/malocclusion	anomalies of tooth positionmalocclusion	digestive
525	Other diseases of the teeth and supporting structures	other diseases of the teeth and supporting structures	digestive
525.1	Loss of teeth or edentulism	loss of teeth or edentulism	digestive
525.2	Atrophy of edentulous alveolar ridge	atrophy of edentulous alveolar ridge	digestive
526	Diseases of the jaws	diseases of the jaws	digestive
526.1	Cysts of the jaws	cysts of the jaws	digestive
526.3	Anomalies of jaw size/symmetry	anomalies of jaw sizesymmetry	digestive
526.4	Temporomandibular joint disorders	temporomandibular joint disorders	digestive
526.41	Temporomandibular joint disorder, unspecified	temporomandibular joint disorder	digestive
526.42	Arthralgia/ankylosis of temporomandibular joint	arthralgiaankylosis of temporomandibular joint	digestive
526.5	Inflammatory conditions of jaw	inflammatory conditions of jaw	digestive
526.8	Exostosis of jaw	exostosis of jaw	digestive
526.9	Jaw disease NOS	jaw disease	digestive
527	Diseases of the salivary glands	diseases of the salivary glands	digestive
527.1	Hypertrophy of salivary gland	hypertrophy of salivary gland	digestive
527.2	Sialoadenitis	sialoadenitis	digestive
527.7	Disturbance of salivary secretion	disturbance of salivary secretion	digestive
527.8	Other specified diseases of the salivary glands	other specified diseases of the salivary glands	digestive
528	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	diseases of the oral soft tissues excluding lesions specific for gingiva and tongue	digestive
528.1	Stomatitis and mucositis	stomatitis and mucositis	digestive
528.11	Stomatitis and mucositis (ulcerative)	stomatitis and mucositis ulcerative	digestive
528.12	Oral aphthae	oral aphthae	digestive
528.3	Cellulitis and abscess of oral soft tissues	cellulitis and abscess of oral soft tissues	digestive
528.4	Cysts of oral soft tissues	cysts of oral soft tissues	digestive
528.41	Cyst of the salivary gland	cyst of the salivary gland	digestive
528.5	Diseases of lips	diseases of lips	digestive
528.6	Leukoplakia of oral mucosa	leukoplakia of oral mucosa	digestive
528.7	Sialolithiasis	sialolithiasis	digestive
529	Diseases and other conditions of the tongue	diseases and other conditions of the tongue	digestive
529.1	Glossitis	glossitis	digestive
529.6	Glossodynia	glossodynia	digestive
530	Diseases of esophagus	diseases of esophagus	digestive
530.1	Esophagitis, GERD and related diseases	esophagitis gerd and related diseases	digestive
530.11	GERD	gerd	digestive
530.12	Ulcer of esophagus	ulcer of esophagus	digestive
530.13	Barrett's esophagus	barretts esophagus	digestive
530.14	Reflux esophagitis	reflux esophagitis	digestive
530.15	Eosinophilic esophagitis	eosinophilic esophagitis	digestive
530.2	Esophageal bleeding (varices/hemorrhage)	esophageal bleeding variceshemorrhage	digestive
530.3	Stricture and stenosis of esophagus	stricture and stenosis of esophagus	digestive
530.5	Disorders of esophageal motility	disorders of esophageal motility	digestive
530.6	Diverticulum of esophagus, acquired	diverticulum of esophagus acquired	digestive
530.7	Gastroesophageal laceration-hemorrhage syndrome	gastroesophageal laceration-hemorrhage syndrome	digestive
530.9	Heartburn	heartburn	digestive
531	Peptic ulcer (excl. esophageal)	peptic ulcer excl. esophageal	digestive
531.1	Hemorrhage from gastrointestinal ulcer	hemorrhage from gastrointestinal ulcer	digestive
531.2	Gastric ulcer	gastric ulcer	digestive
531.3	Duodenal ulcer	duodenal ulcer	digestive
531.4	Peptic ulcer, site unspecified	peptic ulcer site	digestive
531.5	Gastrojejunal ulcer	gastrojejunal ulcer	digestive
532	Dysphagia	dysphagia	digestive
535	Gastritis and duodenitis	gastritis and duodenitis	digestive
535.1	Acute gastritis	acute gastritis	digestive
535.2	Atrophic gastritis	atrophic gastritis	digestive
535.6	Duodenitis	duodenitis	digestive
535.8	Other specified gastritis	other specified gastritis	digestive
535.9	Gastritis and duodenitis, NOS	gastritis and duodenitis	digestive
536	Disorders of function of stomach	disorders of function of stomach	digestive
536.3	Gastroparesis	gastroparesis	digestive
536.7	Complications of gastrostomy, colostomy and enterostomy	complications of gastrostomy colostomy and enterostomy	digestive
536.8	Dyspepsia and other specified disorders of function of stomach	dyspepsia and other specified disorders of function of stomach	digestive
537	Other disorders of stomach and duodenum	other disorders of stomach and duodenum	digestive
537.1	Lesions of stomach and duodenum	lesions of stomach and duodenum	digestive
539	Bariatric surgery	bariatric surgery	digestive
540	Appendiceal conditions	appendiceal conditions	digestive
540.1	Appendicitis	appendicitis	digestive
540.11	Acute appendicitis	acute appendicitis	digestive
550	Abdominal hernia	abdominal hernia	digestive
550.1	Inguinal hernia	inguinal hernia	digestive
550.2	Diaphragmatic hernia	diaphragmatic hernia	digestive
550.3	Femoral hernia	femoral hernia	digestive
550.4	Umbilical hernia	umbilical hernia	digestive
550.5	Ventral hernia	ventral hernia	digestive
550.6	Incisional hernia	incisional hernia	digestive
555	Inflammatory bowel disease and other gastroenteritis and colitis	inflammatory bowel disease and other gastroenteritis and colitis	digestive
555.1	Regional enteritis	regional enteritis	digestive
555.2	Ulcerative colitis	ulcerative colitis	digestive
555.21	Ulcerative colitis (chronic)	ulcerative colitis chronic	digestive
556	Ulceration of the lower GI tract	ulceration of the lower gi tract	digestive
556.1	Ulceration of intestine	ulceration of intestine	digestive
556.11	Angiodysplasia of intestine (without mention of hemorrhage)	angiodysplasia of intestine without mention of hemorrhage	digestive
557	Intestinal malabsorption (non-celiac)	intestinal malabsorption non-celiac	digestive
557.1	Celiac disease	celiac disease	digestive
558	Noninfectious gastroenteritis	noninfectious gastroenteritis	digestive
559	Ileostomy status	ileostomy status	digestive
560	Intestinal obstruction without mention of hernia	intestinal obstruction without mention of hernia	digestive
560.1	Paralytic ileus	paralytic ileus	digestive
560.2	Impaction of intestine	impaction of intestine	digestive
560.3	Peritoneal or intestinal adhesions	peritoneal or intestinal adhesions	digestive
560.4	Other intestinal obstruction	other intestinal obstruction	digestive
561	Symptoms involving digestive system	symptoms involving digestive system	digestive
561.1	Diarrhea	diarrhea	digestive
561.2	Flatulence	flatulence	digestive
562	Diverticulosis and diverticulitis	diverticulosis and diverticulitis	digestive
562.1	Diverticulosis	diverticulosis	digestive
562.2	Diverticulitis	diverticulitis	digestive
563	Constipation	constipation	digestive
564	Functional digestive disorders	functional digestive disorders	digestive
564.1	Irritable Bowel Syndrome	irritable bowel syndrome	digestive
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	abnormal findings on exam of gastrointestinal tract abdominal area	digestive
564.9	Personal history of diseases of digestive system	personal history of diseases of digestive system	digestive
565	Anal and rectal conditions	anal and rectal conditions	digestive
565.1	Anal and rectal polyp	anal and rectal polyp	digestive
567	Peritonitis and retroperitoneal infections	peritonitis and retroperitoneal infections	digestive
568	Other disorders of peritoneum	other disorders of peritoneum	digestive
568.1	Peritoneal adhesions (postoperative) (postinfection)	peritoneal adhesions postoperative postinfection	digestive
569	Other disorders of intestine	other disorders of intestine	digestive
569.1	Toxic gastroenteritis and colitis	toxic gastroenteritis and colitis	digestive
569.2	Gastrointestinal complications	gastrointestinal complications	digestive
571	Chronic liver disease and cirrhosis	chronic liver disease and cirrhosis	digestive
571.5	Other chronic nonalcoholic liver disease	other chronic nonalcoholic liver disease	digestive
571.51	Cirrhosis of liver without mention of alcohol	cirrhosis of liver without mention of alcohol	digestive
571.6	Primary biliary cirrhosis	primary biliary cirrhosis	digestive
571.8	Liver abscess and sequelae of chronic liver disease	liver abscess and sequelae of chronic liver disease	digestive
571.81	Portal hypertension	portal hypertension	digestive
572	Ascites (non malignant)	ascites non malignant	digestive
573	Other disorders of liver	other disorders of liver	digestive
573.1	Chronic passive congestion of liver	chronic passive congestion of liver	digestive
573.2	Liver replaced by transplant	liver replaced by transplant	digestive
573.3	Hepatomegaly	hepatomegaly	digestive
573.4	Acute and subacute necrosis of liver	acute and subacute necrosis of liver	digestive
573.5	Jaundice (not of newborn)	jaundice not of newborn	digestive
573.6	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	nonspecific elevation of levels of transaminase or lactic acid dehydrogenase ldh	digestive
573.7	Abnormal results of function study of liver	abnormal results of function study of liver	digestive
573.9	Abnormal serum enzyme levels	abnormal serum enzyme levels	digestive
574	Cholelithiasis and cholecystitis	cholelithiasis and cholecystitis	digestive
574.1	Cholelithiasis	cholelithiasis	digestive
574.11	Cholelithiasis with acute cholecystitis	cholelithiasis with acute cholecystitis	digestive
574.12	Cholelithiasis with other cholecystitis	cholelithiasis with other cholecystitis	digestive
574.2	Calculus of bile duct	calculus of bile duct	digestive
574.3	Cholecystitis without cholelithiasis	cholecystitis without cholelithiasis	digestive
575	Other biliary tract disease	other biliary tract disease	digestive
575.1	Cholangitis	cholangitis	digestive
575.2	Obstruction of bile duct	obstruction of bile duct	digestive
575.6	Cholesterolosis of gallbladder	cholesterolosis of gallbladder	digestive
575.7	Other disorders of gallbladder	other disorders of gallbladder	digestive
575.8	Other disorders of biliary tract	other disorders of biliary tract	digestive
575.9	Nonspecific abnormal findings on radiological and other examination of biliary tract	nonspecific abnormal findings on radiological and other examination of biliary tract	digestive
577	Diseases of pancreas	diseases of pancreas	digestive
577.1	Acute pancreatitis	acute pancreatitis	digestive
577.2	Chronic pancreatitis	chronic pancreatitis	digestive
577.3	Cyst and pseudocyst of pancreas	cyst and pseudocyst of pancreas	digestive
578	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	digestive
578.1	Hematemesis	hematemesis	digestive
578.2	Blood in stool	blood in stool	digestive
578.8	Hemorrhage of rectum and anus	hemorrhage of rectum and anus	digestive
578.9	Hemorrhage of gastrointestinal tract	hemorrhage of gastrointestinal tract	digestive
579	Other symptoms involving abdomen and pelvis	other symptoms involving abdomen and pelvis	digestive
579.2	Splenomegaly	splenomegaly	digestive
579.8	Nonspecific abnormal findings in stool contents	nonspecific abnormal findings in stool contents	digestive
580	Nephritis; nephrosis; renal sclerosis	nephritis nephrosis renal sclerosis	genitourinary
580.1	Glomerulonephritis	glomerulonephritis	genitourinary
580.11	Proliferative glomerulonephritis	proliferative glomerulonephritis	genitourinary
580.12	Non-proliferative glomerulonephritis	non-proliferative glomerulonephritis	genitourinary
580.13	Acute glomerulonephritis, NOS	acute glomerulonephritis	genitourinary
580.14	Chronic glomerulonephritis, NOS	chronic glomerulonephritis	genitourinary
580.2	Nephrotic syndrome without mention of glomerulonephritis	nephrotic syndrome without mention of glomerulonephritis	genitourinary
580.3	Nephritis and nephropathy without mention of glomerulonephritis	nephritis and nephropathy without mention of glomerulonephritis	genitourinary
580.31	Nephritis and nephropathy in diseases classified elsewhere	nephritis and nephropathy in diseases classified elsewhere	genitourinary
580.32	Nephritis and nephropathy with pathological lesion	nephritis and nephropathy with pathological lesion	genitourinary
580.4	Renal sclerosis, NOS	renal sclerosis	genitourinary
585	Renal failure	renal failure	genitourinary
585.1	Acute renal failure	acute renal failure	genitourinary
585.2	Renal failure NOS	renal failure	genitourinary
585.3	Chronic renal failure [CKD]	chronic renal failure ckd	genitourinary
585.31	Renal dialysis	renal dialysis	genitourinary
585.32	End stage renal disease	end stage renal disease	genitourinary
585.33	Chronic Kidney Disease, Stage III	chronic kidney disease stage iii	genitourinary
585.34	Chronic Kidney Disease, Stage IV	chronic kidney disease stage iv	genitourinary
585.4	Chronic kidney disease, Stage I or II	chronic kidney disease stage i or ii	genitourinary
586	Other disorders of the kidney and ureters	other disorders of the kidney and ureters	genitourinary
586.1	Anatomical abnormatilies of kidney and ureters	anatomical abnormatilies of kidney and ureters	genitourinary
586.11	Small kidney	small kidney	genitourinary
586.12	Vesicoureteral reflux	vesicoureteral reflux	genitourinary
586.2	Cyst of kidney, acquired	cyst of kidney acquired	genitourinary
586.3	Vascular disorders of kidney/hypertrophy	vascular disorders of kidneyhypertrophy	genitourinary
586.4	Stricture/obstruction of ureter	strictureobstruction of ureter	genitourinary
587	Kidney replaced by transpant	kidney replaced by transpant	genitourinary
588	Disorders resulting from impaired renal function	disorders resulting from impaired renal function	genitourinary
588.1	Renal osteodystrophy	renal osteodystrophy	genitourinary
588.2	Secondary hyperparathyroidism (of renal origin)	secondary hyperparathyroidism of renal origin	genitourinary
589	Abnormal results of function study of kidney	abnormal results of function study of kidney	genitourinary
590	Pyelonephritis	pyelonephritis	genitourinary
591	Urinary tract infection	urinary tract infection	genitourinary
592	Cystitis and urethritis	cystitis and urethritis	genitourinary
592.1	Cystitis	cystitis	genitourinary
592.11	Acute cystitis	acute cystitis	genitourinary
592.12	Chronic cystitis	chronic cystitis	genitourinary
592.13	Chronic interstitial cystitis	chronic interstitial cystitis	genitourinary
592.2	Urethritis and urethral syndrome	urethritis and urethral syndrome	genitourinary
592.21	Urethral syndrome	urethral syndrome	genitourinary
592.3	Urethral stricture due to infecton	urethral stricture due to infecton	genitourinary
593	Hematuria	hematuria	genitourinary
593.1	Gross hematuria	gross hematuria	genitourinary
593.2	Microscopic hematuria	microscopic hematuria	genitourinary
594	Urinary calculus	urinary calculus	genitourinary
594.1	Calculus of kidney	calculus of kidney	genitourinary
594.2	Calculus of lower urinary tract	calculus of lower urinary tract	genitourinary
594.3	Calculus of ureter	calculus of ureter	genitourinary
594.8	Renal colic	renal colic	genitourinary
595	Hydronephrosis	hydronephrosis	genitourinary
596	Other disorders of bladder	other disorders of bladder	genitourinary
596.1	Bladder neck obstruction	bladder neck obstruction	genitourinary
596.5	Functional disorders of bladder	functional disorders of bladder	genitourinary
597	Other disorders of urethra and urinary tract	other disorders of urethra and urinary tract	genitourinary
597.1	Urethral stricture (not specified as infectious)	urethral stricture not specified as infectious	genitourinary
597.2	Urinary complications NEC	urinary complications nec	genitourinary
597.8	Urethral hypermobility/ISD	urethral hypermobilityisd	genitourinary
598	Abnormal findings on examination of urine	abnormal findings on examination of urine	genitourinary
598.4	Other cells and casts in urine	other cells and casts in urine	genitourinary
598.9	Other nonspecific findings on examination of urine	other nonspecific findings on examination of urine	genitourinary
599	Other symptoms/disorders or the urinary system	other symptomsdisorders or the urinary system	genitourinary
599.1	Urinary obstruction	urinary obstruction	genitourinary
599.2	Retention of urine	retention of urine	genitourinary
599.3	Dysuria	dysuria	genitourinary
599.4	Urinary incontinence	urinary incontinence	genitourinary
599.5	Frequency of urination and polyuria	frequency of urination and polyuria	genitourinary
599.6	Oliguria and anuria	oliguria and anuria	genitourinary
599.7	Urethral discharge	urethral discharge	genitourinary
599.8	Other symptoms involving urinary system	other symptoms involving urinary system	genitourinary
599.9	Other abnormality of urination	other abnormality of urination	genitourinary
600	Hyperplasia of prostate	hyperplasia of prostate	genitourinary
601	Inflammatory diseases of prostate	inflammatory diseases of prostate	genitourinary
601.1	Prostatitis	prostatitis	genitourinary
601.11	Acute prostatitis	acute prostatitis	genitourinary
601.12	Chronic prostatitis	chronic prostatitis	genitourinary
