narrower,phecode1.2_label,hpo_label,phecode1.2_code,hpo_code
,Congenital anomalies of genital organs,Bilateral cryptorchidism,751.1,HP_0008689
,Other acute and subacute forms of ischemic heart disease,Coronary artery spasm,411.9,HP_0025497
,Anterior horn cell disease,Skeletal muscle atrophy,334.2,HP_0003202
,Other disorders of the kidney and ureters,Decreased numbers of nephrons,586,HP_0005563
,"Disorders of muscle, ligament, and fascia",Distal muscle weakness,728,HP_0002460
,Hyperplasia of prostate,Abnormality of the genitourinary system,600,HP_0000119
,Symptoms involving nervous and musculoskeletal systems,Abnormal posturing,781,HP_0002533
,Purpura and other hemorrhagic conditions,obsolete Anaphylactoid purpura,287,HP_0200144
,Vitamin B-complex deficiencies,Low levels of vitamin B2,261.2,HP_0100504
,Voice disturbance,Laryngeal dystonia,473.4,HP_0012049
,Hemoglobinuria,Aplastic anemia,285.8,HP_0001915
,Nonspecific findings on examination of blood,Elevated circulating C-reactive protein concentration,790,HP_0011227
,Strabismus and other disorders of binocular eye movements,Vestibular nystagmus,378,HP_0010542
,"Osteomyelitis, periostitis, and other infections involving bone",Salmonella osteomyelitis,710,HP_0005661
,Cleft palate,Bilateral cleft lip and palate,749.1,HP_0002744
,Alopecia Areata,Patchy alopecia,704.11,HP_0002232
,Symptoms affecting skin,Scaling skin,687,HP_0040189
,Dysuria,Dysuria,599.3,HP_0100518
,Diseases of hair and hair follicles,Scarring alopecia of scalp,704,HP_0004552
,Congenital anomalies of the eye,Ectopia pupillae,753,HP_0009918
,Congenital anomalies of great vessels,Cardiac total anomalous pulmonary venous connection,747.13,HP_0011720
,Congenital anomalies of the eye,Remnants of the hyaloid vascular system,753,HP_0007968
,Pulmonary heart disease,Pulmonary artery aneurysm,415,HP_0004937
,Arthropathy associated with other disorders classified elsewhere,Arthropathy,713,HP_0003040
,Ulcerative colitis,Colitis,555.2,HP_0002583
,Difficulty in walking,Difficulty walking,741.3,HP_0002355
,Delirium dementia and amnestic and other cognitive disorders,Psychotic episodes,290,HP_0000725
,Chronic pulmonary heart disease,Pulmonary embolism,415.2,HP_0002204
,Lymphoid leukemia,Hematological neoplasm,204.1,HP_0004377
,"Other diseases of respiratory system, not elsewhere classified",Mediastinal mass,519,HP_0033823
,Other congenital musculoskeletal anomalies,Short stature,756,HP_0004322
,"Congenital anomalies of upper limb, including shoulder girdle",Radial club hand,755.4,HP_0004059
,Fracture of ankle and foot,Fractured cuboid bone,801,HP_0041150
,Aphasia/speech disturbance,Agnosia,292.1,HP_0010524
,Disorders of the autonomic nervous system,Peripheral neuropathy,337,HP_0009830
,Hypotony of eye,Anterior chamber flare,360.3,HP_0031616
,Fluid overload,Hypervolemia,276.6,HP_0011105
,"Pathological, developmental or recurrent dislocation",Arthropathy,742.2,HP_0003040
,Pervasive developmental disorders,Motor stereotypy,313,HP_0000733
,Other congenital musculoskeletal anomalies,Osteopetrosis,756,HP_0011002
,Congenital anomalies of skull and face bones,Platybasia,749.2,HP_0002691
,Other sprains and strains,Joint dislocation,842,HP_0001373
,Delirium dementia and amnestic and other cognitive disorders,Psychosis,290,HP_0000709
,Hemorrhage or hematoma complicating a procedure,Abnormality of the gastrointestinal tract,850,HP_0011024
,Certain early complications of trauma or procedure,Pulmonary fat embolism,958,HP_0032008
,Cardiomyopathy,Cardiomyopathy,425,HP_0001638
,Lagophthalmos,Nocturnal lagophthalmos,374.2,HP_0030002
,Lower gastrointestinal congenital anomalies,Annular pancreas,750.2,HP_0001734
,"Benign neoplasm of lip, oral cavity, and pharynx",Neoplasm of the pharynx,210,HP_0100638
,Pericarditis,Pericardial effusion,420.2,HP_0001698
,Chronic renal failure [CKD],Renal insufficiency,585.3,HP_0000083
,Disorders of mineral metabolism,Metaphyseal widening,275,HP_0003016
,Hemoptysis,Cough,516.1,HP_0012735
,Cancer of liver and intrahepatic bile duct,Ovarian teratoma,155,HP_0012226
,Diseases of hair and hair follicles,obsolete Alopecia areata,704,HP_0002229
,Other retinal disorders,Lattice retinal degeneration,362,HP_0007992
,Other symptoms of respiratory system,Abnormal thorax morphology,512,HP_0000765
,Disorders of iris and ciliary body,obsolete Abnormal pupillary morphology,379.5,HP_0030960
,Spinocerebellar disease,Paraplegia,334.1,HP_0010550
,Primary/intrinsic cardiomyopathies,Endocardial fibroelastosis,425.1,HP_0001706
,Sensorineural hearing loss,Infantile sensorineural hearing impairment,389.1,HP_0008610
,Disorders resulting from impaired renal function,Abnormal joint morphology,588,HP_0001367
,Alcoholic liver damage,Decreased liver function,317.11,HP_0001410
,Diabetes mellitus,Diabetic ketoacidosis,250,HP_0001953
,Other congenital musculoskeletal anomalies,Metaphyseal dysplasia,756,HP_0100255
,Anatomical abnormatilies of kidney and ureters,Grade III vesicoureteral reflux,586.1,HP_0033737
,Congenital anomalies of face and neck,Protruding ear,749,HP_0000411
,Late effects of cerebrovascular disease,Dysphagia,433.8,HP_0002015
,Postlaminectomy syndrome,Herniation of intervertebral nuclei,722.8,HP_0008441
,Other hypertrophic and atrophic conditions of skin,Premature skin wrinkling,701,HP_0100678
,Polyglandular activity in multiple endocrine adenomatosis,Pheochromocytoma,259.8,HP_0002666
,Polyneuropathy in diabetes,Abnormal peripheral nervous system morphology,250.6,HP_0000759
,Abnormal heart sounds,Systolic heart murmur,396,HP_0031664
,Lower gastrointestinal congenital anomalies,Megaduodenum,750.2,HP_0030996
,Non-autoimmune hemolytic anemias,Hemolytic-uremic syndrome,283.2,HP_0005575
,Transitory tachypnea or apnea of newborn,Cheyne-Stokes respiration,656.26,HP_0012196
,Folate-deficiency anemia,Curly hair,281.13,HP_0002212
,Neurological disorders,Slurred speech,292,HP_0001350
,Myopathy,Abnormal peripheral nervous system morphology,359.2,HP_0000759
,Obstruction of bile duct,Intrahepatic cholestasis,575.2,HP_0001406
,Strabismus and other disorders of binocular eye movements,Internuclear ophthalmoplegia,378,HP_0030773
,Other specified congenital anomalies of kidney,Horseshoe kidney,751.22,HP_0000085
,Skin cancer,Neoplasm of the skin,172,HP_0008069
,Disturbances of amino-acid transport,Methylmalonic aciduria,270.1,HP_0012120
,Appendicitis,Abnormality of the gastrointestinal tract,540.1,HP_0011024
,Cardiac dysrhythmias,Cardiorespiratory arrest,427,HP_0006543
,Congenital anomalies of intestine,Ectopic anus,750.21,HP_0004397
,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,Neoplasm of the small intestine,159,HP_0100833
,Torsion dystonia,Orofacial dyskinesia,333.4,HP_0002310
,Other disorders of thyroid,Goiter,246,HP_0000853
,Fracture of lower limb,Fractured fibula,800,HP_0041222
,Suicidal ideation,Suicidal ideation,297.1,HP_0031589
,Respiratory failure,Respiratory insufficiency,509.1,HP_0002093
,Other heart block,First degree atrioventricular block,426.25,HP_0011705
,Chronic tonsillitis and adenoiditis,Increased size of nasopharyngeal adenoids,474.2,HP_0040261
,Other perinatal conditions of fetus or newborn,Hypomagnesemia,656,HP_0002917
,Disorders of plasma protein metabolism,Carcinoma,270.3,HP_0030731
,Hypercholesterolemia,Hypercholesterolemia,272.11,HP_0003124
,Neural tube defects,Frontal encephalocele,752.1,HP_0007330
,"Other disorders of synovium, tendon, and bursa",Congenital contracture,727,HP_0002803
,Benign neoplasm of other endocrine glands and related structures,Pituitary macroadenoma,227,HP_0025693
,Cardiac and circulatory congenital anomalies,Hypoplastic right heart,747,HP_0010954
,Other congenital musculoskeletal anomalies,Gastroschisis,756,HP_0001543
,Lack of coordination,Dyssynergia,350.3,HP_0010867
,Other hypertrophic and atrophic conditions of skin,Sclerodactyly,701,HP_0011838
,Meniere's disease,Vertigo,386.1,HP_0002321
,Heart valve disorders,Congenital mitral stenosis,395,HP_0011570
,Hearing loss,Hearing impairment,389,HP_0000365
,Nervous system congenital anomalies,Lissencephaly,752,HP_0001339
,Visual field defects,Binasal hemianopia,368.4,HP_0030520
,Decubitus ulcer,Pressure ulcer,707.1,HP_0012399
,Benign neoplasm of other parts of digestive system,Glucagonoma,211,HP_0030404
,Acute vascular insufficiency of intestine,Abnormality of the gastrointestinal tract,441.1,HP_0011024
,Diseases of hair and hair follicles,White forelock,704,HP_0002211
,Retinal vascular changes and abnomalities,Posterior retinal neovascularization,362.4,HP_0007778
,Bladder neck obstruction,Congenital posterior urethral valve,596.1,HP_0010957
,Other disorders of cervical region,Rhinorrhea,723,HP_0031417
,Disturbances of amino-acid transport,Intervertebral disk calcification,270.1,HP_0005645
,Acute pericarditis,Pericarditis,420.21,HP_0001701
,Premenopausal menorrhagia,Metrorrhagia,627.4,HP_0100608
,Other disorders of eye,Uveitis,379,HP_0000554
,Viral warts & HPV,Plantar warts,078,HP_0033005
,Other disorders of stomach and duodenum,Gastroparesis,537,HP_0002578
,Hematological disorders of newborn,Congenital hemolytic anemia,656.5,HP_0004804
,Alcohol-related disorders,Abnormality of the gastrointestinal tract,317,HP_0011024
,Disorders of adrenal glands,Primary hyperaldosteronism,255,HP_0011736
,Congenital osteodystrophies,Abnormal joint morphology,756.5,HP_0001367
,Congenital musculoskeletal deformities of spine,Cervical C2/C3 vertebral fusion,754,HP_0004602
,Nervous system congenital anomalies,Frontal encephalocele,752,HP_0007330
,Cardiac congenital anomalies,Dextrocardia,747.1,HP_0001651
,Aplastic anemia,Hypoplastic anemia,284,HP_0001908
,"Pulmonary embolism and infarction, acute",Pulmonary fat embolism,415.11,HP_0032008
,Congenital anomalies of great vessels,Persistent left superior vena cava,747.13,HP_0005301
,Other arthropathies,Polyarticular arthritis,716,HP_0005764
,Reticulosarcoma,Lymphoma,202.22,HP_0002665
,Pituitary hypofunction,Panhypopituitarism,253.2,HP_0000871
,Disorders of carbohydrate transport and metabolism,Trimethylaminuria,271,HP_0003614
,Colorectal cancer,Anal canal neoplasm,153,HP_0030437
,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),Prolactinoma,227.3,HP_0040278
,Alcoholism,Psychosis,317.1,HP_0000709
,Respiratory conditions of fetus and newborn,Pneumothorax,656.2,HP_0002107
,Fibroadenosis of breast,Fibroadenoma of the breast,610.2,HP_0010619
,Digestive congenital anomalies,Esophageal web,750,HP_0100594
,Abnormal findings on examination of urine,Acute kidney injury,598,HP_0001919
,Fracture of ankle and foot,Fractured foot bone,801,HP_0041162
,Benign neoplasm of ovary,Ovarian neoplasm,220,HP_0100615
,Other perinatal conditions of fetus or newborn,Grade III preterm intraventricular hemorrhage,656,HP_0030750
,Alcohol-related disorders,Chronic hepatic failure,317,HP_0100626
,Myoclonus,Myoclonic seizure,333.2,HP_0032794
,Nystagmus and other irregular eye movements,Nystagmus,378.2,HP_0000639
,Other mental disorder,Behavioral abnormality,306,HP_0000708
,Bronchitis,Chronic bronchitis,497,HP_0004469
,Neoplasm of uncertain behavior,Pinealoma,199,HP_0010799
,Cancer of other endocrine glands,Pinealoma,194,HP_0010799
,Rheumatic disease of the heart valves,Tricuspid regurgitation,394,HP_0005180
,Acquired hemolytic anemias,Hemolytic anemia,283,HP_0001878
,"Injury, NOS",Bone fracture,1009,HP_0020110
,Nervous system congenital anomalies,Focal cortical dysplasia,752,HP_0032046
,Corns and callosities,Abnormality of the skin,700,HP_0000951
,"Benign neoplasm of brain, cranial nerves, meninges",Carcinoma,225.1,HP_0030731
,Nephritis; nephrosis; renal sclerosis,Renal insufficiency,580,HP_0000083
,Alpha-1-antitrypsin deficiency,Abnormality of the liver,270.34,HP_0001392
,"Osteoarthrosis, localized, primary",Abnormal joint morphology,740.11,HP_0001367
,"Chronic Kidney Disease, Stage IV",Chronic kidney disease,585.34,HP_0012622
,Kyphosis (acquired),Morbus Scheuermann,737.1,HP_0010891
,Arthropathy associated with other disorders classified elsewhere,Polyarticular arthritis,713,HP_0005764
,Migraine,Cluster headache,340,HP_0012199
,"Effects of heat, cold and air pressure",Chilblains,1014,HP_0009710
,Dermatomyositis,Heliotrope rash,709.5,HP_0040324
,"Uveitis, noninfectious or NOS",Retinitis,371.1,HP_0032118
,Cervical cancer and dysplasia,Cervical dysplasia,180,HP_0032131
,Congenital pigmentary anomalies of skin,Mastocytosis,691.3,HP_0100495
,Congenital anomalies of urinary system,Renal dysplasia,751.2,HP_0000110
,Acute bronchitis and bronchiolitis,Subglottic laryngitis,483,HP_0033000
,Abnormality of red blood cells,Abnormal erythrocyte morphology,289.9,HP_0001877
,Coagulation defects,Prolonged whole-blood clotting time,286,HP_0005542
,Other perinatal conditions of fetus or newborn,Ileus,656,HP_0002595
,Cardiac and circulatory congenital anomalies,Scimitar anomaly,747,HP_0011626
,Viral hepatitis,Decreased liver function,070,HP_0001410
,Epilepsy,Infantile spasms,345.1,HP_0012469
,Dementia with cerebral degenerations,Alzheimer disease,290.12,HP_0002511
,Contracture of joint,Wrist flexion contracture,739,HP_0001239
,Hypertrophy of breast (Gynecomastia),Abnormality of the genitourinary system,612.2,HP_0000119
,Malignant neoplasm of testis,Ovarian teratoma,187.2,HP_0012226
,Disorders of protein plasma/amino-acid transport and metabolism,Leukemia,270,HP_0001909
,Secondary malignant neoplasm of liver,Neuroendocrine neoplasm,198.4,HP_0100634
,Other conditions of brain,Chiari malformation,348,HP_0002308
,Idiopathic fibrosing alveolitis,Pulmonary fibrosis,504.1,HP_0002206
,Renal failure,Acute kidney injury,585,HP_0001919
,Generalized convulsive epilepsy,Seizure,345.11,HP_0001250
,Chromosomal anomalies and genetic disorders,Testicular dysgenesis,758,HP_0008715
,Other intestinal obstruction,Intestinal obstruction,560.4,HP_0005214
,"Congenital anomalies of upper limb, including shoulder girdle",Radioulnar synostosis,755.4,HP_0002974
,Congenital anomalies of skull and face bones,Macrocephaly at birth,749.2,HP_0004488
,Stiffness of joint,Muscle stiffness,741.2,HP_0003552
,"Melanomas of skin, dx or hx",Acral lentiginous melanoma,172.1,HP_0012060
,Other acquired musculoskeletal deformity,Spondylolysis,738,HP_0003304
,Aphasia/speech disturbance,Apraxia,292.1,HP_0002186
,Other forms of chronic heart disease,Abnormality of the cardiovascular system,414,HP_0001626
,Disorders of tooth development,Odontodysplasia,520,HP_0000694
,Benign neoplasm of other parts of digestive system,Ovarian teratoma,211,HP_0012226
,Other specified peripheral vascular diseases,Peripheral arterial stenosis,443.8,HP_0004950
,Phlebitis and thrombophlebitis,Arterial thrombosis,451,HP_0004420
,Other intestinal obstruction,Functional intestinal obstruction,560.4,HP_0005249
,Intracerebral hemorrhage,Subarachnoid hemorrhage,430.2,HP_0002138
,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",Colon cancer,153.3,HP_0003003
,Rheumatic disease of the heart valves,Tricuspid stenosis,394,HP_0010446
,Disorders of lipoid metabolism,Hyperlipoproteinemia,272,HP_0010980
,Inguinal hernia,Abnormality of the gastrointestinal tract,550.1,HP_0011024
,Amblyopia,Strabismus,368.1,HP_0000486
,Symptoms involving nervous and musculoskeletal systems,Weight loss,781,HP_0001824
,Mental retardation,Motor delay,315.3,HP_0001270
,Mycoses,Cryptococcal meningitis,117,HP_0032160
,Congenital anomalies of posterior segment of eye,Lymphangioma,753.2,HP_0100764
,Spondylosis and allied disorders,Spondylolysis,721,HP_0003304
,Cardiac and circulatory congenital anomalies,Coarctation of aorta,747,HP_0001680
,Ischemic Heart Disease,Hemopericardium,411,HP_0011851
,Subjective visual disturbances,Metamorphopsia,368.9,HP_0012508
,Abnormal heart sounds,Holosystolic murmur,396,HP_0031667
,Strabismus and other disorders of binocular eye movements,Rotary nystagmus,378,HP_0001583
,Congenital anomalies of the eye,Anophthalmia,753,HP_0000528
,Renal failure NOS,Renal insufficiency,585.2,HP_0000083
,"Keratoderma, acquired",Hyperkeratosis lenticularis perstans,701.1,HP_0007570
,Cardiac conduction disorders,Abnormal EKG,426,HP_0003115
,Pain and other symptoms associated with female genital organs,Vaginismus,625,HP_0030017
,Strabismus and other disorders of binocular eye movements,Exodeviation,378,HP_0020049
,Acute pulmonary heart disease,Pulmonary embolism,415.1,HP_0002204
,Spina bifida,Meningocele,752.11,HP_0002435
,Other intestinal obstruction,Abnormality of the gastrointestinal tract,560.4,HP_0011024
,Mental retardation,Behavioral abnormality,315.3,HP_0000708
,Proteinuria,Lambda Bence Jones proteinuria,269,HP_0032303
,Cardiac and circulatory congenital anomalies,Truncus arteriosus,747,HP_0001660
,Lymphosarcoma,Leukemia,202.23,HP_0001909
,Alopecia Areata,obsolete Alopecia areata,704.11,HP_0002229
,Sideroblastic anemia,Abnormality of blood and blood-forming tissues,285.3,HP_0001871
,Other disorders of testis,Encysted hydrocele of the cord,603,HP_4000036
,Atrial fibrillation,Atrial fibrillation,427.21,HP_0005110
,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas",Abnormality of the gallbladder,750.22,HP_0005264
,Other disorders of eyelids,Upper eyelid coloboma,374,HP_0000636
,Other cardiac conduction disorders,Atrioventricular dissociation,426.8,HP_0011709
,Tuberculosis,Otitis media,010,HP_0000388
,Cardiac dysrhythmias,Polymorphic ventricular tachycardia,427,HP_0031677
,Other hypertrophic and atrophic conditions of skin,Cutaneous horn,701,HP_0033510
,Pathologic fracture,Fractured lower leg,743.2,HP_0041081
,"Osteoarthrosis, generalized",Bouchard's node,740.2,HP_0012314
,"Epilepsy, recurrent seizures, convulsions",Pseudoseizure,345,HP_0033053
,Acquired foot deformities,Talipes equinovarus,735,HP_0001762
,Atrophy of edentulous alveolar ridge,Atrophy of alveolar ridges,525.2,HP_0006308
,Vascular dementia,Alzheimer disease,290.16,HP_0002511
,Hemorrhage of fetus or newborn,Intraventricular hemorrhage,656.4,HP_0030746
,Abdominal hernia,Femoral hernia,550,HP_0100541
,Type 1 diabetes with renal manifestations,Diabetes mellitus,250.12,HP_0000819
,Complication of internal orthopedic device,Pseudoarthrosis,858,HP_0005864
,Pityriasis,Skin rash,696.3,HP_0000988
,Other acquired deformities of limbs,Deviation of finger,736,HP_0004097
,Other disorders of arteries and arterioles,Pulmonary arteriovenous malformation,447,HP_0006548
,Manlignant and unknown neoplasms of brain and nervous system,Astrocytoma,191,HP_0009592
,Anterior horn cell disease,Spinal muscular atrophy,334.2,HP_0007269
,Sleep apnea,Hypersomnia,327.3,HP_0100786
,Hyperlipidemia,Hypertriglyceridemia,272.1,HP_0002155
,Splenomegaly,Hypersplenism,579.2,HP_0001971
,Crystal arthropathies,Chondrocalcinosis,274.2,HP_0000934
,Partial epilepsy,obsolete Gray matter heterotopias,345.12,HP_0002281
,Complex regional/central pain syndrome,Pain,355,HP_0012531
,Retinopathy of prematurity,Retinopathy of prematurity pre-plus,362.1,HP_0500063
,Inflammatory diseases of prostate,Prostatitis,601,HP_0000024
,Benign neoplasm of thyroid glands,Thyroid carcinoma,226,HP_0002890
,Diabetes type 1 with peripheral circulatory disorders,Type I diabetes mellitus,250.15,HP_0100651
,Anomalies of tooth position/malocclusion,Dental malocclusion,524.3,HP_0000689
,Fracture of lower limb,Fractured patella,800,HP_0041237
,Cancer of urinary organs (incl. kidney and bladder),Renal cell carcinoma,189,HP_0005584
,Other disorders of lipoid metabolism,Hypocholesterolemia,277.5,HP_0003146
,Gastrointestinal hemorrhage,Melena,578,HP_0002249
,Congenital anomaly of fingers/toes,Hand polydactyly,755.3,HP_0001161
,Hemorrhage during pregnancy; childbirth and postpartum,Antepartum hemorrhage,635,HP_0025328
,Oliguria and anuria,Decreased urine output,599.6,HP_0011037
,Ptosis of eyelid,Blepharochalasis,374.3,HP_0010749
,Unspecified erythematous condition,Erythroderma,695.9,HP_0001019
,Ischemic Heart Disease,Arteriovenous fistula,411,HP_0004947
,Disorders of the pituitary gland and its hypothalamic control,Precocious puberty,253,HP_0000826
,Mental retardation,Intellectual disability,315.3,HP_0001249
,Other hypertrophic and atrophic conditions of skin,Skeletal myopathy,701,HP_0003756
,Manlignant and unknown neoplasms of brain and nervous system,Spinal cord tumor,191,HP_0010302
,Conductive hearing loss,Mild conductive hearing impairment,389.2,HP_0008598
,Congenital anomalies of genital organs,Hypoplasia of the uterus,751.1,HP_0000013
,Fasciitis,Dupuytren contracture,728.7,HP_0005679
,Type 1 diabetes with ketoacidosis,Diabetic ketoacidosis,250.11,HP_0001953
,Traumatic cataract,Abnormality of the lens,366.3,HP_0000517
,Skull and face fracture and other intercranial injury,Bone fracture,819,HP_0020110
,Aphasia/speech disturbance,Neurological speech impairment,292.1,HP_0002167
,Congenital anomalies of the integument,Concave nail,757,HP_0001598
,Nervous system congenital anomalies,Spina bifida occulta at S1,752,HP_0004614
,Hemorrhage of rectum and anus,Anal fissure,578.8,HP_0012390
,Hemoglobinuria,Hemoglobinuria,285.8,HP_0003641
,Alcoholic liver damage,Hepatic fibrosis,317.11,HP_0001395
,Other symptoms/disorders or the urinary system,Polyuria,599,HP_0000103
,Digestive congenital anomalies,Aganglionic megacolon,750,HP_0002251
,Acquired deformities of forearm,Abnormal joint morphology,736.1,HP_0001367
,Disorders of calcium/phosphorus metabolism,Nephrocalcinosis,275.5,HP_0000121
,"Chorioretinal inflammations, scars, and other disorders of choroid",Chorioretinal scar,363,HP_0007777
,Rheumatic disease of the heart valves,Mitral valve prolapse,394,HP_0001634
,Symptoms involving cardiovascular system,Weak pulse,429.3,HP_0032553
,Cardiac conduction disorders,Trifascicular block,426,HP_0011715
,Pathologic fracture of vertebrae,Aneurysmal bone cyst,743.21,HP_0012063
,Noninfectious disorders of lymphatic channels,Lymphedema,450,HP_0001004
,Other anemias,Heinz body anemia,285,HP_0005511
,"Paroxysmal tachycardia, unspecified",Arrhythmia,427.1,HP_0011675
,Hypertensive chronic kidney disease,Hypertension,401.22,HP_0000822
,Central origin vertigo,Postural instability,386.21,HP_0002172
,Other perinatal conditions of fetus or newborn,Abnormal left ventricular function,656,HP_0005162
,Other disorders of eyelids,Hyperpigmentation of eyelids,374,HP_0007406
,Disorders resulting from impaired renal function,Abnormality of the genitourinary system,588,HP_0000119
,Torus fracture,Bone fracture,823,HP_0020110
,Disorders of amino-acid metabolism,Hydroxyprolinemia,270.2,HP_0003260
,Peripheral autonomic neuropathy,Sensory neuropathy,337.1,HP_0000763
,Other non-epithelial cancer of skin,Neoplasm of the skin,172.2,HP_0008069
,Schmorl's nodes,Schmorl's node,722.3,HP_0030041
,Ischemic Heart Disease,Atherosclerosis,411,HP_0002621
,Develomental delays and disorders,Receptive aphasia,315,HP_0033848
,Vesicoureteral reflux,Abnormality of the genitourinary system,586.12,HP_0000119
,"Conjunctivitis, infectious",Allergic conjunctivitis,369.5,HP_0007879
,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas",Annular pancreas,750.22,HP_0001734
,Substance addiction and disorders,Psychosis,316,HP_0000709
,Pancreatic cancer,Neoplasm of the pancreas,157,HP_0002894
,Hodgkin's disease,Neoplasm,201,HP_0002664
,Gingivitis,Gingival recession,523.1,HP_0030816
,Cardiac dysrhythmias,Ventricular tachycardia,427,HP_0004756
,Diseases of esophagus,Esophageal spasms,530,HP_0025271
,Primary/intrinsic cardiomyopathies,Myofibrillar myopathy,425.1,HP_0003715
,Symbolic dysfunction,Dyslexia,292.12,HP_0010522
,Trigeminal nerve disorders [CN5],Abnormal cranial nerve morphology,352.1,HP_0001291
,Glucocorticoid deficiency,Decreased circulating aldosterone level,255.21,HP_0004319
,Valvular heart disease/ heart chambers,Bicuspid aortic valve,747.12,HP_0001647
,Congenital anomalies of genital organs,Absent uvula,751.1,HP_0010292
,Colorectal cancer,Intestinal polyposis,153,HP_0200008
,Hypopotassemia,Hypokalemia,276.14,HP_0002900
,Neurofibromatosis,Carcinoma,199.4,HP_0030731
,Diseases of spleen,Hypersplenism,289.5,HP_0001971
,Other congenital musculoskeletal anomalies,Fetal akinesia sequence,756,HP_0001989
,Chromosomal anomalies,Testicular dysgenesis,758.1,HP_0008715
,Congenital anomalies of posterior segment of eye,Chorioretinal coloboma,753.2,HP_0000567
,Other benign neoplasm of connective and other soft tissue,Desmoid tumors,215,HP_0100245
,Hereditary hemolytic anemias,Hemolytic anemia,282,HP_0001878
,Congenital anomalies of the eye,Abnormally large globe,753,HP_0001090
,Congenital musculoskeletal deformities of spine,Fused cervical vertebrae,754,HP_0002949
,Mood disorders,Mania,296,HP_0100754
,Pyogenic granuloma,Abnormality of the skin,686.4,HP_0000951
,"Cyst of kidney, acquired",Renal cyst,586.2,HP_0000107
,Benign neoplasm of brain and other parts of nervous system,Brain neoplasm,225,HP_0030692
,Epilepsy,Focal impaired awareness seizure,345.1,HP_0002384
,Aneurysm and dissection of heart,obsolete Coronary atherosclerosis,411.41,HP_0004929
,Disorders of the pituitary gland and its hypothalamic control,Increased circulating prolactin concentration,253,HP_0000870
,Strabismus and other disorders of binocular eye movements,External ophthalmoplegia,378,HP_0000544
,Corneal dystrophy,Recurrent corneal erosions,364.5,HP_0000495
,Urethral stricture due to infecton,Bulbar urethral stricture,592.3,HP_0025415
,Fracture of patella,Fractured lower leg,800.4,HP_0041081
,Alopecia,Frontal balding,704.1,HP_0002292
,Hemoptysis,Diffuse alveolar hemorrhage,516.1,HP_0025420
,"Derangement of joint, non-traumatic",Recurrent shoulder dislocation,742,HP_0031610
,Other specified congenital anomalies of nervous system,Mild microcephaly,752.2,HP_0040196
,Dislocation,Ectopia lentis,830,HP_0001083
,"Disorders of muscle, ligament, and fascia",Distal arthrogryposis,728,HP_0005684
,Corneal ulcer,Corneal erosion,370.1,HP_0200020
,Other and unspecified congenital anomalies,Arterial tortuosity,759,HP_0005116
,Insomnia,Terminal insomnia,327.4,HP_0031356
,Nervous system congenital anomalies,Hydrocephalus,752,HP_0000238
,"Hemangioma and lymphangioma, any site",Cystic hygroma,228,HP_0000476
,Disorders of adrenal glands,Adrenal insufficiency,255,HP_0000846
,Coagulation defects,Resistance to activated protein C,286,HP_0012175
,Disorders of the pituitary gland and its hypothalamic control,Abnormality of the pituitary gland,253,HP_0012503
,Respiratory conditions of fetus and newborn,Apnea of prematurity,656.2,HP_0034236
,Other disorders of liver,Hepatic failure,573,HP_0001399
,"Anomalies of respiratory system, congenital",Traction bronchiectasis,748,HP_0032969
,Other disorders of eye,obsolete Abnormal pupillary morphology,379,HP_0030960
,Ichthyosis congenita,Congenital nonbullous ichthyosiform erythroderma,691.1,HP_0007479
,Polycythemia vera,Myeloproliferative disorder,200.1,HP_0005547
,Acute dermatitis due to solar radiation,Solar urticaria,938.1,HP_0410137
,Chromosomal anomalies and genetic disorders,Aplasia of the thymus,758,HP_0005359
,Other perinatal conditions of fetus or newborn,Hypotonia,656,HP_0001252
,Congenital anomalies of great vessels,Infracardiac total anomalous pulmonary venous connection,747.13,HP_0011721
,Inflammatory and toxic neuropathy,Neoplasm of the peripheral nervous system,357,HP_0100007
,Congenital anomalies of limbs,Rocker bottom foot,755,HP_0001838
,Myoclonus,Muscle fibrillation,333.2,HP_0010546
,Congenital anomalies of skull and face bones,Mandibulofacial dysostosis,749.2,HP_0005321
,Other symptoms involving abdomen and pelvis,Abnormal fecal pH,579,HP_0032488
,Disorders of protein plasma/amino-acid transport and metabolism,Abnormality of blood and blood-forming tissues,270,HP_0001871
,Strabismus and other disorders of binocular eye movements,Exophoria,378,HP_0025313
,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",Malignant neoplasm of the central nervous system,153.3,HP_0100836
,Maternal complication of pregnancy affecting fetus or newborn,Single umbilical artery,658,HP_0001195
,Renal failure,Stage 4 chronic kidney disease,585,HP_0012626
,Hematuria,Abnormality of the genitourinary system,593,HP_0000119
,Hemarthrosis,Abnormal joint morphology,741.5,HP_0001367
,Chronic airway obstruction,Chronic pulmonary obstruction,496,HP_0006510
,Malignant neoplasm of ovary and other uterine adnexa,Carcinoma,184.1,HP_0030731
,"Other conditions of brain, NOS",Encephalopathy,348.9,HP_0001298
,Altered mental status,Diminished mental health,292.4,HP_0033667
,Muscular dystrophies and other myopathies,Arthropathy,359,HP_0003040
