phecode1.2_label	hpo_label	phecode1.2_code	hpo_code
Benign neoplasm of colon	Choroid plexus papilloma	208	HP_0200022
Secondary malignancy of bone	Carotid paraganglioma	198.6	HP_0100635
Myeloid leukemia	Lymphoma	204.2	HP_0002665
Disorders of the autonomic nervous system	Polyneuropathy	337	HP_0001271
Mild cognitive impairment	Transient global amnesia	292.2	HP_0010534
Colorectal cancer	Pancreatic endocrine tumor	153	HP_0030405
Mitral valve disease	Mitral valve prolapse	394.2	HP_0001634
Retinal vascular changes and abnomalities	Branch retinal artery occlusion	362.4	HP_0020161
Disorders of the globe	Leukocoria	360	HP_0000555
Other disorders of eyelids	Subretinal hemorrhage	374	HP_0025243
Epilepsy	Focal aware sensory seizure with olfactory features	345.1	HP_0032797
Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	Torticollis	293.1	HP_0000473
Arterial embolism and thrombosis	Foam cells	444	HP_0003651
Intestinal helminthiases	Intracranial dermoid cyst	134.1	HP_0012097
Inflammatory diseases of female pelvic organs	Vaginitis	614	HP_0030683
Cardiac congenital anomalies	Situs inversus with levocardia	747.1	HP_0031592
Iron deficiency anemias, unspecified or not due to blood loss	Compensated hemolytic anemia	280.1	HP_0004863
Abnormal findings on study of brain and/or nervous system	EEG with polyspike wave complexes	346	HP_0002392
Other disorders of thyroid	Aplasia/Hypoplasia of the thyroid gland	246	HP_0033079
Congenital anomalies of limbs	Symphalangism affecting the proximal phalanx of the 5th finger	755	HP_0009232
Epilepsy, recurrent seizures, convulsions	Focal aware emotional seizure with fear/anxiety/panic	345	HP_0032738
Excessive or frequent menstruation	Polymenorrhea	626.12	HP_0400007
Symptoms involving nervous and musculoskeletal systems	Apraxia	781	HP_0002186
Other disorders of liver	Post-angioplasty coronary artery restenosis	573	HP_0004761
Leukemia	Acute myeloid leukemia	204	HP_0004808
Other perinatal conditions of fetus or newborn	Subarachnoid hemorrhage	656	HP_0002138
Other disorders of metabolism	Acute leukemia	277	HP_0002488
Malignant neoplasm of small intestine, including duodenum	Multiple pancreatic beta-cell adenomas	159.2	HP_0008194
Other disorders of metabolism	Hypouricemia	277	HP_0003537
Diseases of white blood cells	Primary central nervous system lymphoma	288	HP_0030069
Congenital anomalies of upper limb, including shoulder girdle	Accessory lunate	755.4	HP_0004249
Malignant neoplasm of ovary and other uterine adnexa	Sacrococcygeal teratoma	184.1	HP_0030736
Kyphosis (acquired)	Spinal deformities	737.1	HP_0008443
Lack of coordination	Orofacial action-specific dystonia induced by speech	350.3	HP_0031007
Acute pain	Lower limb pain	338.1	HP_0012514
Other forms of chronic heart disease	Type III atherosclerotic lesion	414	HP_0031681
Coagulation defects complicating pregnancy or postpartum	Reduced coagulation factor V activity	286.3	HP_0003225
Other perinatal conditions of fetus or newborn	Type I diabetes mellitus	656	HP_0100651
Hypovolemia	Dehydration	276.5	HP_0001944
Viral hepatitis C	Hepatitis	070.3	HP_0012115
Acute renal failure	Renal papillary necrosis	585.1	HP_0032632
Congenital anomalies of mouth/tongue	Paramedian lip pit	750.13	HP_0100269
Traumatic cataract	Polar cataract	366.3	HP_0010696
Nephritis and nephropathy without mention of glomerulonephritis	Tubulointerstitial viral infiltration	580.3	HP_0032636
Premenstrual tension syndromes	Abnormality of the genitourinary system	626.4	HP_0000119
Precocious sexual development and puberty NEC	Premature adrenarche	259.4	HP_0012412
Delayed milestones	Disproportionate short stature	264.3	HP_0003498
Other and unspecified congenital anomalies	Sirenomelia	759	HP_0010497
Paralytic strabismus	Exophoria	378.5	HP_0025313
Chronic pulmonary heart disease	Pulmonary venous hypertension	415.2	HP_0030950
Myeloid leukemia	T-cell lymphoma	204.2	HP_0012190
Senile cataract	Coronary cataract	366.2	HP_0025559
Coagulation defects	Vitreous hemorrhage	286	HP_0007902
Hearing loss	Mild neurosensory hearing impairment	389	HP_0008587
Simple and unspecified goiter	Activating thyroid-stimulating hormone receptor defect	240	HP_0011790
Stiffness of joint	Sacroiliac arthritis	741.2	HP_0012317
Malignant neoplasm of renal pelvis	Papillary renal cell carcinoma type 1	189.12	HP_0011797
Dyschromia and Vitiligo	Epidermal nevus	694	HP_0010816
Gastritis and duodenitis	Atrophic gastritis	535	HP_0002582
Extrapyramidal disease and abnormal movement disorders	Spinal myoclonus	333	HP_0010531
Curvature of spine	Thoracic scoliosis	737	HP_0002943
Antepartum hemorrhage, abruptio placentae, and placenta previa	Antepartum hemorrhage	635.2	HP_0025328
Other endocrine disorders	Precocious puberty in females	259	HP_0010465
Peripheral retinal degenerations	High myopia	362.6	HP_0011003
Cancer, suspected or other	Hip pain	195	HP_0030838
Myasthenia gravis	Motor polyneuropathy	358.1	HP_0007178
Disorders of refraction and accommodation; blindness and low vision	Latent hypermetropia	367	HP_0500042
Cachexia	Cachexia	260.1	HP_0004326
Other and unspecified coagulation defects	Joint hemorrhage	286.7	HP_0005261
Strabismus (not specified as paralytic)	Consecutive exotropia	378.1	HP_0031718
Cardiac conduction disorders	P mitrale	426	HP_0031599
Visual disturbances	Abnormal kinetic perimetry test	368	HP_0030591
Respiratory failure, insufficiency, arrest	Respiratory insufficiency	509	HP_0002093
Paralytic strabismus	obsolete Abducens palsy	378.5	HP_0011349
Coagulation defects complicating pregnancy or postpartum	Reduced quantity of Von Willebrand factor	286.3	HP_0012147
Broken tooth	Fused teeth	873	HP_0011090
Pulmonary heart disease	Pulmonary arteriovenous fistulas	415	HP_0004952
Disorders of muscle, ligament, and fascia	Intercostal muscle weakness	728	HP_0004878
Coagulation defects	Increased factor VIII activity	286	HP_0030977
Other congenital musculoskeletal anomalies	Redundant skin in infancy	756	HP_0007595
Diabetes mellitus	Macular edema	250	HP_0040049
Strabismus and other disorders of binocular eye movements	Alternating hypotropia	378	HP_0500078
Coagulation defects complicating pregnancy or postpartum	Abnormal factor VIII activity	286.3	HP_0030976
Contracture of palmar fascia [Dupuytren's disease]	Contracture of the distal interphalangeal joint of the 2nd finger	728.71	HP_0009538
Epilepsy, recurrent seizures, convulsions	Repeated focal motor seizures	345	HP_0032665
Aphasia/speech disturbance	Laryngeal dystonia	292.1	HP_0012049
Carcinoid syndrome	Pulmonary carcinoid tumor	259.2	HP_0030445
Qualitative platelet defects	Platelet anisocytosis	287.4	HP_0032438
Hypothyroidism	Thyroid nodule	244	HP_0025388
Diseases of white blood cells	Decreased proportion of CD8-positive T cells	288	HP_0005415
Dyschromia and Vitiligo	Diffuse telangiectasia	694	HP_0007489
Degenerative disease of the spinal cord	Cervical spina bifida	334	HP_0005857
Hearing loss	Prelingual sensorineural hearing impairment	389	HP_0000399
Myeloid leukemia, chronic	Acute monocytic leukemia	204.22	HP_0004845
Degenerative and vascular disorders of ear	Profound hearing impairment	389.3	HP_0012715
Disorders of plasma protein metabolism	Polyarticular arthropathy	270.3	HP_0005195
Arthropathy associated with neurological disorders	Type I diabetes mellitus	713.5	HP_0100651
Disorders of the pituitary gland and its hypothalamic control	Micropenis	253	HP_0000054
Dyschromia and Vitiligo	Punctate vasculitis skin lesions	694	HP_0200030
Genitourinary congenital anomalies	Multiple bladder diverticula	751	HP_0012619
Other disorders of metabolism	Myelodysplasia	277	HP_0002863
Vascular hamartomas and non-neoplastic nevi	Plaque-like facial hemangioma	217	HP_0007434
Fracture of ribs	Fractured epiphysis of third metacarpal bone	807	HP_0041191
Disorders of protein plasma/amino-acid transport and metabolism	Cutaneous T-cell lymphoma	270	HP_0012192
Corneal opacity and other disorders of cornea	Granular corneal dystrophy	364	HP_0007802
Myoclonus	Labiomental fasciculations	333.2	HP_0032507
Cancer of kidney and renal pelvis	Papillary renal cell carcinoma type 2	189.1	HP_0006732
Suppurative and unspecified otitis media	Acute otitis media	381.11	HP_0000371
Central origin vertigo	Severe sensorineural hearing impairment	386.21	HP_0008625
Abnormal findings on study of brain and/or nervous system	EEG with periodic complexes	346	HP_0010856
Acquired hypothyroidism	Positive perchlorate discharge test	244.2	HP_0025482
Other symptoms/disorders or the urinary system	Elevated urinary 3-methylcrotonylglycine level	599	HP_0033596
Benign neoplasm of colon	Midline central nervous system lipomas	208	HP_0006866
Muscular dystrophies	Myotonia of the upper limb	359.1	HP_0012903
Inflammatory bowel disease and other gastroenteritis and colitis	Abnormality of the gastrointestinal tract	555	HP_0011024
Nephritis; nephrosis; renal sclerosis	Stage 1 chronic kidney disease	580	HP_0012623
Amblyopia	Exodeviation	368.1	HP_0020049
Complex regional/central pain syndrome	Abdominal cramps	355	HP_0032155
Pervasive developmental disorders	Psychotic mentation	313	HP_0001345
Disorders of calcium/phosphorus metabolism	Hypophosphatemic rickets	275.5	HP_0004912
Hyperglyceridemia	Coronary artery atherosclerosis	272.12	HP_0001677
Diseases of nail, NOS	Toenail dysplasia	703	HP_0100797
Paraproteinemia	Decreased serum complement C9	270.32	HP_0012308
Rheumatic disease of the heart valves	Cardiac valve calcification	394	HP_0005146
Disorders of plasma protein metabolism	Renal glomerular amyloid deposition	270.3	HP_0032614
Diseases of white blood cells	Absence of CD8-positive T cells	288	HP_0005422
Nephritis; nephrosis; renal sclerosis	Renal cortical necrosis	580	HP_0025418
Thyroiditis	Thyroid C cell hyperplasia	245	HP_0011781
Genitourinary congenital anomalies	Urachus fistula	751	HP_0100525
Rheumatoid arthritis and other inflammatory polyarthropathies	Gout	714	HP_0001997
Failure to thrive (childhood)	Delayed puberty	264.2	HP_0000823
Tics and stuttering	Tongue thrusting	313.2	HP_0100703
Corneal opacity and other disorders of cornea	Punctate opacification of the cornea	364	HP_0007856
Abnormal involuntary movements	Chorea	350.1	HP_0002072
Lower gastrointestinal congenital anomalies	Hepatic agenesis	750.2	HP_0100839
Substance addiction and disorders	Methamphetamine addiction	316	HP_0033519
Other disorders of eye	Ectopia lentis	379	HP_0001083
Diseases of the larynx and vocal cords	Laryngeal stenosis	473	HP_0001602
Other disorders of eye	Lentiglobus	379	HP_0011527
Malignant neoplasm of rectum, rectosigmoid junction, and anus	Glucagonoma	153.3	HP_0030404
Sleep disorders	Parasomnia	327	HP_0025234
Other hypertensive complications	Increased blood pressure	401.3	HP_0032263
Palpitations	Paroxysmal atrial tachycardia	427.9	HP_0006671
Other diseases of respiratory system, not elsewhere classified	Mediastinal mass	519	HP_0033823
Cardiac pacemaker/device in situ	Palpitations	426.9	HP_0001962
Anomalous atrioventricular excitation	Supraventricular tachycardia with a manifest accessory pathway on the septum	426.4	HP_0011698
Nonspecific findings on examination of blood	Autoimmune thrombocytopenia	790	HP_0001973
Chronic thyroiditis	Euthyroid goiter	245.2	HP_0009798
Congenital osteodystrophies	Arthropathy	756.5	HP_0003040
Sleep disorders	Somnambulism	327	HP_0025236
Visual disturbances	Heteronymous hemianopia	368	HP_0030517
Abnormal movement	Spinal myoclonus	350	HP_0010531
Qualitative platelet defects	Impaired collagen-related peptide-induced platelet aggregation	287.4	HP_0031128
Hematemesis	Prolonged partial thromboplastin time	578.1	HP_0003645
Extrapyramidal disease and abnormal movement disorders	Action tremor	333	HP_0002345
Cardiac shunt/ heart septal defect	Muscular ventricular septal aneurysm	747.11	HP_0030959
Parkinson's disease	Hemiballismus	332	HP_0100248
Neoplasm of uncertain behavior	Carotid paraganglioma	199	HP_0100635
Villonodular synovitis	Polyarticular arthritis	741.6	HP_0005764
Other and unspecified disorders of the nervous system	Ependymoma	349	HP_0002888
Secondary malignant neoplasm of digestive systems	Glomus tympanicum paraganglioma	198.3	HP_0006715
Gout and other crystal arthropathies	Polyarticular arthritis	274	HP_0005764
Other benign neoplasm of uterus	Optic nerve sheath meningioma	218.2	HP_0500089
Idiopathic fibrosing alveolitis	Interstitial pneumonitis	504.1	HP_0006515
Bronchopneumonia and lung abscess	Recurrent aspiration pneumonia	480.5	HP_0002100
Inflammatory and toxic neuropathy	Glomus jugular tumor	357	HP_0003001
Partial epilepsy	Focal impaired awareness hyperkinetic seizure	345.12	HP_0032726
Open-angle glaucoma	Glaucoma	365.1	HP_0000501
Perforation of tympanic membrane	Mild hearing impairment	384.4	HP_0012712
Myopia	High myopia	367.1	HP_0011003
Family history	Family history	1100	HP_0032316
Telogen effluvium	Abnormality of the skin	704.12	HP_0000951
Muscular dystrophies	Sensorimotor neuropathy	359.1	HP_0007141
Neoplasm of uncertain behavior	Symmetric spinal nerve root neurofibromas	199	HP_0006851
Myopathy	Myopathy	359.2	HP_0003198
Delayed milestones	Asymmetric short stature	264.3	HP_0008929
Nonspecific abnormal results of function study of brain and central nervous system	EEG with temporal focal spikes	346.2	HP_0012018
Abnormal involuntary movements	Eyelid myoclonus	350.1	HP_0025097
Facial nerve disorders [CN7]	Hemihypotrophy of lower limb	352.2	HP_0200053
Renal failure	Chronic kidney disease	585	HP_0012622
Benign neoplasm of bone and articular cartilage	Retinal capillary hemangioma	213	HP_0009711
Gastrointestinal hemorrhage	Hematemesis	578	HP_0002248
Pervasive developmental disorders	Echolalia	313	HP_0010529
Congenital anomalies of male genital organs	Penile hypospadias	751.12	HP_0003244
Benign neoplasm of spinal cord, meninges	Hemangioblastoma	225.2	HP_0010797
Poisoning by antibiotics	Venom-induced anaphylaxis	960	HP_0500096
Degenerative disease of the spinal cord	Dural tail sign	334	HP_0032268
Simple and unspecified goiter	Thyroglossal cyst	240	HP_0010518
Other acute and subacute forms of ischemic heart disease	Post-angioplasty coronary artery restenosis	411.9	HP_0004761
Myeloid leukemia, chronic	Non-Hodgkin lymphoma	204.22	HP_0012539
Pain	Shoulder pain	338	HP_0030834
Benign neoplasm of male genital organs	Neoplasm	222	HP_0002664
Myopia	Latent hypermetropia	367.1	HP_0500042
Testicular dysfunction	False perception of self-motion	257	HP_4000032
Localized superficial swelling, mass, or lump	Salivary gland neoplasm	687.2	HP_0100684
Malaise and fatigue	Reduced maximal inspiratory pressure	798	HP_0012496
Deficiency of humoral immunity	Partial absence of specific antibody response to tetanus vaccine	279.11	HP_0410297
Alcoholism	Micronodular cirrhosis	317.1	HP_0001413
Cholelithiasis	Cholelithiasis	574.1	HP_0001081
Cardiac conduction disorders	Chaotic multifocal atrial tachycardia	426	HP_0011725
Symptoms involving skin and other integumentary tissue	Lipedema	782	HP_0100695
Epilepsy, recurrent seizures, convulsions	Generalized convulsive status epilepticus	345	HP_0032661
Abnormal findings on study of brain and/or nervous system	EEG abnormality	346	HP_0002353
Dyschromia and Vitiligo	Hypopigmented streaks	694	HP_0007535
Secondary hypothyroidism	Activating thyroid-stimulating hormone receptor defect	244.1	HP_0011790
Visual disturbances	Red desaturation	368	HP_0030585
Abnormal findings on study of brain and/or nervous system	Low voltage EEG	346	HP_0011181
Myopathy	Distal sensory impairment of all modalities	359.2	HP_0003409
Visual field defects	Heteronymous hemianopia	368.4	HP_0030517
Other disorders of male genital organs	Impotence	608	HP_0000802
Sleep disorders	Excessive daytime somnolence	327	HP_0001262
Skin cancer	Choroidal melanoma	172	HP_0012054
Disorders of the pituitary gland and its hypothalamic control	Posterior pituitary dysgenesis	253	HP_0011753
Tachycardia NOS	Junctional ectopic tachycardia	427.7	HP_0011716
Antisocial/borderline personality disorder	Borderline personality disorder	301.2	HP_0012076
Other nondiabetic retinopathy	Retinopathy	362.3	HP_0000488
Disturbance of skin sensation	Somatic sensory dysfunction	687.4	HP_0003474
Thrombocytopenia	Post-transfusion thrombocytopenia	287.3	HP_0004813
Other diseases of blood and blood-forming organs	Poikilocytosis	289	HP_0004447
Other alveolar and parietoalveolar pneumonopathy	Necrotizing pulmonary granulomatosis	504	HP_0033550
Symptoms involving nervous and musculoskeletal systems	Clubbing of fingers	781	HP_0100759
Temporomandibular joint disorders	Temporomandibular joint ankylosis	526.4	HP_0012478
Genitourinary congenital anomalies	Cystic renal dysplasia	751	HP_0000800
Other cardiomyopathy	Asymmetric septal hypertrophy	425.8	HP_0001670
Other nonspecific findings on examination of urine	Crystalluria	598.9	HP_0020074
Abnormal findings on mammogram or breast exam	Multifocal breast carcinoma	611	HP_0006625
Hemangioma and lymphangioma, any site	Nevus comedonicus	228	HP_0020154
Disorders of plasma protein metabolism	Transient myeloproliferative syndrome	270.3	HP_0005534
Spasm of muscle	Hip contracture	772.2	HP_0003273
Known or suspected fetal abnormality affecting management of mother	Complete breech presentation	655	HP_0010860
Gastritis and duodenitis, NOS	Gastritis	535.9	HP_0005263
Nontoxic uninodular goiter	Abnormal circulating free T3 level	241.1	HP_0032209
Epilepsy	Focal aware cognitive seizure with hallucination	345.1	HP_0032871
Graves' disease	Thyroid follicular adenoma	242.1	HP_0011774
Deficiency of humoral immunity	Decreased specific antibody response to protein-conjugated polysaccharide vaccine	279.11	HP_0410302
Failure to thrive (childhood)	Intrauterine growth retardation	264.2	HP_0001511
Deficiency of humoral immunity	Chronic partially decreased circulating IgG2	279.11	HP_0041066
Symptoms involving cardiovascular system	Paroxysmal atrial tachycardia	429.3	HP_0006671
Pyelonephritis	Pyelonephritis	590	HP_0012330
Other disorders of metabolism	Partial functional complement factor D deficiency	277	HP_0008338
Tics and stuttering	Recurrent hand flapping	313.2	HP_0100023
Cancer of eye	Neuroblastic tumor	190	HP_0004376
Polycythemia vera	Single lineage myelodysplasia	200.1	HP_0012150
Other diseases of blood and blood-forming organs	Paraproteinemia	289	HP_0031047
Viral hepatitis	Chronic hepatitis	070	HP_0200123
Alcohol-related disorders	Chronic sensorineural polyneuropathy	317	HP_0001301
Fracture of clavicle or scapula	Bone fracture	803.3	HP_0020110
Pleurisy; pleural effusion	Hemothorax	507	HP_0012151
Lower gastrointestinal congenital anomalies	Hypoplasia of the gallbladder	750.2	HP_0005233
Other specified cardiac dysrhythmias	Arrhythmia	427.3	HP_0011675
Amblyopia	Near esotropia	368.1	HP_0031722
Edema	Hydrops fetalis	782.3	HP_0001789
Squamous cell carcinoma	Multiple cutaneous malignancies	172.22	HP_0007606
Disorders of lacrimal system	Punctal stenosis	375	HP_0025572
Congenital anomalies of skull and face bones	Craniosynostosis	749.2	HP_0001363
Congenital anomalies of genital organs	Supernumerary testes	751.1	HP_0010470
Congenital hypothyroidism	Euthyroid goiter	244.5	HP_0009798
Gouty arthropathy	Gout	274.11	HP_0001997
Neural tube defects	Myelopathy	752.1	HP_0002196
Functional disorders of bladder	Abnormality of the genitourinary system	596.5	HP_0000119
Purpura and other hemorrhagic conditions	Reduced plasminogen activator inhibitor 1 activity	287	HP_0040248
Cholelithiasis	Black pigment gallstones	574.1	HP_0011982
Abnormal involuntary movements	Spinal myoclonus	350.1	HP_0010531
Reticulosarcoma	Biphenotypic acute leukemia	202.22	HP_0005531
Contracture of palmar fascia [Dupuytren's disease]	Elbow flexion contracture	728.71	HP_0002987
Sprains and strains	Torn meniscus	840	HP_0032191
Dyschromia and Vitiligo	Discrete 2 to 5-mm hyper- and hypopigmented macules	694	HP_0007494
Disorders of protein plasma/amino-acid transport and metabolism	Cutaneous lichen amyloidosis	270	HP_0032346
Disorders of tooth development	Generalized hypoplasia of dental enamel	520	HP_0006282
Congenital anomaly of fingers/toes	Distal/middle symphalangism of 5th finger	755.3	HP_0009244
Abnormal movement	Hyperreflexia in upper limbs	350	HP_0007350
Disorders of fluid, electrolyte, and acid-base balance	Abnormal blood sodium concentration	276	HP_0010931
Transitory tachypnea or apnea of newborn	Cheyne-Stokes respiration	656.26	HP_0012196
Manlignant and unknown neoplasms of brain and nervous system	Pilocytic astrocytoma	191	HP_0033680
Phlebitis and thrombophlebitis	Deep venous thrombosis	451	HP_0002625
Polyp of female genital organs	Abnormality of the genitourinary system	622	HP_0000119
Benign neoplasm of skin	Curvilinear pericallosal lipoma	216	HP_0034013
Congenital anomalies of urinary system	Sigmoid kidney	751.2	HP_0034231
Other cerebral degenerations	Diffuse cerebral atrophy	331	HP_0002506
Hypertension	Stage 4 chronic kidney disease	401	HP_0012626
Functional digestive disorders	Megarectum	564	HP_0025024
Separation of retinal layers	Subretinal pigment epithelium hemorrhage	362.31	HP_0025244
Lymphoid leukemia, chronic	Gastric lymphoma	204.12	HP_0045038
Other acquired deformities of limbs	Bilateral coxa valga	736	HP_0010665
Other disorders of synovium, tendon, and bursa	Joint contracture of the 3rd finger	727	HP_0009319
Symptoms involving cardiovascular system	Paroxysmal tachycardia	429.3	HP_0006688
Congenital anomaly of fingers/toes	Cutaneous finger syndactyly	755.3	HP_0010554
Other nondiabetic retinopathy	Peripheral tractional retinal detachment	362.3	HP_0007643
Toxic effect of lead and its compounds (including fumes)	Polyarticular arthropathy	984	HP_0005195
Other acquired musculoskeletal deformity	Spondylolysis	738	HP_0003304
Pituitary hypofunction	Female hypogonadism	253.2	HP_0000134
Other conditions of brain, NOS	Profound static encephalopathy	348.9	HP_0007069
Non-Hodgkins lymphoma	Acute leukemia	202.2	HP_0002488
Gingival and periodontal diseases	Gingival recession	523	HP_0030816
Other diseases of lung	Pulmonary necrosis	510	HP_0033243
Abnormal results of function study of liver	Abnormal liver function tests during pregnancy	573.7	HP_0200148
Congenital anomalies of limbs	Type A brachydactyly	755	HP_0009370
Arrhythmia (cardiac) NOS	Third heart sound	427.5	HP_0031658
Cardiac pacemaker/device in situ	Premature atrial contractions	426.9	HP_0006699
Congenital anomalies of upper limb, including shoulder girdle	Contracture of the proximal interphalangeal joint of the 2nd toe	755.4	HP_0100348
Secondary diabetes mellitus	Type II diabetes mellitus	249	HP_0005978
Cancer of other male genital organs	Astrocytoma	187	HP_0009592
Nontoxic multinodular goiter	Lingual thyroid	241.2	HP_0100029
Nontoxic uninodular goiter	Thyroid nodule	241.1	HP_0025388
Pain	Bone pain	338	HP_0002653
Spina bifida	Cervical myelopathy	752.11	HP_0002318
Pain, swelling or discharge of eye	Abdominal cramps	379.9	HP_0032155
Other disorders of cervical region	Rhinorrhea	723	HP_0031417
Jaw disease NOS	Multiple long-bone exostoses	526.9	HP_0005039
Diseases of the jaws	Hypoplasia of the maxilla	526	HP_0000327
Strabismus and other disorders of binocular eye movements	Congenital nystagmus	378	HP_0006934
Viral hepatitis B	Giant cell hepatitis	070.2	HP_0200084
Congenital anomalies of abdominal wall; diaphram	Ventral hernia	756.1	HP_0002933
Changes in skin texture	Abnormality of the skin	687.3	HP_0000951
Diseases of nail, NOS	Abnormality of nail color	703	HP_0100643
Hemorrhage NOS	Fetal cerebral parenchymal hemorrhage	459.1	HP_0034211
Benign neoplasm of spinal cord, meninges	Spinal hemangioblastoma	225.2	HP_0009713
Diffuse diseases of connective tissue	Osteoarthritis of the first carpometacarpal joint	709	HP_0006226
Spinocerebellar disease	Spinocerebellar tract degeneration	334.1	HP_0002503
Disorders of plasma protein metabolism	Polyclonal elevation of circulating IgA	270.3	HP_0032333
Disorders of protein plasma/amino-acid transport and metabolism	Myelodysplasia	270	HP_0002863
Dysphagia	Feeding difficulties	532	HP_0011968
Occlusion of cerebral arteries	Middle cerebral artery stenosis	433.2	HP_0012493
Contracture of joint	Flexion contracture of the hallux	739	HP_0010212
Diseases of hair and hair follicles	Facial hypertrichosis	704	HP_0002219
Neoplasm of uncertain behavior	Neoplasia of the pleura	199	HP_0100527
Other perinatal conditions of fetus or newborn	Episodic generalized hypotonia	656	HP_0006852
Benign neoplasm of eye, uveal	Hemangioblastoma	224.1	HP_0010797
Contusion	Ecchymosis	916	HP_0031364
Congestive heart failure; nonhypertensive	Abnormal left ventricular end-diastolic volume	428	HP_0033754
Bacterial infection NOS	Recurrent E. coli infections	041	HP_0002740
Contracture of joint	Polyarticular arthritis	739	HP_0005764
Malignant neoplasm of head, face, and neck	Neoplasm of the nose	195.3	HP_0012720
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)	Hypothalamic hamartoma	227.3	HP_0002444
Chronic tonsillitis and adenoiditis	Increased size of nasopharyngeal adenoids	474.2	HP_0040261
Benign neoplasm of skin	Epidermal nevus	216	HP_0010816
Other immunological findings	Monoclonal elevation of IgG heavy chain	279.7	HP_0032293
Rheumatoid arthritis and other inflammatory polyarthropathies	Rheumatoid arthritis	714	HP_0001370
Myeloid leukemia, acute	Refractory sideroblastic anemia	204.21	HP_0004864
Essential hypertension	Increased blood pressure	401.1	HP_0032263
First degree AV block	Bundle branch block	426.21	HP_0011710
Sinoatrial node dysfunction (Bradycardia)	Bradycardia	427.8	HP_0001662
Arterial embolism and thrombosis	Premature coronary artery atherosclerosis	444	HP_0005181
Contracture of tendon (sheath)	Contracture of the distal interphalangeal joint of the fingers	727.7	HP_0009697
Late effects of cerebrovascular disease	Delayed self-feeding during toddler years	433.8	HP_0012381
Poisoning by other anti-infectives	Fungi allergy	961	HP_0410334
Genitourinary congenital anomalies	Ureteral agenesis	751	HP_0012300
Contracture of joint	Contracture of the metacarpophalangeal joint of the 4th finger	739	HP_0009277
Arterial embolism and thrombosis	Atherosclerotic lesion	444	HP_0031678
Diffuse diseases of connective tissue	Telangiectasia of the oral mucosa	709	HP_0007428
Thyroiditis	Hashimoto thyroiditis	245	HP_0000872
Systemic sclerosis	Spider hemangioma	709.3	HP_0012522
Disorders of other cranial nerves	Sensory ataxic neuropathy	352	HP_0003434
Osteoarthrosis	Symmetric polyarthritis	740	HP_0040311
Lyme disease	Demyelinating peripheral neuropathy	130.1	HP_0007108
Contracture of palmar fascia [Dupuytren's disease]	Progressive flexion contractures	728.71	HP_0005876
Multiple myeloma	Transient myeloproliferative syndrome	204.4	HP_0005534
Leukemia	Bilineage myelodysplasia	204	HP_0012149
Cutaneous lupus erythematosus	Discoid lupus rash	695.41	HP_0007417
Myeloproliferative disease	Neoplasm	200	HP_0002664
Other open wound of head and face	Fractured skull	870.3	HP_0041082
Iodine hypothyroidism	Euthyroid multinodular goiter	244.3	HP_0000866
Viral infection	Maculopapular exanthema	079	HP_0040186
Visual disturbances	Abnormal manual kinetic perimetry test	368	HP_0030593
Genitourinary congenital anomalies	Cloacal exstrophy	751	HP_0010475
Complications of cardiac/vascular device, implant, and graft	Supraventricular tachycardia with a concealed accessory pathway on the right free wall	854	HP_0011692
Other congenital musculoskeletal anomalies	Central diaphragmatic hernia	756	HP_0025195
Hemorrhage NOS	Epidural hemorrhage	459.1	HP_0100310
Other upper respiratory disease	Cartilaginous tracheobronchomalacia	479	HP_0033990
Enthesopathy	Iliac horns	726.1	HP_0009780
Muscle weakness	Fatigable weakness of chewing muscles	772.3	HP_0030193
Complex regional/central pain syndrome	Mandibular pain	355	HP_0200025
Pityriasis	Morbilliform rash	696.3	HP_0012282
Benign neoplasm of other endocrine glands and related structures	Pituitary microadenoma	227	HP_0025694
Folate-deficiency anemia	Episodic hemolytic anemia	281.13	HP_0004802
Other specified erythematous conditions	Perioral erythema	695.8	HP_0033194
Intracranial hemorrhage (injury)	Grade II preterm intraventricular hemorrhage	818	HP_0030749
Type 1 diabetes with neurological manifestations	Insulin-dependent but ketosis-resistant diabetes	250.14	HP_0008205
Defibrination syndrome	Reduced alpha-2-antiplasmin activity	286.6	HP_0040245
Other disorders of middle ear and mastoid	Cholesteatoma	385	HP_0009797
Nephritis and nephropathy with pathological lesion	Pyelonephritis	580.32	HP_0012330
Congenital anomalies of face and neck	Basilar impression	749	HP_0005758
Malaise and fatigue	Poor head control	798	HP_0002421
Peripheral autonomic neuropathy	Multiple mononeuropathy	337.1	HP_0032018
Chronic thyroiditis	Thyroiditis	245.2	HP_0100646
Other deficiency anemia	Reduced blood folate concentration	281	HP_0100507
Congenital anomalies of muscle, tendon, fascia, and connective tissue	Femoral bowing	756.3	HP_0002980
Monocytic leukemia	Chronic myelomonocytic leukemia	204.3	HP_0012325
Other specified congenital anomalies of nervous system	Focal cortical dysplasia type Ib	752.2	HP_0032049
Nonspecific abnormal findings in cerebrospinal fluid	Abnormality of the cerebrospinal fluid	346.3	HP_0002921
Degenerative disease of the spinal cord	Proximal upper limb amyotrophy	334	HP_0008948
Type 2 diabetes with renal manifestations	Diabetic ketoacidosis	250.22	HP_0001953
