narrower,phecodeX_label,hpo_label,phecodeX_code,hpo_code
,Traumatic fracture of vertebrae,Anterior wedging of T11,T818,HP_0004573
,Benign neoplasm of the small intestine,Optic nerve sheath meningioma,136.3,HP_0500089
,Male erectile dysfunction,Autonomic erectile dysfunction,605.1,HP_0008652
,Macrocytic anemia,Abnormality of blood and blood-forming tissues,164.2,HP_0001871
,Delta thalassemia,Cold-induced hemolysis,165.23,HP_0031484
,Weakness,Inflammatory myopathy,807.2,HP_0009071
,Multiple fractures,Fractured proximal phalanx of manual digit 1,T828,HP_0041188
,Viral infections,Recurrent bacterial meningitis,089.2,HP_0007274
,Other disorders of the kidney and ureters,Xanthogranulomatous pyelonephritis,586,HP_0033761
,"Senile degeneration of brain, not elsewhere classified",Occipital cortical atrophy,328.31,HP_0012105
,Presbycusis,Low-frequency sensorineural hearing impairment,396.22,HP_0008573
,Infections,Palmoplantar hyperkeratosis,089,HP_0000972
,Malignant neuroendocrine tumors,Carcinoid tumor,114.1,HP_0100570
,Treponema,Congenital symmetrical palmoplantar keratosis,019,HP_0007553
,Abnormal skull shape*,Scaphocephaly,758.2,HP_0030799
,Cortical age-related cataract,Juvenile posterior subcapsular lenticular opacities,371.1,HP_0007935
,Thyrotoxicosis [hyperthyroidism],Thyroid defect in oxidation and organification of iodide,200.3,HP_0008263
,Testicular limpoma,Meningioma,139.54,HP_0002858
,Drug-induced/iatrogenic thyroiditis,Abnormal circulating T4 level,200.45,HP_0031505
,Granulomatous disorder of the skin,Decreased serum complement C4,688,HP_0045042
,Other disorders of the brain and CNS,Benign neoplasm of the central nervous system,347,HP_0100835
,"Anomalies of pulmonary valve, congenital",Bicuspid pulmonary valve,779.1,HP_0005182
,Hypopituitarism,Abnormal thyroid-stimulating hormone level,209.2,HP_0031097
,Erythroid,Multiple lineage myelodysplasia,120.13,HP_0012148
,Congenital malformation of the skin,Preauricular skin tag,790,HP_0000384
,Heberden's or Bouchard's nodes*,Osteoarthritis of the first carpometacarpal joint,708.9,HP_0006226
,Hereditary motor and sensory neuropathy,Polyneuritis,337.11,HP_0031003
,Abnormal electroencephalogram [EEG],EEG with constitutional variants,349.12,HP_0011176
,Malignant neoplasm of the testis,Altman type III sacrococcygeal teratoma,107.3,HP_0030739
,Multiple myeloma and malignant plasma cell neoplasms,B-cell lymphoma,123,HP_0012191
,Benign neoplasms of the cervix,Pericallosal lipoma,144.13,HP_0006931
,Hypogammaglobulinemia NOS,Decreased circulating IgG3 level,179.1,HP_0032137
,Paraganglioma,Intracranial meningioma,114.5,HP_0100009
,Congenital malformations of intestine,Microcolon,765,HP_0004388
,Ectopic kidney*,Crossed fused renal ectopia,773.8,HP_0004736
,Chronic thyroiditis,Abnormal radioactive iodine uptake test result,200.44,HP_0031221
,Infections,Erythema nodosum,089,HP_0012219
,Disorders of menstruation and other abnormal bleeding from female genital tract,Polymenorrhea,626,HP_0400007
,Periodic paralysis,Vocal cord paralysis,339.4,HP_0001605
,Acute myocardial infarction,Coronary artery stenosis,404.11,HP_0005145
,Arthrogryposis multiplex congenita*,Congenital finger flexion contractures,789.4,HP_0005879
,Pervasive developmental disorders,Persistent head lag,892,HP_0032988
,Eclampsia,Eclampsia,908.12,HP_0100601
,Other respiratory disorders,Glycogen accumulation in pulmonary interstitial cells,486,HP_0033244
,Malignant neoplasm of the of bronchus and lung,Squamous cell lung carcinoma,102.1,HP_0030359
,T-cell lymphoma,Lymphoma,122.24,HP_0002665
,Lymphoid,Bilineage myelodysplasia,120.2,HP_0012149
,Ventricular septal defect,Perimembranous ventricular septal defect,780.41,HP_0011682
,Complications of trauma,Contractures of the distal interphalangeal joint of the 5th toe,T900,HP_0100355
,Alteration of consciousness,Decreased vigilance,355.2,HP_0032044
,Uninodular goiter [single thyroid nodule],Primary hypothyroidism,200.22,HP_0000832
,Plantar wart,Plantar warts,056.1,HP_0033005
,Leukemia,Histiocytosis,121,HP_0100727
,Other congenital anomalies of heart,Double inlet right ventricle,780,HP_0011556
,Cramp and spasm,Spastic tetraplegia,719.1,HP_0002510
,Benign neoplasm of the oral cavity,Spinal hemangioblastoma,135.1,HP_0009713
,"Epilepsy, recurrent seizures, convulsions",Focal aware hemiclonic seizure,330,HP_0032757
,Subacute thyroiditis,Thyrotoxicosis from ectopic thyroid tissue,200.43,HP_0011783
,Abnormality of the lymph nodes,Postnatal-onset ichthyosiform erythroderma,177,HP_0007395
,Strabismus,Monocular strabismus,381,HP_0010877
,Congenital malformations of esophagus,Eosinophilic infiltration of the esophagus,762,HP_0410151
,Cerebral palsy and other paralytic syndromes,Unilateral vocal cord paresis,341,HP_0012821
,Symptoms and signs related to movement disorders,Hemifacial spasm,325,HP_0010828
,Ectopic thyroid nodule,Decreased circulating free T3,200.24,HP_0032210
,Congenital malformation of the skin,Nevus spilus,790,HP_0025510
,Guillain-Barre syndrome [Acute infective polyneuritis],Demyelinating motor neuropathy,337.21,HP_0007220
,Pancreatitis,Chronic pancreatitis,554.1,HP_0006280
,Anemia,Megaloblastic anemia,164,HP_0001889
,Cardiomegaly,Right ventricular hypertrophy,425,HP_0001667
,Autoimmune disease,Acute demyelinating polyneuropathy,181,HP_0007131
,Major anomalies of jaw size,Hypoplasia of maxilla relative to mandible,733.1,HP_0410218
,Infectious mononucleosis,Severe Epstein Barr virus infection,052.4,HP_0031693
,Congenital malformations of brain,Focal cortical dysplasia type IIIa,750,HP_0032055
,Benign neoplasm of the fallopian tube and uterine adnexa,Cerebellar hemangioblastoma,144.4,HP_0006880
,Volume depletion,Abnormal blood monovalent inorganic cation concentration,256.7,HP_0010930
,Corneal scars and opacities,Mosaic central corneal dystrophy,369.1,HP_0100690
,Disorders of pigmentation,Hemangioma,674,HP_0001028
,Age-related nuclear cataract,Abnormality of the lens,371.31,HP_0000517
,Transient retinal arterial occlusion [Amaurosis fugax],Amaurosis fugax,374.39,HP_0100576
,Other disorders and symptoms of the musculoskeletal system,Redundant neck skin,730,HP_0005989
,"Reaction to severe stress, and adjustment disorders",Decreased vigilance,290,HP_0032044
,Cerebral palsy and other paralytic syndromes,Cerebral palsy,341,HP_0100021
,Gynecological malignant neoplasms,Sacrococcygeal teratoma,106,HP_0030736
,Other psychoactive substance dependence,Cocaine addiction,280.82,HP_0033513
,Disorders of aromatic amino-acid metabolism,Intervertebral disk calcification,240.1,HP_0005645
,Gynecological benign neoplasms,Benign neoplasm of the central nervous system,144,HP_0100835
,Stroke and transient cerebral ischemic attacks,Neuromuscular dysphagia,431,HP_0002068
,Cataract,Pseudophakia,371,HP_0500081
,Disorder of nervous system,EMG abnormality,349,HP_0003457
,Hemolytic-uremic syndrome,Compensated hemolytic anemia,161.22,HP_0004863
,Disorders of the pituitary gland and its hypothalamic control,Gonadotropin deficiency,209,HP_0008213
,Retinal vascular changes and occlusions,Retinopathy of prematurity zone III,374.3,HP_0500061
,Atherosclerosis [ASCVD],Bone-marrow foam cells,436,HP_0004333
,Rash and other nonspecific skin eruption,Congenital exfoliative erythroderma,679.1,HP_0007381
,Hypotrichosis of eyelid [Madarosis],Sparse lower eyelashes,362.4,HP_0007776
,Infections,Linear arrays of macular hyperkeratoses in flexural areas,089,HP_0007490
,Multinodular goiter,Aplasia/Hypoplasia of the thyroid gland,200.23,HP_0033079
,Lymphoma,Chronic leukemia,122,HP_0005558
,Diffuse large B-cell lymphoma*,Juvenile myelomonocytic leukemia,122.22,HP_0012209
,Other specific joint derangements,Joint dislocation,712,HP_0001373
,Food allergy,Seafood allergy,840.1,HP_0410333
,Other diseases of blood and blood-forming organs,Increased circulating antibody level,176,HP_0010702
,Hypotrichosis of eyelid [Madarosis],Sparse eyelashes,362.4,HP_0000653
,Glomerular diseases,Abnormality of the genitourinary system,580,HP_0000119
,Aneurysm or ectasia,Fibrous cardiac diverticulum,438,HP_0100572
,Effect of trauma,Posterior capsular cataract,T883,HP_0100020
,"Cancer (solid tumor, excluding BCC)",Anal canal squamous cell carcinoma,130,HP_0030438
,Tissue transplant or graft,Osteomyelitis leading to amputation due to slow healing fractures,978,HP_0005010
,Abnormal electrocardiogram [ECG] [EKG],Abnormal P wave,418.1,HP_0031595
,Ectopic thyroid nodule,Euthyroid hyperthyroxinemia,200.24,HP_0008247
,Other congenital malformations of musculoskeletal system,Arthrogryposis multiplex congenita,789,HP_0002804
,Gastrointestinal hemorrhage,Coffee ground vomitus,557,HP_0032144
,Phantom limb (syndrome),Demyelinating sensory neuropathy,335.4,HP_0011402
,Congenital malformation of the skin,Aplasia cutis congenita over the scalp vertex,790,HP_0004471
,Disorders of amino-acid transport and metabolism,Cystathioninuria,240,HP_0003153
,Arterial dissection,Abdominal aortic dissection,438.4,HP_0033311
,Abnormal results of pulmonary function studies,Decreased DLCO,496,HP_0045051
,Rotator cuff (capsule) sprain,Rotator cuff tear,T840.14,HP_0032201
,Intracranial and intraspinal abscess,Lung abscess,322.4,HP_0025044
,Short stature,Decreased serum complement factor B,890.3,HP_0005416
,Convulsions,Focal aware atonic seizure,330.3,HP_0020218
,Geniculate ganglionitis,Motor polyneuropathy,334.22,HP_0007178
,Disorders of mineral metabolism and mineral deficiencies,Calcinosis cutis,247,HP_0025520
,Other cerebrovascular disease,Cerebral ischemia,433,HP_0002637
,"Coagulation defects, purpura and other hemorrhagic conditions",Reduced protein S activity,168,HP_0004855
,Severe combined immunodeficiency due to adenosine deaminase deficiency*,Decreased serum terminal complement component,179.31,HP_0033057
,"Cancer (solid tumor, excluding BCC)",Hamartomatous stomach polyps,130,HP_0004795
,Benign neoplasm of epididymis and spermatic cord,Multiple meningiomata,146.31,HP_0033714
,Congenital anomalies of eye,Nuclear pulverulent cataract,753,HP_0010698
,Substance related disorders,Myofibrillar myopathy,280,HP_0003715
,Spina bifida,Anencephaly,751.1,HP_0002323
,Cardiomyopathy,Minicore myopathy,414,HP_0003789
,Inguinal hernia,Aplasia of the right hemidiaphragm,520.11,HP_0032592
,Vitamin deficiencies,Thiamine-responsive megaloblastic anemia,232,HP_0004860
,Aneurysm or ectasia,Ascending aortic dissection,438,HP_0004933
,Failure to thrive in childhood,Severe intrauterine growth retardation,890.1,HP_0008846
,Congenital cerebral cysts*,Posterior fossa cyst at the fourth ventricle,750.4,HP_0000933
,Hemoglobinopathies,Exercise-induced hemolysis,165,HP_0005535
,Spasm of muscle,Minicore myopathy,719.11,HP_0003789
,Malignant neoplasm of cornea,Localized neuroblastoma,109.14,HP_0006768
,Other abnormalities of plasma proteins*,Polyclonal elevation of circulating IgG,824,HP_0032288
,Myotonic muscular dystrophy,Late-onset muscular dystrophy,339.21,HP_0007081
,Age-related nuclear cataract,Lens coloboma,371.31,HP_0100719
,Hemoglobinopathies,Coombs-positive hemolytic anemia,165,HP_0004844
,Abnormal results of cardiovascular function studies,PR segment elevation,418,HP_0031597
,Sequelae of cancer,Episodic peripheral neuropathy,132,HP_0006949
,Atelectasis of newborn,Atelectasis,854.4,HP_0100750
,Chronic myeloproliferative disease,Single lineage myelodysplasia,124.7,HP_0012150
,Hypermetropia,High myopia,387.1,HP_0011003
,Apnea of newborn,Apnea of prematurity,854.9,HP_0034236
,Other and unspecified nonspecific immunological findings,Oligoclonal elevation of circulating IgM,826.4,HP_0032332
,Inflammatory and immune myopathies,Motor axonal neuropathy,340.3,HP_0007002
,Biotinidase deficiency*,Decreased serum complement factor B,232.24,HP_0005416
,Nerve root and plexus disorders,Demyelinating motor neuropathy,335,HP_0007220
,Anomalies of dental arch relationship,Abnormality of the gastrointestinal tract,733.2,HP_0011024
,Basal cell carcinoma,Carcinoma,103.21,HP_0030731
,Spondylolisthesis,Spinal deformities,715.3,HP_0008443
,Benign neoplasm of the head and neck,Hemangioblastoma,135,HP_0010797
,Diffuse goiter,Pituitary hypothyroidism,200.21,HP_0008245
,Malposition and malpresentation of fetus,Altman type III sacrococcygeal teratoma,940,HP_0030739
,Vertigo,Horizontal jerk nystagmus,394.2,HP_0007286
,Dislocation of jaw,Dislocated wrist,T830.1,HP_0003994
,Mast cell activation syndrome [MCAS]*,Decreased serum complement factor H,180.6,HP_0005369
,Extrapyramidal and movement disorders,Focal dystonia,324,HP_0004373
,Acidosis,Stress/infection-induced lactic acidosis,256.31,HP_0004897
,Hypo-coagulability,Reduced protein S activity,168.1,HP_0004855
,Palmar fascial fibromatosis [Dupuytren],Limb joint contracture,722.4,HP_0003121
,Stricture of artery [Arterial stenosis],Peripheral arterial stenosis,443.1,HP_0004950
,Primary osteoarthritis ankle and foot,Osteoarthritis of the distal interphalangeal joint,708.16,HP_0006233
,Disorder of nervous system,EEG with constitutional variants,349,HP_0011176
,Central pain syndrome,Tendon pain,809.22,HP_0032510
,Congenital dyserythropoietic anemia*,Normocytic hypoplastic anemia,162.7,HP_0004819
,Renal tubulo-interstitial diseases,Ureterovesical stenosis,581,HP_0008714
,Common arterial trunk [Truncus arteriosus],Type III truncus arteriosus,778.1,HP_0011609
,Lymphedema,Patchy palmoplantar hyperkeratosis,177.4,HP_0005588
,Blepharitis,Posterior blepharitis,360.4,HP_0025610
,Disorders of iron metabolism,Compensated hemolytic anemia,247.7,HP_0004863
,"Epilepsy, recurrent seizures, convulsions",Focal aware pedal automatism seizure,330,HP_0032913
,Benign neoplasm of the breast,Cerebral hamartoma,140,HP_0009731
,Contracture of muscle*,Minicore myopathy,719.93,HP_0003789
,Abnormality of the lymph nodes,Patchy palmoplantar hyperkeratosis,177,HP_0005588
,Malignant neoplasm of the thoracic and respiratory organs,Mediastinal mass,102,HP_0033823
,Other disorders of glossopharyngeal [9th] nerve,Entrapment neuropathy,334.5,HP_0012181
,Candidiasis,Chronic oral candidiasis,070,HP_0009098
,Ovarian dysfunction,Premature ovarian insufficiency,214,HP_0008209
,Geniculate ganglionitis,Mixed demyelinating and axonal polyneuropathy,334.22,HP_0007327
,Dyshormogenetic goiter,Euthyroid multinodular goiter,200.25,HP_0000866
,Other symptoms and disorders of the respiratory system,Heinz body anemia,499,HP_0005511
,Malignant neoplasm of the gums,Neuroblastic tumor,100.13,HP_0004376
,Complications of trauma,Joint contracture of the 5th finger,T900,HP_0009183
,Contracture of muscle*,Multiple joint contractures,719.93,HP_0002828
,Fungal infections,Chronic mucocutaneous candidiasis,089.3,HP_0002728
,Myelodysplastic syndrome,Single lineage myelodysplasia,124.6,HP_0012150
,Blepharitis,Anterior blepharitis,360.4,HP_0025609
,Malignant neoplasm of the digestive organs,Adenomatous colonic polyposis,101,HP_0005227
,Posterior subcapsular polar cataract,Lentiglobus,371.22,HP_0011527
,Rash and other nonspecific skin eruption,Cystic acne,679.1,HP_0033188
,Drug-induced hemolytic anemia*,Drug-sensitive hemolytic anemia,161.23,HP_0004817
,Exotropia,Infantile constant exotropia,381.4,HP_0032009
,Congenital cataract,Anterior subcapsular cataract,753.23,HP_0010923
,"Cancer (solid tumor, excluding BCC)",Vagal paraganglioma,130,HP_0002886
,Alcoholic liver disease,Acute hepatic failure,280.13,HP_0006554
,Decreased white blood cell count,Lymphopenia,170,HP_0001888
,Noninflammatory disorders of the cornea,Corneal neovascularization,369,HP_0011496
,Retinal disorders in diseases classified elsewhere,Insulin-dependent but ketosis-resistant diabetes,374.4,HP_0008205
,Bacterial infections,Clostridium difficile enteritis,089.1,HP_0032167
,Symptoms and signs related to movement disorders,Tremor by anatomical site,325,HP_0030188
,Benign neoplasm of the breast,Benign neoplasm of the central nervous system,140,HP_0100835
,Congenital malformations of great arteries,Dilatation of the ductus arteriosus,778,HP_0030745
,Tarsal tunnel syndrome,Neuritis,336.54,HP_0031002
,Benign neoplasm of the thoracic and respiratory organs,Paranasal sinus neoplasm,137,HP_0030072
,Congenital malformations of ear,"Low-set, posteriorly rotated ears",755,HP_0000368
,Freckles*,Axillary freckling,674.22,HP_0000997
,Acute leukemia,Juvenile myelomonocytic leukemia,121.1,HP_0012209
,Failure to thrive in childhood,Rhizomelic arm shortening,890.1,HP_0004991
,Disorders of the retina,Fingerpad telangiectases,374,HP_0006107
,Eating disorders,Anorexia,293,HP_0002039
,Anterior subcapsular polar cataract,Aplasia/Hypoplasia of the lens,371.21,HP_0008063
,Other diseases of upper respiratory tract,Tracheal stenosis,473,HP_0002777
,Other hearing abnormality,Mild conductive hearing impairment,397,HP_0008598
,Dyshormogenetic goiter,Thyroid adenoma,200.25,HP_0000854
,Pain,Ear pain,809,HP_0030766
,"Epilepsy, recurrent seizures, convulsions",Focal aware cognitive seizure with memory impairment,330,HP_0032686
,Secondary neuroendocrine tumors,Glucagonoma,114.3,HP_0030404
,Congenital malformations of respiratory system,Tracheal atresia,777,HP_0100682
,Allergy,Animal protein allergy,840,HP_0410320
,Benign neoplasm of retina,Cortical tubers,148.15,HP_0009717
,Polyclonal hypergammaglobulinemia,Monoclonal elevation of IgG heavy chain,180.2,HP_0032293
,Abnormal involuntary movements,Stereotypical hand wringing,325.1,HP_0012171
,Autoimmune disease,Compensated hypothyroidism,181,HP_0008223
,Systemic vasculitis,Vasculitis,704,HP_0002633
,Hemangioma and lymphangioma,Spinal meningioma,139.6,HP_0100010
,Abnormality of globulin*,Increased circulating IgG subclass,824.2,HP_0032296
,Right heart failure*,Left ventricular outflow tract obstruction,424.5,HP_0032092
,Other disorders involving the immune mechanism,Myeloproliferative disorder,180,HP_0005547
,Aneurysm or ectasia,Peripheral arteriovenous fistula,438,HP_0100784
,Heavy chain disease*,Acute promyelocytic leukemia,180.34,HP_0004836
,Lack of coordination,Severe muscular hypotonia,325.3,HP_0006829
,Mast cell,Cutaneous T-cell lymphoma,120.15,HP_0012192
,Reiter's disease [Reactive arthritis],Arthropathy,702.2,HP_0003040
,Disorders of the gallbladder,Black pigment gallstones,550,HP_0011982
,"Hypothyroidism, not specified as secondary",Medullary thyroid carcinoma,200.14,HP_0002865
,Toxic myoneural disorders,Chronic axonal neuropathy,338.2,HP_0007267
,"Major histocompatibility complex class I deficiency (Bare lymphocyte syndrome, type I)*",Decreased serum complement C4a,179.35,HP_0045043
,Drug-induced/iatrogenic thyroiditis,Thyroid agenesis,200.45,HP_0008191
,Syndactyly,Ectopic accessory finger-like appendage,785.12,HP_0010441
,Disturbances in tooth eruption,Delayed eruption of primary teeth,500.4,HP_0000680
,Meralgia paresthetica,Sensory ataxic neuropathy,336.52,HP_0003434
,Diffuse large B-cell lymphoma*,Chronic myelogenous leukemia,122.22,HP_0005506
,Paralysis of vocal cords and larynx,Bilateral vocal cord paresis,472.1,HP_0012822
,Congenital hypohthyroidism,Decreased circulating free T4 level,200.11,HP_0033078
,Vitamin deficiencies,Partial complement factor H deficiency,232,HP_0008290
,Critical illness polyneuropathy,Sensory ataxic neuropathy,337.4,HP_0003434
,Burkitt lymphoma,Follicular lymphoma,122.23,HP_0033125
,Other diseases of biliary tract,Intrahepatic cholestasis with episodic jaundice,552,HP_0006575
,Alcoholic hepatitis,Acute hepatic failure,540.4,HP_0006554
,Toxic neuropathy,Polyneuropathy,337.3,HP_0001271
,Hypertrophic cardiomyopathy,EMG: myopathic abnormalities,414.1,HP_0003458
,Disorders of thyroid gland,Reduced TSH response to thyrotrophin-releasing hormone stimulation test,200,HP_0033082
,Uninodular goiter [single thyroid nodule],Reduced radioactive iodine uptake,200.22,HP_0031219
,Volvulus,Ileus,532.4,HP_0002595
,Rheumatoid arthritis,Necrotizing pulmonary granulomatosis,705.1,HP_0033550
,Acquired deformities of fingers,Abnormal joint morphology,709.1,HP_0001367
,Myeloproliferative disorder,Acute leukemia,124,HP_0002488
,"Primary osteoarthritis of the shoulder, upper arm",Osteoarthritis of the first carpometacarpal joint,708.14,HP_0006226
,Other symptoms involving nervous & musculoskeletal system,Triceps hyperreflexia,350,HP_0033204
,Other and ill-defined conditions originating in the perinatal period,Appendicular hypotonia,872,HP_0012389
,T-cell lymphoma,Acute monocytic leukemia,122.24,HP_0004845
,Ventricular premature depolarization*,Ventricular couplet,416.52,HP_0034039
,Symptoms and signs involving cognitive functions and awareness,Declarative memory loss,329,HP_0033692
,Malignant sarcoma-related cancers,Spinal hemangioblastoma,104,HP_0009713
,Abnormal coagulation profile,Abnormal coagulation factor V activity,168.4,HP_0031899
,Congenital pigmentary anomalies of skin,Hamartomatous polyposis,790.4,HP_0004390
,Malnutrition and underweight,Weight loss,230,HP_0001824
,Congenital cerebral cysts*,Pituitary gland cyst,750.4,HP_0410278
,Treponema,Left hemiplegia,019,HP_0040292
,Congenital anomalies of limbs,2-4 toe syndactyly,785,HP_0010714
,Malignant neoplasm of the small intestine,Ileal adenocarcinoma,101.3,HP_0030412
,Complications of labor and delivery NEC,Ventouse delivery,949,HP_0011412
,Benign neoplasm of the of bronchus and lung,Retinal capillary hemangioma,137.1,HP_0009711
,Bacterial infections,Palmoplantar keratoderma,089.1,HP_0000982
,Secondary malignant neoplasm,Cervical clear cell adenocarcinoma,116,HP_0031522
,Peanut allergy,Seafood allergy,840.11,HP_0410333
,Ectopic thyroid nodule,Abnormal circulating T4 level,200.24,HP_0031505
,Abnormal thyroid function studies,Graves disease,200.9,HP_0100647
,Mononeuritis of lower limb,Chronic sensorineural polyneuropathy,336.5,HP_0001301
,Alcohol use disorders,Peripheral axonal neuropathy,280.1,HP_0003477
,Mast cell,T-cell lymphoma,120.15,HP_0012190
,Malignant neoplasm of the digestive organs,Esophageal squamous papilloma,101,HP_0031463
,Disorders of thyrocalcitonin secretion,Abnormal TSH response to thyrotrophin-releasing hormone stimulation test,200.5,HP_0033080
,Paraplegia/Diplegia,Paraparesis,342.1,HP_0002385
,Congenital malformations of spine and bony thorax,Butterfly vertebrae,787,HP_0003316
,Postinfectious hypothyroidism*,Thyroid lymphangiectasia,200.15,HP_0008229
,Cardiac murmurs,Heart murmur,423.1,HP_0030148
,Atrophy of thyroid*,Thyrotoxicosis from ectopic thyroid tissue,200.6,HP_0011783
,Benign neoplasm of the liver and intrahepatic bile ducts,Optic nerve sheath meningioma,136.6,HP_0500089
,Other arthropathies,Arthropathy,707,HP_0003040
,Disorders of the retina,Patchy atrophy of the retinal pigment epithelium,374,HP_0007791
,Disorders of adrenal glands,Congenital adrenal hyperplasia,211,HP_0008258
,Hepatopulmonary syndrome,Chronic hepatic failure,542.6,HP_0100626
,Congenital reduction deformities of brain,Inferior cerebellar vermis hypoplasia,750.13,HP_0007068
,Rheumatoid lung disease with rheumatoid arthritis,Pulmonary amyloidosis,705.12,HP_0033247
,Disorders of mineral metabolism and mineral deficiencies,Cold-induced hemolysis,247,HP_0031484
,Erythema multiforme,V-sign,667.1,HP_0025536
,Secondary hypertension,Extrahepatic portal hypertension,401.6,HP_0004941
,Behavioral and emotional disorders with onset usually occurring in childhood and adolescence,Motor stereotypy,893,HP_0000733
,Effect of trauma,Eye movement-induced pain,T883,HP_0030857
,Parkinsonism,Akathisia,324.1,HP_0031943
,Primary disorders of muscles,Demyelinating sensory neuropathy,339,HP_0011402
,Cyst of kidney,Renal cyst,586.2,HP_0000107
,Gynecological benign neoplasms,Cervical polyp,144,HP_0030159
,Benign neoplasm of the liver and intrahepatic bile ducts,Hemangioblastoma,136.6,HP_0010797
,Hypopigmentation,White forelock,674.1,HP_0002211
,Malignant neoplasm of stomach,Choroid plexus carcinoma,101.2,HP_0030392
,Right aortic arch*,Right aortic arch,778.47,HP_0012020
,Disorders resulting from impaired renal function,Diabetes insipidus,588.1,HP_0000873
,Skin symptoms,Recurrent cutaneous abscess formation,679,HP_0100838
,Sequelae of cancer,Erythromelalgia,132,HP_0032147
,Craniorachischisis,Abnormality of the nervous system,751.2,HP_0000707
,Blindness of both eyes,Progressive visual loss,388.1,HP_0000529
,Congenital hypohthyroidism,Thyroid hyperplasia,200.11,HP_0008249
,Autoimmune disease,Constrictive median neuropathy,181,HP_0012185
,T-cell lymphoma,Myeloid leukemia,122.24,HP_0012324
,Hemoperitoneum,Hemoperitoneum,537.2,HP_0011854
,Other CNS infection,Peritoneal abscess,322,HP_0100592
,Nail disorders,Thin toenail,683,HP_0012746
,Lymphangioma,Tubulonodular pericallosal lipoma,139.62,HP_0034014
,Disorders of hypoglossal [12th] nerve,Multiple mononeuropathy,334.8,HP_0032018
,Disorder of nervous system,EEG with central focal spike waves,349,HP_0012009
,"Benign neoplasm of the eye, brain and other parts of central nervous system",Cortical tubers,148,HP_0009717
,Benign neoplasm of ureter,Multiple central nervous system lipomas,146.52,HP_0100251
,Eosinophilic gastroenteritis and colitis,Eosinophilic gallbladder infiltration,522.6,HP_0032023
,Delayed milestones,Mesomelic short stature,891.4,HP_0008845
,Pneumothorax and air leak,Spontaneous neonatal pneumothorax,484,HP_0004876
,Benign neoplasm of the floor of mouth,Cortical tubers,135.14,HP_0009717
,Oral cysts,Dermoid cyst,505,HP_0025247
,Macrocephaly*,Megalencephaly,758.4,HP_0001355
,"Congenital deformities of skull, face, and jaw",Plagiocephaly,758,HP_0001357
,Exostosis,Exostoses,724.5,HP_0100777
,Chronic liver disease and sequelae,Abnormality of the gastrointestinal tract,542,HP_0011024
,Cardiac arrhythmia and conduction disorders,Reverse typical atrial flutter,416,HP_0031672
,Abnormal reflex,Jaw hyporeflexia,350.3,HP_0012392
,Candidiasis,Vaginitis,070,HP_0030683
,Congenital anomalies of limbs,1-5 toe syndactyly,785,HP_0010713
,Benign neoplasms of external female genital organs and cervix,Choroid plexus papilloma,144.1,HP_0200022
,Epidermal thickening,Congenital ichthyosiform erythroderma,680,HP_0007431
,Disorders of the pituitary gland and its hypothalamic control,Decreased response to growth hormone stimulation test,209,HP_0000824
,Abnormal digit morphology,Duplication of the proximal phalanx of the 4th finger,785.1,HP_0009977
,Hypo-coagulability,Reduced euglobulin clot lysis time,168.1,HP_0040247
,Edema,Congenital palmoplantar hyperkeratosis,812,HP_0007545
,Specific developmental disorders,Mild intrauterine growth retardation,891,HP_0008883
,Chronic myloid leukemia,Plasmacytoma,121.22,HP_0011857
,Nonspecific abnormal results of function study of liver,Fatal liver failure in infancy,545,HP_0006583
,Acquired deformities of the knee,Knee flexion contracture,710.3,HP_0006380
,"Major histocompatibility complex class I deficiency (Bare lymphocyte syndrome, type I)*",Decreased serum terminal complement component,179.35,HP_0033057
,Nuclear cataract,Posterior Y-sutural cataract,371.3,HP_0008031
,Myeloid,Chronic lymphatic leukemia,120.1,HP_0005550
,Disorders of lipoprotein metabolism and other lipidemias,Increased HDL cholesterol concentration,244,HP_0012184
,Benign neoplasms of the vulva,Vulvar intraepithelial neoplasia,144.11,HP_0032202
,Disturbances in tooth eruption,Abnormality of the gastrointestinal tract,500.4,HP_0011024
,Hypothyroidism,Thyroid C cell hyperplasia,200.1,HP_0011781
,Mononeuritis of upper limb,Distal sensory impairment of all modalities,336.4,HP_0003409
,Re-entry ventricular arrhythmia*,Ventricular preexcitation,416.13,HP_0004309
,Acute myeloid leukemia,Transient myeloproliferative syndrome,121.12,HP_0005534
,Hodgkin lymphoma,Refractory anemia with ringed sideroblasts,122.1,HP_0004828
,Congenital malformation of kidney,Enlarged kidney,773,HP_0000105
,Acute pyelonephritis,Tubulointerstitial microganismal infiltration,581.11,HP_0032635
,Benign neoplasm of the endocrine glands,Pituitary microadenoma,149,HP_0025694
,Multiple cranial nerve palsies,Demyelinating peripheral neuropathy,334.9,HP_0007108
,Congenital hypohthyroidism,Thyroid microfollicular adenoma,200.11,HP_0011776
,Chronic migraine without aura,Migraine without aura,331.64,HP_0002083
,Pain,Demyelinating sensory neuropathy,809,HP_0011402
,"Mental disorder, not otherwise specified",Delirium,299,HP_0031258
,Disorders of thyroid gland,Abnormal TSH response to thyrotrophin-releasing hormone stimulation test,200,HP_0033080
,Benign neoplasm of spinal cord,Cerebral hamartoma,148.4,HP_0009731
,Polyneuropathy in diseases classified elsewhere,Entrapment neuropathy of suprascapular nerve,337.8,HP_0012216
,Aortic aneurysm and ectasia,Aortic aneurysm,438.1,HP_0004942
