"phecode","phecode_string","LB_cat"
"T830.1","Dislocation of jaw","Trauma"
"T830.2","Dislocation of shoulder","Trauma"
"T830.3","Dislocation of elbow","Trauma"
"T830.4","Dislocation of wrist and hand","Trauma"
"T830.5","Dislocation of finger","Trauma"
"T830.6","Dislocation of hip","Trauma"
"T830.7","Dislocation of knee","Trauma"
"T830.8","Dislocation of foot and ankle","Trauma"
"T830.9","Dislocation of vertebra or sternum","Trauma"
"T831","Cartilage tear of knee","Trauma"
"T832","Nursemaid's elbow","Trauma"
"T840.14","Rotator cuff (capsule) sprain","Trauma"
"T840.11","Acromioclavicular (joint) (ligament) sprain","Trauma"
"T840.31","Wrist sprain","Trauma"
"T840.32","Hand sprain","Trauma"
"T840.4","Sprains and strains of hip and thigh","Trauma"
"T840.5","Sprains and strains of knee and leg","Trauma"
"T840.6","Sprains and strains of ankle and foot","Trauma"
"T840.7","Back sprain","Trauma"
"T840.61","Ankle sprain","Trauma"
"T840.62","Foot sprain","Trauma"
"T840.71","Lumbosacral sprain","Trauma"
"T840.72","Neck sprain","Trauma"
"T840.9","Other sprains and strains","Trauma"
"T840.91","Sprain of jaw","Trauma"
"T840.93","Sprain of ribs or sternum","Trauma"
"T840.94","Pelvic sprain","Trauma"
"T850.2","Concussion with loss of consciousness","Trauma"
337.12,"Idiopathic progressive neuropathy","Neuro"
337.11,"Hereditary motor and sensory neuropathy","Neuro"
"T852","Lung injury","Trauma"
"T852.1","Traumatic pneumothorax and hemothorax","Trauma"
337.4,"Critical illness polyneuropathy","Neuro"
337.3,"Toxic neuropathy","Neuro"
"T868","Injury to other intra-abdominal organs","Trauma"
"T868.2","Injury to bile duct and gallbladder","Trauma"
"T868.1","Injury to adrenal gland","Trauma"
"T868.3","Injury to peritoneum or retroperitoneum","Trauma"
337,"Polyneuropathies","Neuro"
"T870.9","Open wound of trunk","Trauma"
"T871.6","Open wound of leg","Trauma"
"T874.2","Injury to blood vessels of thorax","Trauma"
"T874.1","Injury to blood vessels of head and neck","Trauma"
"T874.3","Injury to blood vessels of abdomen and pelvis","Trauma"
"T874.4","Injury to blood vessels of upper extremity","Trauma"
"T874.31","Injury to abdominal aorta","Trauma"
"T874.5","Injury to blood vessels of lower extremity","Trauma"
"T827","Fracture of hand or wrist","Trauma"
"T880","Abrasion or friction burn","Trauma"
"T900","Complications of trauma","Trauma"
341.7,"Locked-in state","Neuro"
"T888","Insect bite","Trauma"
"T881","Blister","Trauma"
"T882","Superficial foreign body (splinter)","Trauma"
"T883","Effect of trauma","Trauma"
"T884","Superficial injury of eye and adnexa","Trauma"
"T889","Other superficial injury","Trauma"
"T891","Crushing injury","Trauma"
"T892","Foreign body","Trauma"
"T892.1","Foreign body in eye","Trauma"
"T892.2","Foreign body in ear","Trauma"
"T892.3","Foreign body in nose","Trauma"
"T892.4","Foreign body in pharynx and larynx","Trauma"
"T892.5","Foreign body in trachea, bronchus, and lung","Trauma"
"T892.6","Foreign body in mouth, esophagus, and stomach","Trauma"
"T892.7","Foreign body in digestive system","Trauma"
"T892.8","Foreign body in genitourinary tract","Trauma"
342.2,"Quadriplegia","Neuro"
"T894","Burn","Trauma"
"T895","Burn involving > 10% of body surface or necrosis","Trauma"
"T897","Spinal cord injury","Trauma"
"T896.1","Injury to optic nerve and pathways","Trauma"
"T899","Injury to peripheral nerve(s)","Trauma"
"T900.1","Embolism as an early complication of trauma","Trauma"
"T900.4","Traumatic shock","Trauma"
"T900.7","Traumatic subcutaneous emphysema","Trauma"
"T900.8","Traumatic compartment syndrome","Trauma"
"T901","Injury to head, face, and neck","Trauma"
"T901.1","Head injury NOS","Trauma"
"T902","Other and unspecified injury to trunk","Trauma"
"T903","Other and unspecified injury to limbs","Trauma"
841.3,"Allergy to narcotic agent","Signs/Symptoms"
962.2,"Gamma globulin causing adverse effects in therapeutic use","Rx"
335.12,"Lumbosacral plexus lesions","Neuro"
335.11,"Brachial plexus lesions","Neuro"
334.25,"Facial myokymia*","Neuro"
962.1,"Anticoagulants causing adverse effects in therapeutic use","Rx"
963.1,"Methadone causing adverse effects in therapeutic use","Rx"
"R951","Underdosing of drug*","Complications of care"
"T910.1","Frostbite","Trauma"
"T910.2","Hypothermia","Trauma"
"T911.1","Heat stroke and sunstroke","Trauma"
334.24,"Clonic hemifacial spasm*","Neuro"
"T913.1","Drowning and nonfatal submersion","Trauma"
"T913.2","Effects of hunger, thirst, exposure","Trauma"
817,"Motion sickness","Signs/Symptoms"
"T913.4","Asphyxiation and strangulation","Trauma"
"T913.5","Electrocution and nonfatal effects of electric current","Trauma"
"T914","Maltreatment syndrome","Trauma"
"C920.1","Mechanical complication of cardiac electronic device","Complications of care"
"C920.2","Complication due to heart valve prosthesis","Complications of care"
"C920.3","Mechanical complication due to coronary bypass graft","Complications of care"
"C920.5","Complication of other vascular device, implant, and graft","Complications of care"
"C920.6","Infection and inflammatory reaction due to cardiac device, implant, and graft","Complications of care"
"C921","Complication of nervous system device, implant, and graft","Complications of care"
"C922","Complication of genitourinary device, implant, and graft","Complications of care"
"C922.1","Complication due to urethral [indwelling] catheter","Complications of care"
"C922.2","Complication due to intrauterine contraceptive device","Complications of care"
"C923","Complication of internal orthopedic or prosthetic device, implant, and graft","Complications of care"
"C924","Complication due to corneal graft or lens prosthesis","Complications of care"
"C925","Complication due to breast prosthesis","Complications of care"
"C926","Complication due to other tissue graft, not elsewhere classified","Complications of care"
"C927","Complication due to other implant and internal device or procedure not elsewhere classified","Complications of care"
"C928","Transplanted organ or tissue","Complications of care"
"C929","Complications of reattached extremity or body part","Complications of care"
"C922.3","Infection and inflammatory reaction due to other genitourinary device, implant, and graft","Complications of care"
"C922.4","Infection and inflammatory reaction due to peritoneal dialysis catheter","Complications of care"
"C922.5","Other complications due to renal dialysis device, implant, and graft","Complications of care"
333.8,"Sleep disturbances","Neuro"
"C928.7","Transplanted intestine","Complications of care"
333.55,"Sleep terrors [night terrors]*","Neuro"
333.54,"Sleepwalking [somnambulism]*","Neuro"
"C934","Digestive system complications","Complications of care"
"C937","Vascular complications of procedure","Complications of care"
"C940","Postoperative shock","Complications of care"
"C943","Wound complications of procedures","Complications of care"
"C944","Other specified complications of procedures, not elsewhere classified","Complications of care"
"C945","Infection due to medical care","Complications of care"
"C944.1","Emphysema (subcutaneous) (surgical) resulting from a procedure","Complications of care"
333.63,"Sleep related bruxism","Neuro"
387.21,"Progressive high (degenerative) myopia","Eye"
"C943.2","Disruption of wound","Complications of care"
"C943.1","Accidental puncture or laceration during a procedure","Complications of care"
"C943.3","Foreign body accidentally left during a procedure","Complications of care"
"C944.5","Persistent postoperative fistula","Complications of care"
"C944.6","Air embolism as a complication of medical care, not elsewhere classified","Complications of care"
"C945.1","Postoperative infection","Complications of care"
"C945.2","Infection due to central venous catheter","Complications of care"
"C945.3","Acute infection following transfusion, infusion, or injection","Complications of care"
"C946.1","ABO incompatibility reaction","Complications of care"
"C946.2","Rh incompatibility reaction","Complications of care"
"C946.3","Extravasation of vesicant agent","Complications of care"
308,"Signs and symptoms involving emotional state","Mental"
333.62,"Sleep related leg cramps","Neuro"
688,"Granulomatous disorder of the skin","Derm"
688.7,"Abnormal granulation tissue, NOS","Derm"
"004.1","Streptococcus pneumoniae","ID"
687,"Vascular disorders of the skin","Derm"
161.22,"Hemolytic-uremic syndrome","Blood"
247.71,"Hemochromatosis","Metab"
673,"Skin changes due to chronic exposure to nonionizing radiation","Derm"
236.1,"Obesity","Metab"
247.7,"Disorders of iron metabolism","Metab"
247.52,"Hypercalcemia","Metab"
200.9,"Abnormal thyroid function studies","Endo"
672,"Other acute skin changes due to ultraviolet radiation","Derm"
"T911.3","Heat cramps","Trauma"
"T911.4","Heat exhaustion","Trauma"
333.6,"Sleep related movement disorders","Neuro"
672.1,"Acute dermatitis due to solar radiation","Derm"
672.4,"Disseminated superficial actinic porokeratosis (DSAP)","Derm"
976.1,"Malignant hyperthermia","Rx"
976.3,"Shock due to anesthesia not elsewhere classified","Rx"
841.2,"Allergy to anesthetic agent","Signs/Symptoms"
960.1,"Penicillins causing adverse effects in therapeutic use","Rx"
960.3,"Erythromycin and other macrolides causing adverse effects in therapeutic use","Rx"
960.4,"Tetracycline group causing adverse effects in therapeutic use","Rx"
960.5,"Cephalosporin group causing adverse effects in therapeutic use","Rx"
960.6,"Antimycobacterial antibiotics causing adverse effects in therapeutic use","Rx"
960.7,"Antiviral drugs causing adverse effects in therapeutic use","Rx"
960.8,"Sulfonamides causing adverse effects in therapeutic use","Rx"
960.9,"Antimalarials and drugs acting on other blood protozoa causing adverse effects in therapeutic use","Rx"
960.2,"Antifungal antibiotics causing adverse effects in therapeutic use","Rx"
963.2,"Adverse effect of salicylates","Rx"
963.3,"Antirheumatics causing adverse effects in therapeutic use","Rx"
964.1,"Anticonvulsants causing adverse effects in therapeutic use","Rx"
964.2,"Adverse effect of barbiturates","Rx"
965.1,"Antidepressants causing adverse effects in therapeutic use","Rx"
965.2,"Phenothiazine-based tranquilizers causing adverse effects in therapeutic use","Rx"
965.3,"Butyrophenone-based tranquilizers causing adverse effects in therapeutic use","Rx"
333.53,"Recurrent isolated sleep paralysis","Neuro"
965.5,"Psychostimulants causing adverse effects in therapeutic use","Rx"
966,"Adverse effects of central nervous system stimulants in therapeutic use","Rx"
967.1,"Parasympathomimetics [cholinergics] causing adverse effects in therapeutic use","Rx"
967.2,"Parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics causing adverse effects in therapeutic use","Rx"
967.3,"Sympathomimetics [adrenergics] causing adverse effects in therapeutic use","Rx"
967.4,"Sympatholytics [antiadrenergics] causing adverse effects in therapeutic use","Rx"
333.52,"REM sleep behavior disorder","Neuro"
968.1,"Cardiac rhythm regulators causing adverse effects in therapeutic use","Rx"
968.2,"Cardiotonic glycosides and drugs of similar action causing adverse effects in therapeutic use","Rx"
968.3,"Vasodilators causing adverse effects in therapeutic use","Rx"
968.4,"Other antihypertensive agents causing adverse effects in therapeutic use","Rx"
970,"Adverse effects of water, mineral, and uric acid metabolism drugs","Rx"
971.1,"Antiasthmatics causing adverse effects in therapeutic use","Rx"
975.1,"Antiallergic and antiemetic drugs causing adverse effects in therapeutic use","Rx"
975.2,"Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use","Rx"
"C948","Exposure and effects of radiation","Complications of care"
962.11,"Heparin-induced thrombocytopenia (HIT)","Rx"
324.12,"Secondary parkinsonism","Neuro"
975.22,"Antineoplastic chemotherapy induced anemia","Rx"
975.23,"Mucositis (ulcerative) due to antineoplastic therapy","Rx"
397,"Other hearing abnormality","Hearing"
397.1,"Tinnitus","Hearing"
"C922.6","Complication of implanted vaginal mesh","Complications of care"
"C946.4","Arthus phenomenon","Complications of care"
333.5,"Parasomnia and sleep arousal Disorders","Neuro"
840.17,"Milk allergy","Signs/Symptoms"
333.43,"Circadian rhythm sleep disorder, jet lag or shift work type","Neuro"
840.1,"Food allergy","Signs/Symptoms"
840.11,"Peanut allergy","Signs/Symptoms"
840.2,"Allergy to insects","Signs/Symptoms"
840.12,"Seafood allergy","Signs/Symptoms"
840.13,"Allergy to fruits and vegetables","Signs/Symptoms"
840.14,"Tree nut allergy","Signs/Symptoms"
840.15,"Fish allergy","Signs/Symptoms"
840.16,"Allergy to food additives","Signs/Symptoms"
298.1,"Intermittent explosive disorder","Mental"
471.2,"Deviated nasal septum","Resp"
840.18,"Egg allergy","Signs/Symptoms"
341.1,"Cerebral palsy","Neuro"
341.2,"Hemiplegia and hemiparesis","Neuro"
859.2,"Neonatal jaundice from hepatocellular damage","Neonate"
"T840.13","Superior glenoid labrum lesion","Trauma"
859.1,"Neonatal jaundice associated with preterm delivery","Neonate"
308.5,"Nervousness","Mental"
308.4,"Demoralization and apathy","Mental"
308.3,"Emotional lability","Mental"
308.2,"Impulsiveness","Mental"
308.1,"Irritability","Mental"
"C944.8","Postprocedural fever","Complications of care"
308.6,"Excessive crying of child, adolescent, or adult","Mental"
825,"Elevated C-reactive protein (CRP)","Signs/Symptoms"
333.2,"Insomnia","Neuro"
830,"Proteinuria","Signs/Symptoms"
890,"Lack of expected normal physiological development in childhood","Dev"
333.11,"Obstructive sleep apnea","Neuro"
890.1,"Failure to thrive in childhood","Dev"
891.4,"Delayed milestones","Dev"
890.3,"Short stature","Dev"
333.14,"Idiopathic sleep related nonobstructive alveolar hypoventilation","Neuro"
"T860.2","Peripheral stem cells replaced by transplant","Trauma"
249.3,"Wild-type transthyretin-related (ATTRwt) amyloidosis*","Metab"
440.12,"Portal vein thrombosis","Cardio"
468.4,"Personal history of pneumonia (recurrent)","Resp"
334.41,"Third [oculomotor] nerve palsy","Neuro"
380.11,"Optic neuritis","Eye"
375.14,"Low-tension glaucoma (Normal-tension glaucoma)","Eye"
333.13,"High altitude periodic breathing","Neuro"
418.1,"Abnormal electrocardiogram [ECG] [EKG]","Cardio"
202.2,"Type 2 diabetes","Endo"
290.1,"Posttraumatic stress disorder","Mental"
558,"Abnormal findings on diagnostic imaging of the digestive tract","GI"
"016","Chlamydia","ID"
"C945.4","Inflammation (infection) of postprocedural bleb","Complications of care"
525.31,"Lactose intolerance*","GI"
232.27,"Vitamin B12 deficiency","Metab"
214.11,"Premature menopause","Endo"
352,"Disturbances of sensation of smell and taste","Neuro"
333.12,"Central sleep apnea","Neuro"
375.7,"Hypotony of eye","Eye"
468.9,"Lobar pneumonia*","Resp"
418,"Abnormal results of cardiovascular function studies","Cardio"
440.3,"Pulmonary embolism","Cardio"
477.2,"Hypersensitivity pneumonitis","Resp"
296,"Specific personality disorders","Mental"
"053","Parvovirus","ID"
"T860.3","Graft-versus-host disease","Trauma"
"T860.1","Bone marrow replaced by transplant","Trauma"
961.4,"Adverse effect of antithyroid drugs","Rx"
857.5,"Acute idiopathic pulmonary hemorrhage in infants [aiphi]","Neonate"
333,"Sleep disorders","Neuro"
750.13,"Congenital reduction deformities of brain","Cong"
916.5,"Infection of amniotic cavity","Preg"
916.51,"Chorioamnionitis*","Preg"
922.2,"Thyroid dysfunction complicating pregnancy, childbirth, or the puerperium","Preg"
908.3,"Gestational [pregnancy-induced] hypertension without significant proteinuria","Preg"
901.1,"Ectopic pregnancy","Preg"
331.7,"Drug induced headache","Neuro"
917,"Liver and biliary tract disorders in pregnancy","Preg"
932.2,"Central nervous system malformation in fetus affecting management of mother","Preg"
162,"Aplastic anemia","Blood"
104.4,"Malignant neoplasm of peripheral nerves*","Neoplasms"
464.2,"Chronic nasopharyngitis","Resp"
753.51,"Absence of iris [Aniridia]","Cong"
753.6,"Congenital corneal malformations","Cong"
753.61,"Congenital corneal opacity","Cong"
753.5,"Congenital malformations of iris","Cong"
755.6,"Congenital absence, atresia and stricture of auditory canal*","Cong"
785,"Congenital anomalies of limbs","Cong"
763,"Congenital malformation of stomach","Cong"
784.4,"Congenital pes cavus*","Cong"
784.5,"Congenital vertical talus deformity [Rocker bottom foot]","Cong"
872.11,"Congenital hypertonia*","Neonate"
863,"Transitory neonatal endocrine disorders","Neonate"
369.44,"Senile corneal changes including arcus senilis","Eye"
961.3,"Adverse effect of thyroid hormones and substitutes","Rx"
891.2,"Specific developmental disorders of scholastic skills","Dev"
891.1,"Specific developmental disorders of speech and language","Dev"
891,"Specific developmental disorders","Dev"
963.4,"Adverse effect of other opioids","Rx"
964.4,"Adverse effect of antiparkinsonism drugs and other central muscle-tone depressants","Rx"
110.1,"Malignant neoplasm of the thyroid","Neoplasms"
"001","Salmonella","ID"
"002","Staphylococcus","ID"
"003","Escherichia coli","ID"
160.3,"Protein-deficiency anemia","Blood"
"011","Klebsiella","ID"
"012","Proteus","ID"
"004","Streptococcus","ID"
"005","Mycobacteria","ID"
486,"Other respiratory disorders","Resp"
"006","Neisseria","ID"
"007","Hemophilus infection","ID"
"009","Pseudomonas","ID"
"020","Borrelia","ID"
"021","Rickettsia","ID"
"052","Herpesvirus","ID"
"013","Mycoplasma","ID"
"014","Bacteroides fragilis","ID"
"015","Clostridium","ID"
"023","Vibrio","ID"
"055","Poxvirus","ID"
"056","Human papillomavirus","ID"
"017","Bartonellosis","ID"
"057","Retrovirus","ID"
"028","Bacillus","ID"
157.3,"Multiple endocrine neoplasia [MEN] type IIB","Neoplasms"
"018","Serratia","ID"
168,"Coagulation defects, purpura and other hemorrhagic conditions","Blood"
109.1,"Malignant neoplasm of eye","Neoplasms"
109.2,"Malignant neoplasm of meninges","Neoplasms"
109.12,"Malignant neoplasm of lacrimal gland and duct","Neoplasms"
109.3,"Malignant neoplasm of brain","Neoplasms"
109.4,"Malignant neoplasm of spinal cord","Neoplasms"
109.11,"Malignant neoplasm of orbit","Neoplasms"
239.1,"Hypercholesterolemia","Metab"
232.3,"Vitamin C deficiency [Ascorbic acid]","Metab"
110.3,"Malignant neoplasm of the parathyroid gland","Neoplasms"
144.3,"Benign neoplasms of the ovary","Neoplasms"
144.11,"Benign neoplasms of the vulva","Neoplasms"
144.12,"Benign neoplasms of the vagina","Neoplasms"
144.13,"Benign neoplasms of the cervix","Neoplasms"
140,"Benign neoplasm of the breast","Neoplasms"
139.51,"Lipomatosis*","Neoplasms"
144.1,"Benign neoplasms of external female genital organs and cervix","Neoplasms"
144,"Gynecological benign neoplasms","Neoplasms"
177.12,"Chronic lymphadenitis","Blood"
247.72,"Iron deficiency","Metab"
148,"Benign neoplasm of the eye, brain and other parts of central nervous system","Neoplasms"
331.8,"Headache NOS","Neuro"
220.1,"Persistent hyperplasia of thymus","Endo"
171.1,"Lymphocytosis (symptomatic)","Blood"
171.2,"Monocytosis (symptomatic)","Blood"
171.3,"Plasmacytosis","Blood"
171.4,"Leukemoid reaction","Blood"
965.6,"Malignant neuroleptic syndrome","Rx"
247.81,"Dietary selenium deficiency*","Metab"
892.4,"Autistic disorder","Dev"
333.61,"Periodic limb movement disorder","Neuro"
349.13,"Abnormal findings on diagnostic imaging of skull and head","Neuro"
323.32,"Progressive bulbar palsy","Neuro"
323.33,"Primary lateral sclerosis","Neuro"
441,"Arteriovenous malformation","Cardio"
753.9,"Congenital or developmental glaucoma","Cong"
333.51,"Confusional arousals","Neuro"
333.4,"Circadian rhythm sleep disorder","Neuro"
871.1,"Vomiting of newborn","Neonate"
871.2,"Failure to thrive in newborn","Neonate"
380.5,"Disorders of visual cortex","Eye"
468.8,"Bronchopneumonia","Resp"
396.1,"Conductive hearing loss","Hearing"
403,"Angina pectoris","Cardio"
333.1,"Sleep apnea","Neuro"
343.1,"Autonomic neuropathy","Neuro"
401.61,"Renovascular hypertension","Cardio"
404,"Ischemic heart disease","Cardio"
404.11,"Acute myocardial infarction","Cardio"
727.8,"Physeal arrest and disorders of bone development and growth*","Musc/Skel"
441.1,"Arteriovenous fistula","Cardio"
443.2,"Celiac artery compression syndrome","Cardio"
326.3,"Diffuse myelinoclastic sclerosis [Schilder's disease]","Neuro"
122.11,"Nodular sclerosis Hodgkin lymphoma","Neoplasms"
326.1,"Multiple sclerosis","Neuro"
545,"Nonspecific abnormal results of function study of liver","GI"
550.2,"Cholecystitis","GI"
550.3,"Gallbladder perforation","GI"
542.8,"","GI"
550,"Disorders of the gallbladder","GI"
907.7,"Placental infarction*","Preg"
554.8,"","GI"
597.6,"Urethral false passage","Genitourinary"
597.5,"Urethral caruncle","Genitourinary"
597.4,"Urethral diverticulum","Genitourinary"
593.3,"Recurrent and persistent hematuria*","Genitourinary"
593.4,"Hematuria in other conditions*","Genitourinary"
329.6,"Transient global amnesia","Neuro"
602.2,"Cyst of prostate","Genitourinary"
608.1,"Abnormal findings in semen","Genitourinary"
604.5,"Balanoposthitis","Genitourinary"
610.5,"Mammary duct ectasia","Genitourinary"
928,"Poor fetal growth and uterine size date discrepancy","Preg"
904.3,"Antepartum hemorrhage","Preg"
900.1,"Spontaneous abortion","Preg"
900,"Spontaneous abortion or history of recurrent pregnancy loss","Preg"
901.12,"Tubal pregnancy","Preg"
901.11,"Abdominal pregnancy","Preg"
901.13,"Ovarian pregnancy","Preg"
904,"Bleeding in pregnancy","Preg"
903,"Preterm labor (including history of)","Preg"
907.1,"Placenta previa","Preg"
905,"Premature rupture of membranes","Preg"
"N000","Liveborn infant","Neonate"
"P003","Maternal postpartum care and examination","Preg"
"P001","Supervision of pregnancy","Preg"
"P002","Labor and delivery","Preg"
918,"Pregnancy related renal disease","Preg"
807.11,"Postviral fatigue syndrome*","Signs/Symptoms"
947.6,"Velamentous insertion of umbilical cord*","Preg"
916.1,"Infections of genitourinary tract in pregnancy","Preg"
916.2,"Viral diseases complicating pregnancy, childbirth, or the puerperium","Preg"
926.1,"Postpartum mood disturbance*","Preg"
329.5,"Mild cognitive impairment, so stated","Neuro"
932.3,"Genetic disease in fetus affecting management of mother","Preg"
942,"False labor","Preg"
944,"Late pregnancy","Preg"
329.45,"Frontal lobe and executive function deficit","Neuro"
945,"Rupture of uterus","Preg"
950,"Puerperal infection or fever","Preg"
121.12,"Acute myeloid leukemia","Neoplasms"
916.3,"","Preg"
941.2,"Precipitate labor","Preg"
941.1,"Uterine inertia","Preg"
665,"Psoriasis","Derm"
664,"Papulosquamous disorders","Derm"
664.1,"Lichen planus, nitidus, or striatus","Derm"
664.2,"Pityriasis","Derm"
200.5,"Disorders of thyrocalcitonin secretion","Endo"
685.4,"Prickly heat and miliaria","Derm"
685.5,"Anhidrosis","Derm"
284,"Suicide ideation and attempt or self harm","Mental"
371.32,"Infantile and juvenile nuclear cataract","Eye"
885.32,"Moderate to late preterm, 35-36 weeks","Neonate"
754,"Congenital anomalies of eyelids, lacrimal system, and orbit","Cong"
753.4,"Coloboma","Cong"
758.1,"Congenital facial asymmetry*","Cong"
"N000.72","Quadruplet liveborn infant*","Neonate"
371.31,"Age-related nuclear cataract","Eye"
875,"Newborn affected by maternal conditions","Neonate"
416.211,"Paroxysmal atrial fibrillation*","Cardio"
832.9,"Hypercalciuria*","Signs/Symptoms"
329.44,"Psychomotor deficit","Neuro"
431.13,"Brain stem stroke syndrome*","Cardio"
871,"Feeding problems of newborn","Neonate"
329.43,"Visuospatial deficit","Neuro"
353.1,"Hallucinations","Neuro"
961.5,"Adverse effect of oral contraceptives and ovarian hormones","Rx"
832.6,"Pyuria*","Signs/Symptoms"
832.7,"Hypocitraturia*","Signs/Symptoms"
964.3,"Adverse effect of benzodiazepines","Rx"
974.1,"Postvaccination fever","Rx"
329.42,"Cognitive communication deficit","Neuro"
"002.1","Staphylococcus aureus","ID"
104,"Malignant sarcoma-related cancers","Neoplasms"
217.4,"Short stature due to endocrine disorder","Endo"
204,"Elevated blood glucose level","Endo"
232.1,"Vitamin A deficiency","Metab"
892,"Pervasive developmental disorders","Dev"
463.21,"Seasonal allergic rhinitis","Resp"
464,"Nasopharyngitis","Resp"
462,"Sinusitis","Resp"
329.41,"Attention and concentration deficit","Neuro"
526,"Intestinal infection","GI"
526.1,"Bacterial enteritis","GI"
526.11,"Intestinal e.coli","GI"
526.12,"Intestinal infection due to C. difficile","GI"
526.13,"Shigellosis","GI"
526.2,"Viral enteritis","GI"
526.21,"Rotaviral enteritis","GI"
526.3,"Intestinal infection due to protozoa","GI"
"006.1","Neisseria meningitidis","ID"
"006.2","Neisseria gonorrhea","ID"
"007.1","Hemophilus influenzae","ID"
"015.1","Clostridium perfringens","ID"
"015.2","Clostridium difficile","ID"
"015.3","Clostridium botulinum","ID"
"016.1","Chlamydia trachomatis","ID"
"050.1","Poliovirus","ID"
"050.2","Coxsackie virus","ID"
"050.3","ECHO virus","ID"
"050.4","Hand, foot, and mouth disease","ID"
"050.5","Enteroviral vesicular pharyngitis","ID"
"052.1","Herpes simplex","ID"
"096","Contact or exposure to infectious agent","ID"
"052.3","Varicella zoster virus","ID"
"052.4","Infectious mononucleosis","ID"
"052.5","Cytomegalovirus [CMV]","ID"
"052.6","Human herpesvirus 6 and 7","ID"
"025","Enterococcus","ID"
"024","Pertussis","ID"
"055.1","Molluscum contagiosum","ID"
"057.1","Human immunodeficiency virus","ID"
"027","Shigella","ID"
"092.5","Toxic shock syndrome","ID"
"054.1","Hepatitis A","ID"
"054.2","Hepatitis B","ID"
"054.3","Hepatitis C","ID"
"054.5","Hepatitis E","ID"
"054.21","Hepatitis delta","ID"
"019","Treponema","ID"
"050","Enterovirus","ID"
"030","Campylobacter","ID"
"071","Coccidioides","ID"
180.1,"Autoimmune lymphoproliferative syndrome [ALPS]","Blood"
179.5,"Selective deficiency of immunoglobulin M [IgM]","Blood"
"073","Blastomyces","ID"
"074","Aspergillosis","ID"
"075","Cryptococcosis","ID"
238.2,"Hypercarotenemia","Metab"
"020.1","Lyme disease","ID"
"060","Adenovirus","ID"
"058.1","Respiratory syncytial virus","ID"
"059","Coronavirus","ID"
161.2,"Extrinsic (acquired) hemolytic anemias","Blood"
"022","Ehrlichiosis","ID"
660,"Infection of the skin","Derm"
104.2,"Malignant neoplasm of retroperitoneum and peritoneum","Neoplasms"
104.1,"Malignant neoplam of the bone and/or cartilage","Neoplasms"
204.1,"Impaired fasting glucose","Endo"
204.2,"Impaired glucose tolerance (oral)","Endo"
209.21,"Diabetes insipidus","Endo"
214.21,"Estrogen excess","Endo"
214.22,"Androgen excess*","Endo"
215.5,"Postprocedural testicular hypofunction","Endo"
603.5,"Orchitis and epididymitis","Genitourinary"
396.2,"Sensorineural hearing loss","Hearing"
396.3,"Mixed conductive and sensorineural hearing loss","Hearing"
396,"Hearing impairment","Hearing"
629,"Female infertility","Genitourinary"
594.31,"Urge incontinence","Genitourinary"
594.11,"Urinary hesitancy","Genitourinary"
594.32,"Stress incontinence","Genitourinary"
504.2,"Gingival recession","GI"
468.6,"Cytomegaloviral pneumonitis","Resp"
329.3,"Age-related cognitive decline [Senility]","Neuro"
296.8,"Narcissistic personality disorder","Mental"
367.6,"Episcleritis","Eye"
380.24,"Pseudopapilledema of optic disc","Eye"
888,"Skin conditions in infants","Neonate"
361.8,"Blepharophimosis","Eye"
520.11,"Inguinal hernia","GI"
520.12,"Femoral hernia","GI"
165.1,"Sickle-cell disorders","Blood"
733.31,"Crowding of teeth","Musc/Skel"
308.7,"Restlessness and agitation*","Mental"
674.21,"Cafe au lait spots*","Derm"
528.2,"Vomiting","GI"
823.1,"Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]","Signs/Symptoms"
609.1,"Azoospermia","Genitourinary"
618.11,"Cystocele","Genitourinary"
907.4,"Placenta accreta*","Preg"
446.2,"Orthostatic hypotension","Cardio"
328.34,"Cerebral degenerations in childhood","Neuro"
328.341,"Leigh's disease*","Neuro"
762.1,"Congenital tracheoesophageal fistula, esophageal atresia and stenosis","Cong"
444.1,"Varicose veins","Cardio"
374,"Disorders of the retina","Eye"
413.41,"Pulmonary valve stenosis*","Cardio"
413.42,"Pulmonary valve insufficiency*","Cardio"
413.21,"Aortic stenosis","Cardio"
413.22,"Aortic insufficiency","Cardio"
619.31,"Incompetence of cervix uteri","Genitourinary"
413.11,"Mitral valve insufficiency","Cardio"
413.12,"Mitral valve prolapse*","Cardio"
413.13,"Mitral valve stenosis","Cardio"
413.31,"Tricuspid value stenosis*","Cardio"
413.32,"Tricuspid value insufficiency*","Cardio"
438.7,"Aneurysm of heart","Cardio"
438.9,"Aneurysm of pulmonary artery","Cardio"
438.14,"Ruptured aoritc aneurysm","Cardio"
175.3,"Familial polycythemia [Familial erythrocytosis]","Blood"
448.2,"Erythromelalgia","Cardio"
106.3,"Malignant neoplasm of the ovary","Neoplasms"
106.4,"Malignant neoplasm of the fallopian tube and uterine adnexa","Neoplasms"
139,"Benign sarcoma-related cancers","Neoplasms"
334.23,"Facial weakness","Neuro"
683.2,"Nail dystrophy*","Derm"
"098.3","Carrier of viral hepatitis","ID"
"097","Drug resistant microorganisms","ID"
594.33,"Nocturnal enuresis","Genitourinary"
