CUI	ICD9_code	ICD9_label	hpo_code	hpo_label	phecode1.2_codeList	phecodeX_codeList	ICD9_simpleLabel	phecodeXupdated_codeList
C0016658	803.1	Other closed skull fracture with cerebral laceration and contusion	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion	['MS_745.7']
C0016658	825	Fracture of one or more tarsal and metatarsal bones	HP_0020110	Bone fracture	['801']	['T825']	fracture of one or more tarsal and metatarsal bones	['MS_745.4']
C0016658	804.62	Open fractures involving skull or face with other bones, with cerebral laceration and contusion, with brief [less than one hour] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	open fractures involving skull or face with other bones with cerebral laceration and contusion with brief less than one hour loss of consciousness	['MS_745.7']
C0016658	803.74	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhage with prolonged more than 24 hours loss of consciousness and return to pre-existing conscious level	['MS_745.7']
C0016658	821.00	Closed fracture of unspecified part of femur	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	closed fracture ofpart of femur	['MS_745.11']
C0016658	803.75	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhage with prolonged more than 24 hours loss of consciousness without return to pre-existing conscious level	['MS_745.7']
C0016658	821.0	Fracture of shaft or unspecified part of femur, closed	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	fracture of shaft orpart of femur closed	['MS_745.11']
C0016658	803.76	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhage with loss of consciousness ofduration	['MS_745.7']
C0016658	803.84	Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage with prolonged more than 24 hours loss of consciousness and return to pre-existing conscious level	['MS_745.7']
C0016658	820.3	Pertrochanteric fracture of femur, open	HP_0020110	Bone fracture	['800', '800.1']	['T820.1']	pertrochanteric fracture of femur open	['MS_745.11']
C0016658	803.83	Other open skull fracture with other and unspecified intracranial hemorrhage, with moderate [1-24 hours] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage with moderate 1-24 hours loss of consciousness	['MS_745.7']
C0016658	820.30	Open fracture of trochanteric section of neck of femur, unspecified	HP_0020110	Bone fracture	['800', '800.1']	['T820.1']	open fracture of trochanteric section of neck of femur	['MS_745.11']
C0016658	803.82	Other open skull fracture with other and unspecified intracranial hemorrhage, with brief [less than one hour] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage with brief less than one hour loss of consciousness	['MS_745.7']
C0016658	820.31	Open fracture of intertrochanteric section of neck of femur	HP_0020110	Bone fracture	['800', '800.1']	['T820.1']	open fracture of intertrochanteric section of neck of femur	['MS_745.11']
C0016658	824.6	Trimalleolar fracture, closed	HP_0020110	Bone fracture	['801', '801.1']	['T824']	trimalleolar fracture closed	['MS_745.1']
C0016658	803.81	Other open skull fracture with other and unspecified intracranial hemorrhage, with no loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage with no loss of consciousness	['MS_745.7']
C0016658	803.80	Other open skull fracture with other and unspecified intracranial hemorrhage, unspecified state of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhagestate of consciousness	['MS_745.7']
C0016658	820.8	Closed fracture of unspecified part of neck of femur	HP_0020110	Bone fracture	['800', '800.1']	['T820.1']	closed fracture ofpart of neck of femur	['MS_745.11']
C0016658	803.8	Other open skull fracture with other and unspecified intracranial hemorrhage	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage	['MS_745.7']
C0016658	820.9	Open fracture of unspecified part of neck of femur	HP_0020110	Bone fracture	['800', '800.1']	['T820.1']	open fracture ofpart of neck of femur	['MS_745.11']
C0016658	823.41	Torus fracture, fibula alone	HP_0020110	Bone fracture	['823']	['T823']	torus fracture fibula alone	['MS_745.1']
C0016658	821	Fracture of other and unspecified parts of femur	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	fracture of other andparts of femur	['MS_745.11']
C0016658	820.32	Open fracture of subtrochanteric section of neck of femur	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	open fracture of subtrochanteric section of neck of femur	['MS_745.11']
C0016658	803.72	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhage with brief less than one hour loss of consciousness	['MS_745.7']
C0016658	803.13	Other closed skull fracture with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion with moderate 1-24 hours loss of consciousness	['MS_745.7']
C0016658	821.10	Open fracture of unspecified part of femur	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	open fracture ofpart of femur	['MS_745.11']
C0016658	821.11	Open fracture of shaft of femur	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	open fracture of shaft of femur	['MS_745.11']
C0016658	803.23	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with moderate [1-24 hours] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with moderate 1-24 hours loss of consciousness	['MS_745.7']
C0016658	823.90	Open fracture of unspecified part of tibia alone	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	open fracture ofpart of tibia alone	['MS_745.1']
C0016658	803.24	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with prolonged more than 24 hours loss of consciousness and return to pre-existing conscious level	['MS_745.7']
C0016658	823.9	Fracture of unspecified part of tibia and fibula, open	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	fracture ofpart of tibia and fibula open	['MS_745.1']
C0016658	803.25	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with prolonged more than 24 hours loss of consciousness without return to pre-existing conscious level	['MS_745.7']
C0016658	823.91	Open fracture of unspecified part of fibula alone	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	open fracture ofpart of fibula alone	['MS_745.1']
C0016658	823.82	Closed fracture of unspecified part of fibula with tibia	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	closed fracture ofpart of fibula with tibia	['MS_745.1']
C0016658	823.81	Closed fracture of unspecified part of fibula alone	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	closed fracture ofpart of fibula alone	['MS_745.1']
C0016658	803.70	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhagestate of consciousness	['MS_745.7']
C0016658	803.29	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with concussion, unspecified	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with concussion	['MS_745.7']
C0016658	823.80	Closed fracture of unspecified part of tibia alone	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	closed fracture ofpart of tibia alone	['MS_745.1']
C0016658	803.3	Closed skull fracture with other and unspecified intracranial hemorrhage	HP_0020110	Bone fracture	['819']	['T819']	closed skull fracture with other andintracranial hemorrhage	['MS_745.7']
C0016658	821.2	Fracture of lower end of femur, closed	HP_0020110	Bone fracture	['800', '800.2']	['T820.1']	fracture of lower end of femur closed	['MS_745.11']
C0016658	803.26	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with loss of consciousness of unspecified duration	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with loss of consciousness ofduration	['MS_745.7']
C0016658	803.85	Other open skull fracture with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with other andintracranial hemorrhage with prolonged more than 24 hours loss of consciousness without return to pre-existing conscious level	['MS_745.7']
C0016658	803.22	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with brief [less than one hour] loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with brief less than one hour loss of consciousness	['MS_745.7']
C0016658	803.21	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage with no loss of consciousness	['MS_745.7']
C0016658	824.5	Bimalleolar fracture, open	HP_0020110	Bone fracture	['801', '801.1']	['T824']	bimalleolar fracture open	['MS_745.1']
C0016658	803.14	Other closed skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness and return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion with prolonged more than 24 hours loss of consciousness and return to pre-existing conscious level	['MS_745.7']
C0016658	824.4	Bimalleolar fracture, closed	HP_0020110	Bone fracture	['801', '801.1']	['T824']	bimalleolar fracture closed	['MS_745.1']
C0016658	803.15	Other closed skull fracture with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion with prolonged more than 24 hours loss of consciousness without return to pre-existing conscious level	['MS_745.7']
C0016658	824.3	Fracture of lateral malleolus, open	HP_0020110	Bone fracture	['801', '801.1']	['T824']	fracture of lateral malleolus open	['MS_745.1']
C0016658	803.71	Other open skull fracture with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other open skull fracture with subarachnoid subdural and extradural hemorrhage with no loss of consciousness	['MS_745.7']
C0016658	823.92	Open fracture of unspecified part of fibula with tibia	HP_0020110	Bone fracture	['800', '800.3']	['T820.4']	open fracture ofpart of fibula with tibia	['MS_745.1']
C0016658	803.16	Other closed skull fracture with cerebral laceration and contusion, with loss of consciousness of unspecified duration	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion with loss of consciousness ofduration	['MS_745.7']
C0016658	803.19	Other closed skull fracture with cerebral laceration and contusion, with concussion, unspecified	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with cerebral laceration and contusion with concussion	['MS_745.7']
C0016658	824.1	Fracture of medial malleolus, open	HP_0020110	Bone fracture	['801', '801.1']	['T824']	fracture of medial malleolus open	['MS_745.1']
C0016658	803.2	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhage	['MS_745.7']
C0016658	824.0	Fracture of medial malleolus, closed	HP_0020110	Bone fracture	['801', '801.1']	['T824']	fracture of medial malleolus closed	['MS_745.1']
C0016658	803.20	Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, unspecified state of consciousness	HP_0020110	Bone fracture	['819']	['T819']	other closed skull fracture with subarachnoid subdural and extradural hemorrhagestate of consciousness	['MS_745.7']
C0016658	824	Fracture of ankle	HP_0020110	Bone fracture	['801', '801.1']	['T824']	fracture of ankle	['MS_745.1']
C0016658	824.2	Fracture of lateral malleolus, closed	HP_0020110	Bone fracture	['801', '801.1']	['T824']	fracture of lateral malleolus closed	['MS_745.1']
C0016658	814.01	Closed fracture of navicular [scaphoid] bone of wrist	HP_0020110	Bone fracture	['804']	['T827']	closed fracture of navicular scaphoid bone of wrist	['MS_745.5']
C0016658	813.43	Closed fracture of distal end of ulna (alone)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of distal end of ulna alone	['MS_745.3']
C0016658	814.00	Closed fracture of carpal bone, unspecified	HP_0020110	Bone fracture	['804']	['T827']	closed fracture of carpal bone	['MS_745.5']
C0016658	808.0	Closed fracture of acetabulum	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of acetabulum	['MS_745.2']
C0016658	808.1	Open fracture of acetabulum	HP_0020110	Bone fracture	['802']	['T821']	open fracture of acetabulum	['MS_745.2']
C0016658	808.2	Closed fracture of pubis	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of pubis	['MS_745.2']
C0016658	808.3	Open fracture of pubis	HP_0020110	Bone fracture	['802']	['T821']	open fracture of pubis	['MS_745.2']
C0016658	808.4	Closed fracture of other specified part of pelvis	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of other specified part of pelvis	['MS_745.2']
C0016658	808.41	Closed fracture of ilium	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of ilium	['MS_745.2']
C0016658	808.42	Closed fracture of ischium	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of ischium	['MS_745.2']
C0016658	808.43	Multiple closed pelvic fractures with disruption of pelvic circle	HP_0020110	Bone fracture	['802']	['T821']	multiple closed pelvic fractures with disruption of pelvic circle	['MS_745.2']
C0016658	808.44	Multiple closed pelvic fractures without disruption of pelvic circle	HP_0020110	Bone fracture	['802']	['T821']	multiple closed pelvic fractures without disruption of pelvic circle	['MS_745.2']
C0016658	808.49	Closed fracture of other specified part of pelvis	HP_0020110	Bone fracture	['802']	['T821']	closed fracture of other specified part of pelvis	['MS_745.2']
C0016658	808.5	Open fracture of other specified part of pelvis	HP_0020110	Bone fracture	['802']	['T821']	open fracture of other specified part of pelvis	['MS_745.2']
C0016658	808.51	Open fracture of ilium	HP_0020110	Bone fracture	['802']	['T821']	open fracture of ilium	['MS_745.2']
C0016658	808.52	Open fracture of ischium	HP_0020110	Bone fracture	['802']	['T821']	open fracture of ischium	['MS_745.2']
C0016658	808.53	Multiple open pelvic fractures with disruption of pelvic circle	HP_0020110	Bone fracture	['802']	['T821']	multiple open pelvic fractures with disruption of pelvic circle	['MS_745.2']
C0016658	808.54	Multiple open pelvic fractures without disruption of pelvic circle	HP_0020110	Bone fracture	['802']	['T821']	multiple open pelvic fractures without disruption of pelvic circle	['MS_745.2']
C0016658	808.59	Open fracture of other specified part of pelvis	HP_0020110	Bone fracture	['802']	['T821']	open fracture of other specified part of pelvis	['MS_745.2']
C0016658	808.8	Closed unspecified fracture of pelvis	HP_0020110	Bone fracture	['802']	['T821']	closedfracture of pelvis	['MS_745.2']
C0016658	810.12	Open fracture of shaft of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	open fracture of shaft of clavicle	['MS_745.6']
C0016658	810.11	Open fracture of sternal end of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	open fracture of sternal end of clavicle	['MS_745.6']
C0016658	810.10	Open fracture of clavicle, unspecified part	HP_0020110	Bone fracture	['803', '803.3']	['T826']	open fracture of claviclepart	['MS_745.6']
C0016658	810.1	Open fracture of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	open fracture of clavicle	['MS_745.6']
C0016658	810.03	Closed fracture of acromial end of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of acromial end of clavicle	['MS_745.6']
C0016658	810.02	Closed fracture of shaft of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of shaft of clavicle	['MS_745.6']
C0016658	808	Fracture of pelvis	HP_0020110	Bone fracture	['802']	['T821']	fracture of pelvis	['MS_745.2']
C0016658	810.01	Closed fracture of sternal end of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of sternal end of clavicle	['MS_745.6']
C0016658	810.0	Closed fracture of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of clavicle	['MS_745.6']
C0016658	810	Fracture of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	fracture of clavicle	['MS_745.6']
C0016658	809.1	Fracture of bones of trunk, open	HP_0020110	Bone fracture	['809']	['T828']	fracture of bones of trunk open	['MS_745']
C0016658	809.0	Fracture of bones of trunk, closed	HP_0020110	Bone fracture	['809']	['T828']	fracture of bones of trunk closed	['MS_745']
C0016658	809	Ill-defined fractures of bones of trunk	HP_0020110	Bone fracture	['809']	['T828']	ill-defined fractures of bones of trunk	['MS_745']
C0016658	808.9	Open unspecified fracture of pelvis	HP_0020110	Bone fracture	['802']	['T821']	openfracture of pelvis	['MS_745.2']
C0016658	810.00	Closed fracture of clavicle, unspecified part	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of claviclepart	['MS_745.6']
C0016658	807.6	Open fracture of larynx and trachea	HP_0020110	Bone fracture	['809']	['T828']	open fracture of larynx and trachea	['MS_745']
C0016658	807.5	Closed fracture of larynx and trachea	HP_0020110	Bone fracture	['809']	['T828']	closed fracture of larynx and trachea	['MS_745']
C0016658	807.3	Open fracture of sternum	HP_0020110	Bone fracture	['809']	['T828']	open fracture of sternum	['MS_745']
C0016658	807.03	Closed fracture of three ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of three ribs	['MS_745.6']
C0016658	807.02	Closed fracture of two ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of two ribs	['MS_745.6']
C0016658	807.01	Closed fracture of one rib	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of one rib	['MS_745.6']
C0016658	807.00	Closed fracture of rib(s), unspecified	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of ribs	['MS_745.6']
C0016658	807.0	Closed fracture of rib(s)	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of ribs	['MS_745.6']
C0016658	807	Fracture of rib(s), sternum, larynx, and trachea	HP_0020110	Bone fracture	['807']	['T817']	fracture of ribs sternum larynx and trachea	['MS_745.6']
C0016658	807.04	Closed fracture of four ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of four ribs	['MS_745.6']
C0016658	806.9	Open fracture of unspecified vertebral column with spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	open fracture ofvertebral column with spinal cord injury	['MS_745.61']
C0016658	806.79	Open fracture of sacrum and coccyx with other spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	open fracture of sacrum and coccyx with other spinal cord injury	['MS_745.61']
C0016658	806.72	Open fracture of sacrum and coccyx with other cauda equina injury	HP_0020110	Bone fracture	['805']	['T818']	open fracture of sacrum and coccyx with other cauda equina injury	['MS_745.61']
C0016658	806.71	Open fracture of sacrum and coccyx with complete cauda equina lesion	HP_0020110	Bone fracture	['805']	['T818']	open fracture of sacrum and coccyx with complete cauda equina lesion	['MS_745.61']
C0016658	806.70	Open fracture of sacrum and coccyx with unspecified spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	open fracture of sacrum and coccyx withspinal cord injury	['MS_745.61']
C0016658	806.7	Open fracture of sacrum and coccyx with spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	open fracture of sacrum and coccyx with spinal cord injury	['MS_745.61']
C0016658	806.69	Closed fracture of sacrum and coccyx with other spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	closed fracture of sacrum and coccyx with other spinal cord injury	['MS_745.61']
C0016658	806.8	Closed fracture of unspecified vertebral column with spinal cord injury	HP_0020110	Bone fracture	['805']	['T818']	closed fracture ofvertebral column with spinal cord injury	['MS_745.61']
C0016658	810.13	Open fracture of acromial end of clavicle	HP_0020110	Bone fracture	['803', '803.3']	['T826']	open fracture of acromial end of clavicle	['MS_745.6']
C0016658	807.05	Closed fracture of five ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of five ribs	['MS_745.6']
C0016658	807.07	Closed fracture of seven ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of seven ribs	['MS_745.6']
C0016658	807.2	Closed fracture of sternum	HP_0020110	Bone fracture	['809']	['T828']	closed fracture of sternum	['MS_745']
C0016658	807.19	Open fracture of multiple ribs, unspecified	HP_0020110	Bone fracture	['807']	['T817']	open fracture of multiple ribs	['MS_745.6']
C0016658	807.18	Open fracture of eight or more ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of eight or more ribs	['MS_745.6']
C0016658	807.17	Open fracture of seven ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of seven ribs	['MS_745.6']
C0016658	807.16	Open fracture of six ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of six ribs	['MS_745.6']
C0016658	807.15	Open fracture of five ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of five ribs	['MS_745.6']
C0016658	807.06	Closed fracture of six ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of six ribs	['MS_745.6']
C0016658	807.14	Open fracture of four ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of four ribs	['MS_745.6']
C0016658	807.12	Open fracture of two ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of two ribs	['MS_745.6']
C0016658	807.11	Open fracture of one rib	HP_0020110	Bone fracture	['807']	['T817']	open fracture of one rib	['MS_745.6']
C0016658	807.10	Open fracture of rib(s), unspecified	HP_0020110	Bone fracture	['807']	['T817']	open fracture of ribs	['MS_745.6']
C0016658	807.1	Open fracture of rib(s)	HP_0020110	Bone fracture	['807']	['T817']	open fracture of ribs	['MS_745.6']
C0016658	807.09	Closed fracture of multiple ribs, unspecified	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of multiple ribs	['MS_745.6']
C0016658	807.08	Closed fracture of eight or more ribs	HP_0020110	Bone fracture	['807']	['T817']	closed fracture of eight or more ribs	['MS_745.6']
C0016658	807.13	Open fracture of three ribs	HP_0020110	Bone fracture	['807']	['T817']	open fracture of three ribs	['MS_745.6']
C0016658	806.62	Closed fracture of sacrum and coccyx with other cauda equina injury	HP_0020110	Bone fracture	['805']	['T818']	closed fracture of sacrum and coccyx with other cauda equina injury	['MS_745.61']
C0016658	811	Fracture of scapula	HP_0020110	Bone fracture	['803', '803.3']	['T826']	fracture of scapula	['MS_745.6']
C0016658	811.0	Closed fracture of scapula	HP_0020110	Bone fracture	['803', '803.3']	['T826']	closed fracture of scapula	['MS_745.6']
C0016658	812.49	Other closed fracture of lower end of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	other closed fracture of lower end of humerus	['MS_745.3']
C0016658	812.5	Fracture of lower end of humerus, open	HP_0020110	Bone fracture	['803', '803.1']	['T822']	fracture of lower end of humerus open	['MS_745.3']
C0016658	812.50	Open fracture of unspecified part of lower end of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	open fracture ofpart of lower end of humerus	['MS_745.3']
C0016658	812.51	Open supracondylar fracture of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	open supracondylar fracture of humerus	['MS_745.3']
C0016658	812.52	Open fracture of lateral condyle of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	open fracture of lateral condyle of humerus	['MS_745.3']
C0016658	812.53	Open fracture of medial condyle of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	open fracture of medial condyle of humerus	['MS_745.3']
C0016658	812.54	Open fracture of unspecified condyle(s) of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	open fracture ofcondyles of humerus	['MS_745.3']
C0016658	812.59	Other open fracture of lower end of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	other open fracture of lower end of humerus	['MS_745.3']
C0016658	813	Fracture of radius and ulna	HP_0020110	Bone fracture	['803', '803.2']	['T822']	fracture of radius and ulna	['MS_745.3']
C0016658	813.0	Fracture of upper end of radius and ulna, closed	HP_0020110	Bone fracture	['803', '803.2']	['T822']	fracture of upper end of radius and ulna closed	['MS_745.3']
C0016658	813.00	Closed fracture of upper end of forearm, unspecified	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of upper end of forearm	['MS_745.3']
C0016658	813.01	Closed fracture of olecranon process of ulna	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of olecranon process of ulna	['MS_745.3']
C0016658	813.02	Closed fracture of coronoid process of ulna	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of coronoid process of ulna	['MS_745.3']
C0016658	813.03	Closed Monteggia's fracture	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed monteggias fracture	['MS_745.3']
C0016658	813.04	Other and unspecified closed fractures of proximal end of ulna (alone)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	other andclosed fractures of proximal end of ulna alone	['MS_745.3']
C0016658	813.05	Closed fracture of head of radius	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of head of radius	['MS_745.3']
C0016658	813.06	Closed fracture of neck of radius	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of neck of radius	['MS_745.3']
C0016658	813.20	Closed fracture of shaft of radius or ulna, unspecified	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of shaft of radius or ulna	['MS_745.3']
C0016658	813.2	Fracture of shaft of radius and ulna, closed	HP_0020110	Bone fracture	['803', '803.2']	['T822']	fracture of shaft of radius and ulna closed	['MS_745.3']
C0016658	813.18	Open fracture of radius with ulna, upper end (any part)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of radius with ulna upper end any part	['MS_745.3']
C0016658	813.17	Other and unspecified open fractures of proximal end of radius (alone)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	other andopen fractures of proximal end of radius alone	['MS_745.3']
C0016658	813.16	Open fracture of neck of radius	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of neck of radius	['MS_745.3']
C0016658	813.15	Open fracture of head of radius	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of head of radius	['MS_745.3']
C0016658	812.44	Closed fracture of unspecified condyle(s) of humerus	HP_0020110	Bone fracture	['803', '803.1']	['T822']	closed fracture ofcondyles of humerus	['MS_745.3']
C0016658	813.14	Other and unspecified open fractures of proximal end of ulna (alone)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	other andopen fractures of proximal end of ulna alone	['MS_745.3']
C0016658	813.12	Open fracture of coronoid process of ulna	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of coronoid process of ulna	['MS_745.3']
C0016658	813.11	Open fracture of olecranon process of ulna	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of olecranon process of ulna	['MS_745.3']
C0016658	813.10	Open fracture of upper end of forearm, unspecified	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open fracture of upper end of forearm	['MS_745.3']
C0016658	813.1	Fracture of upper end of radius and ulna, open	HP_0020110	Bone fracture	['803', '803.2']	['T822']	fracture of upper end of radius and ulna open	['MS_745.3']
C0016658	813.08	Closed fracture of radius with ulna, upper end [any part]	HP_0020110	Bone fracture	['803', '803.2']	['T822']	closed fracture of radius with ulna upper end any part	['MS_745.3']
C0016658	813.07	Other and unspecified closed fractures of proximal end of radius (alone)	HP_0020110	Bone fracture	['803', '803.2']	['T822']	other andclosed fractures of proximal end of radius alone	['MS_745.3']
C0016658	813.13	Open Monteggia's fracture	HP_0020110	Bone fracture	['803', '803.2']	['T822']	open monteggias fracture	['MS_745.3']
