ICD10_code	ICD10_label	ICD10_simpleLabel	phecode1.2_codeList	phecodeX_codeList	hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_codeList
J32	Chronic sinusitis	chronic sinusitis	['475']	['462', '462.2']	HP_0011109	Chronic sinusitis	chronic sinusitis	True	['RE_462.2']
J32.9	Chronic sinusitis, unspecified	chronic sinusitis	['475']	['462', '462.2']	HP_0011109	Chronic sinusitis	chronic sinusitis	True	['RE_462.2']
J34.2	Deviated nasal septum	deviated nasal septum	['470']	['471', '471.2']	HP_0004411	Deviated nasal septum	deviated nasal septum	True	['RE_471.2']
J42	Unspecified chronic bronchitis	chronic bronchitis	['496', '496.2']	['469', '469.2', '474']	HP_0004469	Chronic bronchitis	chronic bronchitis	True	['RE_469.2', 'RE_474']
J43	Emphysema	emphysema	['496', '496.1']	['474', '474.1']	HP_0002097	Emphysema	emphysema	True	['RE_474.1']
J43.2	Centrilobular emphysema	centrilobular emphysema	['496', '496.1']	['474', '474.1', '474.13']	HP_0032966	Centrilobular emphysema	centrilobular emphysema	True	['RE_474.13']
J43.9	Emphysema, unspecified	emphysema	['496', '496.1']	['474', '474.1']	HP_0002097	Emphysema	emphysema	True	['RE_474.1']
J44.9	Chronic obstructive pulmonary disease, unspecified	chronic obstructive pulmonary disease	['496']	['474']	HP_0006510	Chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	False	['RE_474']
J45	Asthma	asthma	['495']	['475']	HP_0002099	Asthma	asthma	True	['RE_475']
J45.90	Unspecified asthma	asthma	['495']	['475']	HP_0002099	Asthma	asthma	True	['RE_475']
J47	Bronchiectasis	bronchiectasis	['496', '496.3']	['476']	HP_0002110	Bronchiectasis	bronchiectasis	True	['RE_476']
J80	Acute respiratory distress syndrome	acute respiratory distress syndrome	['509', '509.2']	['479', '479.1']	HP_0033677	Acute respiratory distress syndrome	acute respiratory distress syndrome	True	['RE_479.1']
J81	Pulmonary edema	pulmonary edema		['480']	HP_0100598	Pulmonary edema	pulmonary edema	True	['RE_480']
J84.01	Alveolar proteinosis	alveolar proteinosis	['504']	['481', '481.2']	HP_0006517	Alveolar proteinosis	alveolar proteinosis	False	['RE_481.2']
J84.10	Pulmonary fibrosis, unspecified	pulmonary fibrosis	['502']	['481', '481.4']	HP_0002206	Pulmonary fibrosis	pulmonary fibrosis	True	['RE_481.4']
J84.116	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	['504', '504.1']	['481', '481.4', '481.45']	HP_0011945	Cryptogenic organising pneumonia	cryptogenic organizing pneumonia	False	['RE_481.45']
J84.116	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	['504', '504.1']	['481', '481.4', '481.45']	HP_0011945	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	False	['RE_481.45']
J84.2	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	['504', '504.1']	['481', '481.6']	HP_0006527	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	False	['RE_481.6']
J84.9	Interstitial pulmonary disease, unspecified	interstitial pulmonary disease	['504']	['481']	HP_0006530	Interstitial pulmonary disease	interstitial pulmonary disease	False	['RE_481']
J86	Pyothorax	pyothorax	['506']	['482', '482.2']	HP_0011919	Pyothorax	pyothorax	False	['RE_482.2']
J92	Pleural plaque	pleural plaque	['500', '500.2', '507']	['491']	HP_0033398	Pleural plaque	pleural plaque	True	['RE_491']
J93.9	Pneumothorax, unspecified	pneumothorax	['506']	['484']	HP_0002107	Pneumothorax	pneumothorax	True	['RE_484']
J94.2	Hemothorax	hemothorax	['507']	['491']	HP_0012151	Hemothorax	hemothorax	True	['RE_491']
J96.9	Respiratory failure, unspecified	respiratory failure	['509', '509.1', '509.2']	['479', '479.3']	HP_0002878	Respiratory failure	respiratory failure	True	['RE_479.3']
J98.11	Atelectasis	atelectasis	['508']	['479', '479.6']	HP_0100750	Atelectasis	atelectasis	True	['RE_479.6']
J98.2	Interstitial emphysema	interstitial emphysema	['508']	['484', '484.4']	HP_0032965	Interstitial emphysema	interstitial emphysema	True	['RE_484.4']
K00.0	Anodontia	anodontia	['520', '520.1']	['500', '500.1']	HP_0000674	Anodontia	anodontia	True	['GI_500.1']
K00.1	Supernumerary teeth	supernumerary teeth	['520', '520.1']	['500', '500.3']	HP_0011069	Supernumerary teeth	supernumerary teeth	False	['GI_500.3']
K01.1	Impacted teeth	impacted teeth	['520', '520.2']	['500', '500.4', '500.41']	HP_0001571	Impacted teeth	impacted teeth	False	['GI_500.41']
K02	Dental caries	dental caries	['521', '521.1']	['501']	HP_0000670	Dental caries	dental caries	False	['GI_502.11']
K02	Dental caries	dental caries	['521', '521.1']	['501']	HP_0000670	Early dental caries	early dental caries	False	['GI_502.11']
K02.9	Dental caries, unspecified	dental caries	['521', '521.1']	['501']	HP_0000670	Dental caries	dental caries	False	['GI_502.11']
K02.9	Dental caries, unspecified	dental caries	['521', '521.1']	['501']	HP_0000670	Early dental caries	early dental caries	False	['GI_502.11']
K03.4	Hypercementosis	hypercementosis	['521', '521.4']	['502', '502.5']	HP_0033788	Hypercementosis	hypercementosis	False	['GI_502.17']
K05.6	Periodontal disease, unspecified	periodontal disease	['523']	['504']	HP_0000166	Severe periodontal disease	severe periodontal disease	False	['GI_504']
K06.0	Gingival recession	gingival recession	['523', '523.1']	['504', '504.2']	HP_0030816	Gingival recession	gingival recession	True	['GI_504.2']
K06.1	Gingival enlargement	gingival enlargement	['523']	['504', '504.4']	HP_0000212	Gingival enlargement	gingival enlargement	False	['GI_504.4']
K12.0	Recurrent oral aphthae	recurrent oral aphthae	['528', '528.1', '528.12']	['507', '507.1', '507.11']	HP_0011107	Recurrent oral aphthae	recurrent oral aphthae	False	['GI_507.11']
K13.3	Hairy leukoplakia	hairy leukoplakia	['528', '528.6']	['507', '507.3', '507.31']	HP_0025126	Oral hairy leukoplakia	oral hairy leukoplakia	True	['GI_507.31']
K14.0	Glossitis	glossitis	['529', '529.1']	['509', '509.1']	HP_0000206	Glossitis	glossitis	True	['GI_509.1']
K14.1	Geographic tongue	geographic tongue	['529', '529.1']	['509', '509.2']	HP_0025252	Geographic tongue	geographic tongue	True	['GI_509.12']
K14.5	Plicated tongue	plicated tongue	['529']	['509', '509.5']	HP_0000221	Plicated tongue	plicated tongue	False	['GI_509.5']
K20	Esophagitis	esophagitis	['530', '530.1']	['510', '510.2']	HP_0100633	Esophagitis	esophagitis	True	['GI_510.2']
K20.0	Eosinophilic esophagitis	eosinophilic esophagitis	['530', '530.1', '530.15']	['510', '510.2', '522', '522.6', '522.61']	HP_0410151	Eosinophilic esophagitis	eosinophilic esophagitis	False	['GI_510.2', 'GI_522.61']
K20.9	Esophagitis, unspecified	esophagitis	['530', '530.1']	['510', '510.2']	HP_0100633	Esophagitis	esophagitis	True	['GI_510.2']
K22.2	Esophageal obstruction	esophageal obstruction	['530', '530.3']	['514', '514.1']	HP_0005240	Esophageal obstruction	esophageal obstruction	True	['GI_514.1']
K22.7	Barrett's esophagus	barretts esophagus	['530', '530.1', '530.13']	['510', '510.8']	HP_0100580	Barrett's esophagus	barretts esophagus	False	['GI_510.8']
K22.7	Barrett's esophagus	barretts esophagus	['530', '530.1', '530.13']	['510', '510.8']	HP_0100580	Barrett's oesophagus	barretts esophagus	False	['GI_510.8']
K25	Gastric ulcer	gastric ulcer	['531', '531.2', '535', '535.1']	['513', '513.2']	HP_0002592	Gastric ulcer	gastric ulcer	True	['GI_513.2']
K26	Duodenal ulcer	duodenal ulcer	['531', '531.3']	['513', '513.3']	HP_0002588	Duodenal ulcer	duodenal ulcer	True	['GI_513.3']
K29.4	Chronic atrophic gastritis	chronic atrophic gastritis	['535', '535.2']	['522', '522.9', '522.91']	HP_0002582	Chronic atrophic gastritis	chronic atrophic gastritis	False	['GI_522.92']
K29.5	Unspecified chronic gastritis	chronic gastritis	['535', '535.8']	['522', '522.9']	HP_0005231	Chronic gastritis	chronic gastritis	True	['GI_522.9']
K29.7	Gastritis, unspecified	gastritis	['535']	['522', '522.9']	HP_0005263	Gastritis	gastritis	True	['GI_522.9']
K29.8	Duodenitis	duodenitis	['535', '535.6']	['522', '522.8']	HP_0033117	Duodenitis	duodenitis	True	['GI_522.8']
K31.4	Gastric diverticulum	gastric diverticulum	['537']	['523', '523.3']	HP_0100808	Gastric diverticulum	gastric diverticulum	True	['GI_523.3']
K31.83	Achlorhydria	achlorhydria	['536']	['516', '516.6']	HP_0032448	Achlorhydria	achlorhydria	True	['GI_516.6']
K31.84	Gastroparesis	gastroparesis	['536', '536.3']	['516', '516.4']	HP_0002578	Gastroparesis	gastroparesis	True	['GI_516.4']
K40	Inguinal hernia	inguinal hernia	['550', '550.1']	['520', '520.1', '520.11']	HP_0000023	Inguinal hernia	inguinal hernia	True	['GI_520.11']
K41	Femoral hernia	femoral hernia	['550', '550.3']	['520', '520.1', '520.12']	HP_0100541	Femoral hernia	femoral hernia	True	['GI_520.12']
K42	Umbilical hernia	umbilical hernia	['550', '550.4']	['520', '520.1', '520.13']	HP_0001537	Umbilical hernia	umbilical hernia	True	['GI_520.13']
K43	Ventral hernia	ventral hernia	['550', '550.5']	['520', '520.1', '520.14']	HP_0002933	Ventral hernia	ventral hernia	True	['GI_520.14']
K44	Diaphragmatic hernia	diaphragmatic hernia	['550', '550.2']	['520', '520.2']	HP_0000776	Diaphragmatic hernia	diaphragmatic hernia	False	['GI_520.2']
K44	Diaphragmatic hernia	diaphragmatic hernia	['550', '550.2']	['520', '520.2']	HP_0009112	Left diaphragmatic hernia	left diaphragmatic hernia	False	['GI_520.2']
K44	Diaphragmatic hernia	diaphragmatic hernia	['550', '550.2']	['520', '520.2']	HP_0025194	Morgagni diaphragmatic hernia	morgagni diaphragmatic hernia	True	['GI_520.2']
K44	Diaphragmatic hernia	diaphragmatic hernia	['550', '550.2']	['520', '520.2']	HP_0025195	Central diaphragmatic hernia	central diaphragmatic hernia	True	['GI_520.2']
K44	Diaphragmatic hernia	diaphragmatic hernia	['550', '550.2']	['520', '520.2']	HP_0032592	Right diaphragmatic hernia	right diaphragmatic hernia	False	['GI_520.2']
K50.9	Crohn's disease, unspecified	crohns disease	['555', '555.1']	['181', '522', '522.1', '522.11']	HP_0100280	Crohn's disease	crohns disease	True	['BI_181', 'GI_522.11']
K51	Ulcerative colitis	ulcerative colitis	['555', '555.2']	['181', '522', '522.1', '522.12']	HP_0100279	Ulcerative colitis	ulcerative colitis	True	['BI_181', 'GI_522.12']
K51.9	Ulcerative colitis, unspecified	ulcerative colitis	['555', '555.2']	['181', '522', '522.1', '522.12']	HP_0100279	Ulcerative colitis	ulcerative colitis	True	['BI_181', 'GI_522.12']
K52.82	Eosinophilic colitis	eosinophilic colitis	['558']	['522', '522.6', '522.63']	HP_0031813	Eosinophilic colitis	eosinophilic colitis	False	['GI_522.63']
K55.3	Necrotizing enterocolitis	necrotizing enterocolitis		['437']	HP_0033165	Necrotizing enterocolitis	necrotizing enterocolitis	True	['GI_517.3']
K55.30	Necrotizing enterocolitis, unspecified	necrotizing enterocolitis		['437']	HP_0033165	Necrotizing enterocolitis	necrotizing enterocolitis	True	['GI_517.3']
K56.0	Paralytic ileus	paralytic ileus	['560', '560.1']	['514', '514.3', '514.31']	HP_0002590	Paralytic ileus	paralytic ileus	True	['GI_514.31']
K56.1	Intussusception	intussusception	['560', '560.4']	['532', '532.3']	HP_0002576	Intussusception	intussusception	True	['GI_532.3']
K56.2	Volvulus	volvulus	['560', '560.4']	['532', '532.4']	HP_0002580	Volvulus	volvulus	True	['GI_532.4']
K56.60	Unspecified intestinal obstruction	intestinal obstruction	['560', '560.4']	['514', '514.2']	HP_0005214	Intestinal obstruction	intestinal obstruction	True	['GI_514.2']
K56.60	Unspecified intestinal obstruction	intestinal obstruction	['560', '560.4']	['514', '514.2']	HP_0005234	Neonatal intestinal obstruction	neonatal intestinal obstruction	True	['GI_514.2']
K56.60	Unspecified intestinal obstruction	intestinal obstruction	['560', '560.4']	['514', '514.2']	HP_0005250	High intestinal obstruction	high intestinal obstruction	True	['GI_514.2']
K56.7	Ileus, unspecified	ileus	['560', '560.1']	['514', '514.3']	HP_0002595	Ileus	ileus	True	['GI_514.3']
K59.0	Constipation	constipation	['563']	['529', '529.5']	HP_0002019	Constipation	constipation	True	['GI_529.5']
K59.00	Constipation, unspecified	constipation	['563']	['529', '529.5']	HP_0002019	Constipation	constipation	True	['GI_529.5']
K60.2	Anal fissure, unspecified	anal fissure	['565']	['530', '530.1']	HP_0012390	Anal fissure	anal fissure	True	['GI_530.1']
K60.3	Anal fistula	anal fistula	['565']	['532', '532.1']	HP_0010447	Anal fistula	anal fistula	True	['GI_532.1']
K60.4	Rectal fistula	rectal fistula	['565']	['532', '532.1']	HP_0100590	Rectal fistula	rectal fistula	True	['GI_532.1']
K61.1	Rectal abscess	rectal abscess	['565']	['530', '530.2']	HP_0005224	Rectal abscess	rectal abscess	True	['GI_530.2']
K61.2	Anorectal abscess	anorectal abscess	['565']	['530', '530.2']	HP_0033150	Anorectal abscess	anorectal abscess	True	['GI_530.2']
K62.3	Rectal prolapse	rectal prolapse	['565']	['530', '530.3']	HP_0002035	Rectal prolapse	rectal prolapse	True	['GI_530.3']
K64.9	Unspecified hemorrhoids	hemorrhoids	['455']	['439']	HP_0032551	Hemorrhoids	hemorrhoids	True	['CV_439']
K64.9	Unspecified hemorrhoids	hemorrhoids	['455']	['439']	HP_0032551	Haemorrhoids	hemorrhoids	False	['CV_439']
K65	Peritonitis	peritonitis	['567']	['537', '537.1']	HP_0002586	Peritonitis	peritonitis	True	['GI_537.1']
K65.1	Peritoneal abscess	peritoneal abscess	['567']	['537', '537.1']	HP_0100592	Peritoneal abscess	peritoneal abscess	True	['GI_537.3']
K65.9	Peritonitis, unspecified	peritonitis	['567']	['537', '537.1']	HP_0002586	Peritonitis	peritonitis	True	['GI_537.1']
K66.1	Hemoperitoneum	hemoperitoneum	['568']	['537', '537.2']	HP_0011854	Hemoperitoneum	hemoperitoneum	True	['GI_537.2']
K72.1	Chronic hepatic failure	chronic hepatic failure	['571', '571.8']	['542', '542.3']	HP_0100626	Chronic hepatic failure	chronic hepatic failure	True	['GI_542.3']
K72.9	Hepatic failure, unspecified	hepatic failure	['571', '571.8']	['542', '542.3']	HP_0001399	Hepatic failure	hepatic failure	True	['GI_542.3']
K72.9	Hepatic failure, unspecified	hepatic failure	['571', '571.8']	['542', '542.3']	HP_0006554	Acute hepatic failure	acute hepatic failure	True	['GI_542.3']
K73.9	Chronic hepatitis, unspecified	chronic hepatitis	['070', '070.4']	['540', '540.1']	HP_0200120	Chronic active hepatitis	chronic active hepatitis	True	['GI_540.1']
K73.9	Chronic hepatitis, unspecified	chronic hepatitis	['070', '070.4']	['540', '540.1']	HP_0200123	Chronic hepatitis	chronic hepatitis	True	['GI_540.1']
K74.0	Hepatic fibrosis	hepatic fibrosis	['571', '571.5', '571.51']	['542', '542.1']	HP_0001395	Hepatic fibrosis	hepatic fibrosis	True	['GI_542.1', 'GI_542.7']
K74.00	Hepatic fibrosis, unspecified	hepatic fibrosis		['542', '542.1']	HP_0001395	Hepatic fibrosis	hepatic fibrosis	True	['GI_542.1', 'GI_542.7']
K74.5	Biliary cirrhosis, unspecified	biliary cirrhosis	['571', '571.6']	['544']	HP_0002613	Biliary cirrhosis	biliary cirrhosis	True	['GI_542.8']
K76.6	Portal hypertension	portal hypertension	['571', '571.8', '571.81']	['542', '542.4']	HP_0001409	Portal hypertension	portal hypertension	True	['GI_542.4']
K80	Cholelithiasis	cholelithiasis	['574', '574.1']	['550', '550.1']	HP_0001081	Cholelithiasis	cholelithiasis	True	['GI_550.1']
K81	Cholecystitis	cholecystitis	['574', '574.3']	['550', '550.2']	HP_0001082	Cholecystitis	cholecystitis	True	['GI_550.2']
K81.9	Cholecystitis, unspecified	cholecystitis	['574', '574.3']	['550', '550.2']	HP_0001082	Cholecystitis	cholecystitis	True	['GI_550.2']
K83.0	Cholangitis	cholangitis	['575', '575.1']	['552', '552.1']	HP_0030151	Cholangitis	cholangitis	True	['GI_552.1']
K85	Acute pancreatitis	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	HP_0001735	Acute pancreatitis	acute pancreatitis	True	['GI_554.11']
K85	Acute pancreatitis	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	HP_0001735	Pancreatitis, acute	pancreatitis acute	False	['GI_554.11']
K85.9	Acute pancreatitis, unspecified	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	HP_0001735	Acute pancreatitis	acute pancreatitis	True	['GI_554.11']
K85.9	Acute pancreatitis, unspecified	acute pancreatitis	['577', '577.1']	['554', '554.1', '554.11']	HP_0001735	Pancreatitis, acute	pancreatitis acute	False	['GI_554.11']
K86.81	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	['577']	['554', '554.3']	HP_0001738	Exocrine pancreatic insufficiency	exocrine pancreatic insufficiency	True	['GI_554.3']
K90	Intestinal malabsorption	intestinal malabsorption	['557']	['525']	HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	['GI_525']
K90.0	Celiac disease	celiac disease	['557', '557.1']	['181', '525', '525.1']	HP_0002608	Celiac disease	celiac disease	True	['BI_181', 'GI_525.1']
K90.9	Intestinal malabsorption, unspecified	intestinal malabsorption	['557']	['525']	HP_0002024	Intestinal malabsorption	intestinal malabsorption	False	['GI_525']
K92.0	Hematemesis	hematemesis	['578', '578.1']	['557', '557.1']	HP_0002248	Hematemesis	hematemesis	True	['GI_557.1']
K92.1	Melena	melena	['578', '578.2']	['557', '557.2']	HP_0002249	Melena	melena	True	['GI_557.2']
K92.2	Gastrointestinal hemorrhage, unspecified	gastrointestinal hemorrhage	['578', '578.9']	['557']	HP_0002239	Gastrointestinal hemorrhage	gastrointestinal hemorrhage	True	['GI_557']
K92.2	Gastrointestinal hemorrhage, unspecified	gastrointestinal hemorrhage	['578', '578.9']	['557']	HP_0002239	Gastrointestinal haemorrhage	gastrointestinal hemorrhage	False	['GI_557']
L02.91	Cutaneous abscess, unspecified	cutaneous abscess	['681']	['660', '660.6']	HP_0031292	Cutaneous abscess	cutaneous abscess	True	['DE_660.6']
L02.92	Furuncle, unspecified	furuncle	['686', '686.1']	['660', '660.4']	HP_0020083	Furuncle	furuncle	True	['DE_660.4']
L02.93	Carbuncle, unspecified	carbuncle	['686', '686.1']	['660', '660.4']	HP_0020084	Carbuncle	carbuncle	True	['DE_660.4']
L03.213	Periorbital cellulitis	periorbital cellulitis	['681', '681.2']	['660', '660.6']	HP_0100539	Periorbital cellulitis	periorbital cellulitis	False	['DE_660.6']
L03.90	Cellulitis, unspecified	cellulitis	['681']	['660', '660.6']	HP_0100658	Cellulitis	cellulitis	True	['DE_660.6']
L08.0	Pyoderma	pyoderma	['686', '686.5']	['679', '679.5']	HP_0000999	Pyoderma	pyoderma	True	['DE_679.5']
L20	Atopic dermatitis	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Atopic dermatitis	atopic dermatitis	True	['DE_668.1']
L20	Atopic dermatitis	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Atopic dermatitis, chronic	atopic dermatitis chronic	False	['DE_668.1']
L20	Atopic dermatitis	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Dermatitis, Atopic	dermatitis atopic	False	['DE_668.1']
L20.9	Atopic dermatitis, unspecified	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Atopic dermatitis	atopic dermatitis	True	['DE_668.1']
L20.9	Atopic dermatitis, unspecified	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Atopic dermatitis, chronic	atopic dermatitis chronic	False	['DE_668.1']
L20.9	Atopic dermatitis, unspecified	atopic dermatitis	['939']	['668', '668.1']	HP_0001047	Dermatitis, Atopic	dermatitis atopic	False	['DE_668.1']
L21	Seborrheic dermatitis	seborrheic dermatitis	['690', '690.1']	['668', '668.2']	HP_0001051	Seborrheic dermatitis	seborrheic dermatitis	True	['DE_668.2']
L21.9	Seborrheic dermatitis, unspecified	seborrheic dermatitis	['690', '690.1']	['668', '668.2']	HP_0001051	Seborrheic dermatitis	seborrheic dermatitis	True	['DE_668.2']
L25	Unspecified contact dermatitis	contact dermatitis	['939']	['668', '668.3']	HP_0032282	Contact dermatitis	contact dermatitis	True	['DE_668.3']
L29	Pruritus	pruritus	['698']	['679', '679.4']	HP_0000989	Pruritus	pruritus	True	['DE_679.4']
L29.2	Pruritus vulvae	pruritus vulvae	['698']	['679', '679.4']	HP_0032004	Pruritus vulvae	pruritus vulvae	True	['DE_679.4']
L29.9	Pruritus, unspecified	pruritus	['698']	['679', '679.4']	HP_0000989	Pruritus	pruritus	True	['DE_679.4']
L30.0	Nummular dermatitis	nummular dermatitis	['939']	['668', '668.3']	HP_0033120	Nummular dermatitis	nummular dermatitis	False	['DE_668.3']
L40	Psoriasis	psoriasis	['696', '696.4']	['665']	HP_0003765	Psoriasis	psoriasis	False	['BI_181', 'DE_664.4']
L40.3	Pustulosis palmaris et plantaris	pustulosis palmaris et plantaris	['696', '696.4', '696.41']	['665', '665.3']	HP_0100847	Pustulosis palmaris et plantaris	pustulosis palmaris et plantaris	False	['BI_181', 'DE_664.4']
L40.9	Psoriasis, unspecified	psoriasis	['696', '696.4', '696.41']	['665']	HP_0003765	Psoriasis	psoriasis	False	['BI_181', 'DE_664.4']
L50	Urticaria	urticaria	['947']	['666']	HP_0001025	Urticaria	urticaria	True	['DE_666']
L50.1	Idiopathic urticaria	idiopathic urticaria	['947']	['666', '666.2']	HP_0410133	Chronic idiopathic urticaria	chronic idiopathic urticaria	True	['DE_666.2']
L50.3	Dermatographic urticaria	dermatographic urticaria	['947']	['666', '666.4']	HP_0011971	Dermatographic urticaria	dermatographic urticaria	True	['DE_666.4']
L50.4	Vibratory urticaria	vibratory urticaria	['947']	['666', '666.5']	HP_0410138	Vibratory urticaria	vibratory urticaria	True	['DE_666.5']
L50.9	Urticaria, unspecified	urticaria	['947']	['666']	HP_0001025	Urticaria	urticaria	True	['DE_666']
L52	Erythema nodosum	erythema nodosum	['695', '695.8', '695.81']	['667', '667.3']	HP_0012219	Erythema nodosum	erythema nodosum	True	['DE_665']
L56.3	Solar urticaria	solar urticaria	['938', '938.1']	['666', '672', '672.1']	HP_0410137	Solar urticaria	solar urticaria	True	['DE_666', 'DE_672.11']
L56.4	Polymorphous light eruption	polymorphous light eruption	['938']	['672', '672.1']	HP_0032379	Polymorphous light eruption	polymorphous light eruption	True	['DE_672.11']
L57.0	Actinic keratosis	actinic keratosis	['702', '702.1']	['673', '673.1']	HP_0025127	Actinic keratosis	actinic keratosis	True	['DE_672.21']
L60.1	Onycholysis	onycholysis	['703']	['683', '683.4']	HP_0001806	Onycholysis	onycholysis	True	['DE_683.4']
L60.3	Nail dystrophy	nail dystrophy	['703']	['683', '683.2']	HP_0008404	Nail dystrophy	nail dystrophy	True	['DE_683.2']
L60.4	Beau's lines	beaus lines	['703']	['683']	HP_0041093	Beau's lines	beaus lines	True	['DE_683']
L63	Alopecia areata	alopecia areata	['704', '704.1', '704.11']	['684', '684.1', '684.11']	HP_0002232	Alopecia areata	alopecia areata	False	['DE_684.11']
L63.1	Alopecia universalis	alopecia universalis	['704', '704.1']	['684', '684.1', '684.11']	HP_0002289	Alopecia universalis	alopecia universalis	True	['DE_684.11']
L63.9	Alopecia areata, unspecified	alopecia areata	['704', '704.1', '704.11']	['684', '684.1', '684.11']	HP_0002232	Alopecia areata	alopecia areata	False	['DE_684.11']
L65.0	Telogen effluvium	telogen effluvium	['704', '704.1', '704.12']	['684', '684.1', '684.12']	HP_0025470	Telogen effluvium	telogen effluvium	True	['DE_684.12']
L65.1	Anagen effluvium	anagen effluvium	['704', '704.1']	['684', '684.1']	HP_0025469	Anagen effluvium	anagen effluvium	True	['DE_684.1']
L66.9	Cicatricial alopecia, unspecified	cicatricial alopecia	['704', '704.1']	['684', '684.1', '684.13']	HP_0004552	Cicatricial alopecia	cicatricial alopecia	False	['DE_684.13']
L67.0	Trichorrhexis nodosa	trichorrhexis nodosa	['704', '704.8']	['684', '684.8']	HP_0009886	Trichorrhexis nodosa	trichorrhexis nodosa	True	['DE_684.8']
L68	Hypertrichosis	hypertrichosis	['704', '704.2']	['684', '684.2']	HP_0000998	Hypertrichosis	hypertrichosis	True	['DE_684.2']
L68	Hypertrichosis	hypertrichosis	['704', '704.2']	['684', '684.2']	HP_0004780	Elbow hypertrichosis	elbow hypertrichosis	True	['DE_684.2']
L68.0	Hirsutism	hirsutism	['704', '704.2']	['684', '684.2']	HP_0001007	Hirsutism	hirsutism	True	['DE_684.21']
L68.9	Hypertrichosis, unspecified	hypertrichosis	['704', '704.2']	['684', '684.2']	HP_0000998	Hypertrichosis	hypertrichosis	True	['DE_684.2']
L68.9	Hypertrichosis, unspecified	hypertrichosis	['704', '704.2']	['684', '684.2']	HP_0004780	Elbow hypertrichosis	elbow hypertrichosis	True	['DE_684.2']
L70	Acne	acne	['706', '706.1']	['682', '682.4']	HP_0001061	Acne	acne	True	['DE_682.4']
L70.9	Acne, unspecified	acne	['706', '706.1']	['682', '682.4']	HP_0001061	Acne	acne	True	['DE_682.4']
L72.0	Epidermal cyst	epidermal cyst	['706', '706.2']	['682', '682.1', '682.11']	HP_0200040	Epidermal cyst	epidermal cyst	False	['DE_682.11']
L72.11	Pilar cyst	pilar cyst	['704']	['682', '682.1', '682.12']	HP_0025246	Pilar cyst	pilar cyst	False	['DE_682.12']
L72.2	Steatocystoma multiplex	steatocystoma multiplex	['706', '706.2']	['682', '682.1']	HP_0012035	Steatocystoma multiplex	steatocystoma multiplex	True	['GE_977.7']
L73.2	Hidradenitis suppurativa	hidradenitis suppurativa	['705', '705.3']	['682', '682.3']	HP_0040154	Hidradenitis suppurativa	hidradenitis suppurativa	False	['DE_669.3']
L74.4	Anhidrosis	anhidrosis	['705']	['685', '685.5']	HP_0000970	Anhidrosis	anhidrosis	True	['DE_685.5']
L75.0	Bromhidrosis	bromhidrosis	['705']	['685']	HP_0500001	Bromhidrosis	bromhidrosis	False	['DE_685']
L80	Vitiligo	vitiligo	['694', '694.1']	['674', '674.1', '674.11']	HP_0001045	Vitiligo	vitiligo	True	['DE_674.11']
L81.1	Chloasma	chloasma	['694', '694.2']	['674', '674.2']	HP_0025272	Chloasma	chloasma	False	['DE_674.2']
L82	Seborrheic keratosis	seborrheic keratosis	['690', '690.1', '702', '702.2']	['670']	HP_0031287	Seborrheic keratosis	seborrheic keratosis	True	['DE_670']
L83	Acanthosis nigricans	acanthosis nigricans	['701', '701.6']	['674', '674.2', '674.23']	HP_0000956	Acanthosis nigricans	acanthosis nigricans	True	['DE_680.5']
L85.9	Epidermal thickening, unspecified	epidermal thickening	['701']	['680']	HP_0011368	Epidermal thickening	epidermal thickening	True	['DE_680']
L88	Pyoderma gangrenosum	pyoderma gangrenosum	['686', '686.5']	['669', '669.1']	HP_0025452	Pyoderma gangrenosum	pyoderma gangrenosum	True	['DE_669.1', 'DE_679.5']
L89	Pressure ulcer	pressure ulcer	['707', '707.1']	['686', '686.1']	HP_0012399	Pressure ulcer	pressure ulcer	True	['DE_686.1']
L90.6	Striae atrophicae	striae atrophicae	['701']	['675', '675.2']	HP_0001065	Striae atrophicae	striae atrophicae	False	['DE_675.2']
L93	Lupus erythematosus	lupus erythematosus	['695', '695.4', '695.41']	['700', '700.1', '700.12']	HP_0002725	Systemic lupus erythematosus	systemic lupus erythematosus	True	['MS_700.12']
L93	Lupus erythematosus	lupus erythematosus	['695', '695.4', '695.41']	['700', '700.1', '700.12']	HP_0007417	Discoid lupus erythematosus	discoid lupus erythematosus	False	['MS_700.12']
