hpo_code	hpo_label	hpo_simpleLabel	hpo_original	phecodeXupdated_code	phecodeXupdated_label	phecodeXupdated_simpleLabel	phecodeXupdated_category
HP_0003231	Tyrosinemia	tyrosinemia	False	GE_962.121	Tyrosinemia*	tyrosinemia	Genetic
HP_0003251	Male infertility	male infertility	True	GU_609	Male infertility	male infertility	Genitourinary
HP_0003298	Spina bifida occulta	spina bifida occulta	True	CM_750.22	Spina bifida occulta	spina bifida occulta	Congenital
HP_0003302	Spondylolisthesis	spondylolisthesis	True	MS_714.6	Spondylolisthesis	spondylolisthesis	Muscloskeletal
HP_0003304	Spondylolysis	spondylolysis	True	MS_714.5	Spondylolysis	spondylolysis	Muscloskeletal
HP_0003324	Muscle weakness, generalised	muscle weakness generalized	False	SS_807.21	Muscle weakness (generalized)	muscle weakness generalized	Symptoms
HP_0003324	Muscle weakness, generalized	muscle weakness generalized	False	SS_807.21	Muscle weakness (generalized)	muscle weakness generalized	Symptoms
HP_0003326	Myalgia	myalgia	True	MS_724.1	Myalgia	myalgia	Muscloskeletal
HP_0003416	Spinal stenosis	spinal stenosis	False	MS_715.4	Spinal stenosis	spinal stenosis	Muscloskeletal
HP_0003418	Back pain	back pain	True	MS_718	Back pain	back pain	Muscloskeletal
HP_0003418	Back pain	back pain	True	MS_718.3	Mid back pain	mid back pain	Muscloskeletal
HP_0003418	Back pain	back pain	True	MS_718.4	Low back pain	low back pain	Muscloskeletal
HP_0003419	Low back pain	low back pain	True	MS_718.4	Low back pain	low back pain	Muscloskeletal
HP_0003535	3-Methylglutaconic aciduria	3-methylglutaconic aciduria	True	GE_962.23	3-methylglutaconic aciduria*	3-methylglutaconic aciduria	Genetic
HP_0003560	Muscular dystrophy	muscular dystrophy	True	GE_972.9	Muscular dystrophy	muscular dystrophy	Genetic
HP_0003565	Elevated erythrocyte sedimentation rate	elevated erythrocyte sedimentation rate	True	SS_820	Elevated erythrocyte sedimentation rate	elevated erythrocyte sedimentation rate	Symptoms
HP_0003571	Propionic acidemia	propionic acidemia	True	GE_962.25	Propionic acidemia*	propionic acidemia	Genetic
HP_0003614	Trimethylaminuria	trimethylaminuria	True	GE_962.71	Trimethylaminuria*	trimethylaminuria	Genetic
HP_0003641	Hemoglobinuria	hemoglobinuria	True	SS_832.4	Hemoglobinuria	hemoglobinuria	Symptoms
HP_0003765	Psoriasis	psoriasis	False	DE_664.4	Psoriasis	psoriasis	Dermatological
HP_0003768	Periodic paralysis	periodic paralysis	True	NS_339.4	Periodic paralysis	periodic paralysis	Neurological
HP_0012622	Chronic kidney disease	chronic kidney disease	True	GU_582.2	Chronic kidney disease	chronic kidney disease	Genitourinary
HP_0008207	Adrenocortical insufficiency	adrenocortical insufficiency	False	EM_211.2	Adrenocortical insufficiency	adrenocortical insufficiency	Endocrine/Metab
HP_0008207	Adrenocortical insufficiency	adrenocortical insufficiency	False	EM_211.22	Drug-induced adrenocortical insufficiency*	drug-induced adrenocortical insufficiency	Endocrine/Metab
HP_0004326	Cachexia	cachexia	True	EM_230.4	Cachexia	cachexia	Endocrine/Metab
HP_0004383	Hypoplastic left heart	hypoplastic left heart	True	CM_763.7	Hypoplastic left heart syndrome	hypoplastic left heart syndrome	Congenital
HP_0004411	Deviated nasal septum	deviated nasal septum	True	RE_471.2	Deviated nasal septum	deviated nasal septum	Respiratory
HP_0004430	Severe combined immunodeficiency	severe combined immunodeficiency	True	GE_969.128	Severe combined immunodeficiency [SCID]*	severe combined immunodeficiency scid	Genetic
HP_0005387	Combined immunodeficiency	combined immunodeficiency	True	GE_969.128	Severe combined immunodeficiency [SCID]*	severe combined immunodeficiency scid	Genetic
HP_0004439	Craniofacial dysostosis	craniofacial dysostosis	True	CM_755.3	Craniofacial dysostosis*	craniofacial dysostosis	Congenital
HP_0004469	Chronic bronchitis	chronic bronchitis	True	RE_469.2	Chronic bronchitis	chronic bronchitis	Respiratory
HP_0004602	Klippel-Feil syndrome	klippel-feil syndrome	False	CM_769.1	Klippel-Feil syndrome	klippel-feil syndrome	Congenital
HP_0004749	Atrial flutter	atrial flutter	True	CV_416.22	Atrial flutter	atrial flutter	Cardiovascular
HP_0004756	Ventricular tachycardia	ventricular tachycardia	True	CV_416.12	Ventricular tachycardia	ventricular tachycardia	Cardiovascular
HP_0004754	Permanent atrial fibrillation	permanent atrial fibrillation	True	CV_416.214	Permanent atrial fibrillation*	permanent atrial fibrillation	Cardiovascular
HP_0005110	Atrial fibrillation	atrial fibrillation	True	CV_416.21	Atrial fibrillation	atrial fibrillation	Cardiovascular
HP_0005110	Atrial fibrillation	atrial fibrillation	True	CV_416.213	Chronic atrial fibrillation*	chronic atrial fibrillation	Cardiovascular
HP_0004755	Supraventricular tachycardia	supraventricular tachycardia	True	CV_416.11	Supraventricular tachycardia	supraventricular tachycardia	Cardiovascular
HP_0004757	Paroxysmal atrial fibrillation	paroxysmal atrial fibrillation	True	CV_416.211	Paroxysmal atrial fibrillation*	paroxysmal atrial fibrillation	Cardiovascular
HP_0012115	Hepatitis	hepatitis	True	ID_054.1	Hepatitis A	hepatitis a	Infections
HP_0012115	Hepatitis	hepatitis	True	ID_054.2	Hepatitis B	hepatitis b	Infections
HP_0012115	Hepatitis	hepatitis	True	ID_054.3	Hepatitis C	hepatitis c	Infections
HP_0012115	Hepatitis	hepatitis	True	ID_054.5	Hepatitis E	hepatitis e	Infections
HP_0012115	Hepatitis	hepatitis	True	GI_540	Hepatitis	hepatitis	Gastrointestinal
HP_0004796	Gastrointestinal obstruction	gastrointestinal obstruction	True	GI_514	Gastrointestinal obstruction	gastrointestinal obstruction	Gastrointestinal
HP_0004808	Acute myeloid leukemia	acute myeloid leukemia	True	CA_121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
HP_0004808	Acute myeloid leukaemia	acute myeloid leukemia	False	CA_121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
HP_0004810	Congenital dyserythropoietic anaemia	congenital dyserythropoietic anemia	False	GE_970.7	Congenital dyserythropoietic anemia*	congenital dyserythropoietic anemia	Genetic
HP_0004810	Congenital dyserythropoietic anemia	congenital dyserythropoietic anemia	False	GE_970.7	Congenital dyserythropoietic anemia*	congenital dyserythropoietic anemia	Genetic
HP_0006721	Acute lymphoid leukaemia	acute lymphoid leukemia	False	CA_121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms
HP_0006721	Acute lymphoid leukemia	acute lymphoid leukemia	False	CA_121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms
HP_0012324	Myeloid leukemia	myeloid leukemia	True	CA_121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
HP_0012324	Myeloid leukaemia	myeloid leukemia	False	CA_121.12	Acute myeloid leukemia	acute myeloid leukemia	Neoplasms
HP_0004905	Vitamin A deficiency	vitamin a deficiency	False	EM_232.1	Vitamin A deficiency	vitamin a deficiency	Endocrine/Metab
HP_0004923	Hyperphenylalaninemia	hyperphenylalaninemia	True	EM_252.2	Hyperphenylalaninemia	hyperphenylalaninemia	Endocrine/Metab
HP_0040270	Impaired glucose tolerance	impaired glucose tolerance	True	EM_204.2	Impaired glucose tolerance (oral)	impaired glucose tolerance oral	Endocrine/Metab
HP_0005294	Arterial dissection	arterial dissection	True	CV_438.4	Arterial dissection	arterial dissection	Cardiovascular
HP_0005112	Abdominal aortic aneurysm	abdominal aortic aneurysm	True	CV_438.11	Abdominal aortic aneurysm	abdominal aortic aneurysm	Cardiovascular
HP_0010772	Anomalous pulmonary venous return	anomalous pulmonary venous return	True	CM_763.6	Anomalous pulmonary venous return	anomalous pulmonary venous return	Congenital
HP_0011713	Left bundle branch block	left bundle branch block	True	CV_416.42	Left bundle branch block	left bundle branch block	Cardiovascular
HP_0005186	Synovial hypertrophy	synovial hypertrophy	True	MS_721.7	Synovial hypertrophy*	synovial hypertrophy	Muscloskeletal
HP_0100668	Intestinal duplication	intestinal duplication	True	CM_758.15	Intestinal duplication*	intestinal duplication	Congenital
HP_0005912	Biliary atresia	biliary atresia	True	CM_758.21	Biliary atresia	biliary atresia	Congenital
HP_0005261	Hemarthrosis	hemarthrosis	False	MS_713.1	Hemarthrosis	hemarthrosis	Muscloskeletal
HP_0005301	Persistent left superior vena cava	persistent left superior vena cava	True	CM_764.11	Persistent left superior vena cava*	persistent left superior vena cava	Congenital
HP_0005313	Arterial fibromuscular dysplasia	arterial fibromuscular dysplasia	True	CV_443.3	Arterial fibromuscular dysplasia*	arterial fibromuscular dysplasia	Cardiovascular
HP_0005321	Mandibulofacial dysostosis	mandibulofacial dysostosis	True	CM_755.31	Mandibulofacial dysostosis*	mandibulofacial dysostosis	Congenital
HP_0010307	Stridor	stridor	True	RE_488.5	Stridor	stridor	Respiratory
HP_0005558	Chronic leukemia	chronic leukemia	True	CA_121.2	Chronic leukemia	chronic leukemia	Neoplasms
HP_0005558	Chronic leukaemia	chronic leukemia	False	CA_121.2	Chronic leukemia	chronic leukemia	Neoplasms
HP_0012190	T-cell lymphoma	t-cell lymphoma	True	CA_122.24	T-cell lymphoma	t-cell lymphoma	Neoplasms
HP_0005521	Disseminated intravascular coagulation	disseminated intravascular coagulation	True	NB_860.11	Disseminated intravascular coagulation of newborn	disseminated intravascular coagulation of newborn	Neonatal
HP_0005526	Lymphoid leukemia	lymphoid leukemia	True	CA_121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms
HP_0005526	Lymphoid leukemia	lymphoid leukemia	True	CA_121.21	Chronic lymphoid leukemia	chronic lymphoid leukemia	Neoplasms
HP_0005526	Lymphoid leukaemia	lymphoid leukemia	False	CA_121.11	Acute lymphoid leukemia	acute lymphoid leukemia	Neoplasms
HP_0005526	Lymphoid leukaemia	lymphoid leukemia	False	CA_121.21	Chronic lymphoid leukemia	chronic lymphoid leukemia	Neoplasms
HP_0005547	Myeloproliferative disorder	myeloproliferative disorder	True	CA_124	Myeloproliferative disorder	myeloproliferative disorder	Neoplasms
HP_0005575	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	True	BI_161.22	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	Blood/Immune
HP_0005575	Hemolytic-uremic syndrome	hemolytic-uremic syndrome	True	GE_970.64	Hereditary hemolytic-uremic syndrome*	hereditary hemolytic-uremic syndrome	Genetic
HP_0005681	Juvenile rheumatoid arthritis	juvenile rheumatoid arthritis	True	MS_705.2	Juvenile rheumatoid arthritis [JRA/JIA]	juvenile rheumatoid arthritis jrajia	Muscloskeletal
HP_0005850	Congenital talipes calcaneovalgus	congenital talipes calcaneovalgus	True	CM_766.21	Congenital talipes calcaneovalgus	congenital talipes calcaneovalgus	Congenital
HP_0005943	Respiratory arrest	respiratory arrest	True	RE_497	Respiratory arrest	respiratory arrest	Respiratory
HP_0005950	Laryngeal web	laryngeal web	True	CM_762.11	Laryngeal web	laryngeal web	Congenital
HP_0005978	Type 2 diabetes	type 2 diabetes	False	EM_202.2	Type 2 diabetes	type 2 diabetes	Endocrine/Metab
HP_0005987	Multinodular goiter	multinodular goiter	True	EM_200.23	Multinodular goiter	multinodular goiter	Endocrine/Metab
HP_0005987	Multinodular goitre	multinodular goiter	False	EM_200.23	Multinodular goiter	multinodular goiter	Endocrine/Metab
HP_0006280	Chronic pancreatitis	chronic pancreatitis	True	GI_554.12	Chronic pancreatitis	chronic pancreatitis	Gastrointestinal
HP_0011069	Supernumerary teeth	supernumerary teeth	False	GI_500.3	Supernumerary teeth	supernumerary teeth	Gastrointestinal
HP_0006510	Chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	False	RE_474	Chronic obstructive pulmonary disease [COPD]	chronic obstructive pulmonary disease copd	Respiratory
HP_0006515	Interstitial pneumonitis	interstitial pneumonitis	True	RE_481.43	Interstitial pneumonitis	interstitial pneumonitis	Respiratory
HP_0006516	Hypersensitivity pneumonitis	hypersensitivity pneumonitis	True	RE_477.2	Hypersensitivity pneumonitis	hypersensitivity pneumonitis	Respiratory
HP_0006517	Alveolar proteinosis	alveolar proteinosis	False	RE_481.2	Alveolar proteinosis	alveolar proteinosis	Respiratory
HP_0006527	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	False	RE_481.6	Lymphoid interstitial pneumonia	lymphoid interstitial pneumonia	Respiratory
HP_0006548	Pulmonary arteriovenous malformation	pulmonary arteriovenous malformation	True	CV_441.2	Pulmonary arteriovenous malformation	pulmonary arteriovenous malformation	Cardiovascular
HP_0006548	Pulmonary arteriovenous malformation	pulmonary arteriovenous malformation	True	CM_763.153	Congenital pulmonary arteriovenous malformation	congenital pulmonary arteriovenous malformation	Congenital
HP_0006688	Paroxysmal tachycardia	paroxysmal tachycardia	True	CV_416.1	Paroxysmal tachycardia	paroxysmal tachycardia	Cardiovascular
HP_0100584	Endocarditis	endocarditis	True	CV_410.2	Endocarditis	endocarditis	Cardiovascular
HP_0006702	Coronary artery dissection	coronary artery dissection	True	CV_438.43	Coronary artery dissection	coronary artery dissection	Cardiovascular
HP_0100833	Neoplasm of the small intestine	neoplasm of the small intestine	True	CA_101.3	Malignant neoplasm of the small intestine	malignant neoplasm of the small intestine	Neoplasms
HP_0100833	Neoplasm of the small intestine	neoplasm of the small intestine	True	CA_136.3	Benign neoplasm of the small intestine	benign neoplasm of the small intestine	Neoplasms
HP_0006723	Intestinal carcinoid	intestinal carcinoid	True	CA_114.41	Intestinal carcinoid	intestinal carcinoid	Neoplasms
HP_0006739	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	True	CA_103.22	Squamous cell carcinoma of the skin	squamous cell carcinoma of the skin	Neoplasms
HP_0006775	Multiple myeloma	multiple myeloma	True	CA_123.1	Multiple myeloma	multiple myeloma	Neoplasms
HP_0006824	Cranial nerve palsies	cranial nerve palsies	False	NS_334.9	Multiple cranial nerve palsies	multiple cranial nerve palsies	Neurological
HP_0007269	Spinal muscular atrophy	spinal muscular atrophy	True	GE_972.41	Spinal muscular atrophy	spinal muscular atrophy	Genetic
HP_0007011	Trochlear nerve palsy	trochlear nerve palsy	False	NS_334.42	Fourth [trochlear] nerve palsy	fourth trochlear nerve palsy	Neurological
HP_0100786	Hypersomnia	hypersomnia	True	NS_333.3	Hypersomnia	hypersomnia	Neurological
HP_0030319	Facial weakness	facial weakness	False	NS_334.23	Facial weakness	facial weakness	Neurological
HP_0007302	Bipolar disorder	bipolar disorder	False	MB_286.1	Bipolar disorder	bipolar disorder	Mental
HP_0007313	Cerebral degeneration	cerebral degeneration	True	NS_328.3	Cerebral degeneration	cerebral degeneration	Neurological
HP_0007354	Amyotrophic lateral sclerosis	amyotrophic lateral sclerosis	True	NS_323.31	Amyotrophic lateral sclerosis [ALS]	amyotrophic lateral sclerosis als	Neurological
HP_0007417	Discoid lupus erythematosus	discoid lupus erythematosus	False	SO_360.54	Discoid lupus erythematosus of eyelid	discoid lupus erythematosus of eyelid	Sense organs
HP_0007430	Generalized edema	generalized edema	True	SS_812.1	Generalized edema*	generalized edema	Symptoms
HP_0007431	Congenital ichthyosis	congenital ichthyosis	False	GE_977.1	Congenital ichthyosis	congenital ichthyosis	Genetic
HP_0007475	Congenital bullous ichthyosiform erythroderma	congenital bullous ichthyosiform erythroderma	True	GE_977.14	Congenital bullous ichthyosiform erythroderma*	congenital bullous ichthyosiform erythroderma	Genetic
HP_0012032	Lipoma	lipoma	True	CA_139.5	Lipoma	lipoma	Neoplasms
HP_0100018	Nuclear cataract	nuclear cataract	True	SO_371.3	Nuclear cataract	nuclear cataract	Sense organs
HP_0007769	Peripheral retinal degeneration	peripheral retinal degeneration	True	SO_374.6	Peripheral retinal degeneration	peripheral retinal degeneration	Sense organs
HP_0007707	Congenital aphakia	congenital aphakia	True	CM_751.211	Congenital aphakia	congenital aphakia	Congenital
HP_0030666	Retinal neovascularization	retinal neovascularization	True	SO_374.33	Retinal neovascularization	retinal neovascularization	Sense organs
HP_0007802	Granular corneal dystrophy	granular corneal dystrophy	True	GE_974.23	Granular corneal dystrophy	granular corneal dystrophy	Genetic
HP_0012804	Corneal ulcer	corneal ulcer	False	SO_367.21	Corneal ulcer	corneal ulcer	Sense organs
HP_0007879	Allergic conjunctivitis	allergic conjunctivitis	True	SO_367.12	Allergic conjunctivitis	allergic conjunctivitis	Sense organs
HP_0007898	Exudative retinopathy	exudative retinopathy	True	SO_374.43	Exudative retinopathy	exudative retinopathy	Sense organs
HP_0007902	Vitreous hemorrhage	vitreous hemorrhage	True	SO_377.5	Vitreous hemorrhage	vitreous hemorrhage	Sense organs
HP_0007902	Vitreous haemorrhage	vitreous hemorrhage	False	SO_377.5	Vitreous hemorrhage	vitreous hemorrhage	Sense organs
HP_0007906	Ocular hypertension	ocular hypertension	True	SO_375.6	Ocular hypertension	ocular hypertension	Sense organs
HP_0007970	Congenital ptosis	congenital ptosis	True	CM_751.711	Congenital ptosis	congenital ptosis	Congenital
HP_0011499	Mydriasis	mydriasis	True	SO_384.3	Mydriasis	mydriasis	Sense organs
HP_0008028	Cystoid macular degeneration	cystoid macular degeneration	True	SO_374.53	Cystoid macular degeneration	cystoid macular degeneration	Sense organs
HP_0025188	Retinal vasculitis	retinal vasculitis	True	SO_374.34	Retinal vasculitis	retinal vasculitis	Sense organs
HP_0008080	Hallux varus	hallux varus	True	MS_709.23	Hallux varus	hallux varus	Muscloskeletal
HP_0008209	Premature menopause	premature menopause	False	EM_214.11	Premature menopause	premature menopause	Endocrine/Metab
HP_0008222	Female infertility	female infertility	True	GU_629	Female infertility	female infertility	Genitourinary
HP_0008245	Secondary hypothyroidism	secondary hypothyroidism	False	EM_200.11	Secondary hypothyroidism	secondary hypothyroidism	Endocrine/Metab
HP_0008419	Degenerative disc disease	degenerative disk disease	False	MS_716.2	Degenerative disc disease	degenerative disk disease	Muscloskeletal
HP_0008551	Microtia	microtia	True	CM_752.11	Microtia	microtia	Congenital
HP_0008772	Aplasia/Hypoplasia of the external ear	aplasiahypoplasia of the external ear	True	CM_752.1	Aplasia/Hypoplasia of the external ear	aplasiahypoplasia of the external ear	Congenital
HP_0008629	Pulsatile tinnitus	pulsatile tinnitus	True	SO_397.11	Pulsatile tinnitus*	pulsatile tinnitus	Sense organs
HP_0008653	Crescentic glomerulonephritis	crescentic glomerulonephritis	True	GU_580.57	Diffuse crescentic glomerulonephritis*	diffuse crescentic glomerulonephritis	Genitourinary
HP_0008676	Congenital megaureter	congenital megaureter	True	CM_761.23	Congenital megaureter*	congenital megaureter	Congenital
HP_0008711	Benign prostatic hyperplasia	benign prostatic hyperplasia	True	GU_602.1	Benign prostatic hyperplasia	benign prostatic hyperplasia	Genitourinary
HP_0010480	Urethral fistula	urethral fistula	True	GU_597.3	Urethral fistula	urethral fistula	Genitourinary
HP_0008722	Urethral diverticulum	urethral diverticulum	True	GU_597.4	Urethral diverticulum	urethral diverticulum	Genitourinary
HP_0008749	Laryngeal hypoplasia	laryngeal hypoplasia	True	CM_762.13	Laryngeal hypoplasia*	laryngeal hypoplasia	Congenital
HP_0008765	Auditory hallucinations	auditory hallucinations	True	MB_308.32	Auditory hallucinations*	auditory hallucinations	Mental
HP_0009071	Inflammatory myopathy	inflammatory myopathy	True	MS_700.4	Inflammatory myopathy	inflammatory myopathy	Muscloskeletal
HP_0009710	Chilblains	chilblains	True	DE_677	Chilblains	chilblains	Dermatological
HP_0100544	Neoplasm of the heart	neoplasm of the heart	True	CA_102.51	Malignant neoplasm of the heart	malignant neoplasm of the heart	Neoplasms
HP_0100544	Neoplasm of the heart	neoplasm of the heart	True	CA_137.51	Benign neoplasm of the heart	benign neoplasm of the heart	Neoplasms
HP_0009794	Branchial anomaly	branchial anomaly	True	CM_753.1	Branchial anomaly	branchial anomaly	Congenital
HP_0009800	gestational diabetes	gestational diabetes	False	PP_909.1	Gestational diabetes mellitus*	gestational diabetes mellitus	Pregnancy
HP_0009806	Nephrogenic diabetes insipidus	nephrogenic diabetes insipidus	True	GU_588.12	Nephrogenic diabetes insipidus	nephrogenic diabetes insipidus	Genitourinary
HP_0009916	Anisocoria	anisocoria	True	SO_384.1	Anisocoria	anisocoria	Sense organs
HP_0009926	Epiphora	epiphora	True	SO_363.5	Epiphora	epiphora	Sense organs
HP_0010280	Stomatitis	stomatitis	True	GI_507.1	Stomatitis	stomatitis	Gastrointestinal
HP_0010296	Ankyloglossia	ankyloglossia	True	NB_871.4	Ankyloglossia	ankyloglossia	Neonatal
HP_0010316	Ebstein anomaly of the tricuspid valve	ebstein anomaly of the tricuspid valve	True	CM_763.222	Ebstein anomaly of the tricuspid valve	ebstein anomaly of the tricuspid valve	Congenital
HP_0100819	Intestinal fistula	intestinal fistula	True	GI_532.1	Intestinal fistula	intestinal fistula	Gastrointestinal
HP_0010478	Abnormality of the urachus	abnormality of the urachus	True	CM_761.34	Abnormality of the urachus	abnormality of the urachus	Congenital
HP_0010532	Paroxysmal vertigo	paroxysmal vertigo	True	SO_394.21	Paroxysmal vertigo	paroxysmal vertigo	Sense organs
HP_0010534	Transient global amnesia	transient global amnesia	True	NS_329.6	Transient global amnesia	transient global amnesia	Neurological
HP_0010536	Central sleep apnea	central sleep apnea	True	NS_333.12	Central sleep apnea	central sleep apnea	Neurological
HP_0010605	Chalazion	chalazion	True	SO_360.2	Chalazion	chalazion	Sense organs
HP_0010606	Hordeolum	hordeolum	True	SO_360.1	Hordeolum	hordeolum	Sense organs
HP_0010619	Fibroadenosis of breast	fibroadenosis of breast	False	GU_610.2	Fibroadenosis of breast	fibroadenosis of breast	Genitourinary
HP_0010677	Nocturnal enuresis	nocturnal enuresis	False	GU_594.33	Nocturnal enuresis	nocturnal enuresis	Genitourinary
HP_0010735	Polyostotic fibrous dysplasia	polyostotic fibrous dysplasia	True	GE_978.35	Polyostotic fibrous dysplasia	polyostotic fibrous dysplasia	Genetic
HP_0010749	Blepharochalasis	blepharochalasis	True	SO_361.4	Blepharochalasis	blepharochalasis	Sense organs
HP_0010769	Pilonidal cyst	pilonidal cyst	False	DE_682.2	Pilonidal cyst	pilonidal cyst	Dermatological
HP_0010774	Cor triatriatum	cor triatriatum	True	CM_763.34	Cor triatriatum	cor triatriatum	Congenital
HP_0010775	Vascular ring of aorta	vascular ring of aorta	False	CM_763.146	Vascular ring of aorta*	vascular ring of aorta	Congenital
HP_0010780	Hyperacusis	hyperacusis	True	SO_397.3	Hyperacusis	hyperacusis	Sense organs
HP_0010828	Hemifacial spasm	hemifacial spasm	True	NS_334.24	Clonic hemifacial spasm*	clonic hemifacial spasm	Neurological
HP_0010882	Pulmonary valve atresia	pulmonary valve atresia	True	CM_763.211	Congenital pulmonary valve atresia	congenital pulmonary valve atresia	Congenital
HP_0010885	Osteonecrosis	osteonecrosis	False	MS_727.1	Osteonecrosis	osteonecrosis	Muscloskeletal
HP_0010886	Osteochondritis dissecans	osteochondritis dissecans	True	MS_728.2	Osteochondritis dissecans	osteochondritis dissecans	Muscloskeletal
HP_0040188	Osteochondrosis	osteochondrosis	True	MS_725	Osteochondrosis	osteochondrosis	Muscloskeletal
HP_0040188	Osteochondrosis	osteochondrosis	True	MS_725.1	Spinal osteochondrosis	spinal osteochondrosis	Muscloskeletal
HP_0010906	Histidinemia	histidinemia	False	GE_962.141	Histidinemia*	histidinemia	Genetic
HP_0010954	Hypoplastic right heart	hypoplastic right heart	True	CM_763.24	Hypoplastic right heart syndrome*	hypoplastic right heart syndrome	Congenital
HP_0010954	Hypoplastic right heart syndrome	hypoplastic right heart syndrome	False	CM_763.24	Hypoplastic right heart syndrome*	hypoplastic right heart syndrome	Congenital
HP_0011099	Spastic hemiplegia	spastic hemiplegia	False	NS_341.22	Spastic hemiplegia	spastic hemiplegia	Neurological
HP_0011106	Hypovolemia	hypovolemia	True	EM_256.72	Hypovolemia	hypovolemia	Endocrine/Metab
HP_0011109	Chronic sinusitis	chronic sinusitis	True	RE_462.2	Chronic sinusitis	chronic sinusitis	Respiratory
HP_0011126	Nephroptosis	nephroptosis	True	GU_586.6	Nephroptosis	nephroptosis	Genitourinary
HP_0011141	Age-related cataract	age-related cataract	True	SO_371.1	Cortical age-related cataract	cortical age-related cataract	Sense organs
HP_0011416	Placental infarction	placental infarction	True	PP_907.7	Placental infarction*	placental infarction	Pregnancy
HP_0011445	Athetoid cerebral palsy	athetoid cerebral palsy	True	NS_341.12	Athetoid cerebral palsy	athetoid cerebral palsy	Neurological
HP_0011496	Corneal neovascularization	corneal neovascularization	True	SO_369.3	Corneal neovascularization	corneal neovascularization	Sense organs
HP_0011570	Congenital mitral stenosis	congenital mitral stenosis	True	CM_763.233	Congenital mitral stenosis	congenital mitral stenosis	Congenital
HP_0011581	Double outlet left ventricle	double outlet left ventricle	True	CM_763.17	Double outlet left ventricle*	double outlet left ventricle	Congenital
HP_0011704	Sick sinus syndrome	sick sinus syndrome	True	CV_416.71	Sick sinus syndrome*	sick sinus syndrome	Cardiovascular
HP_0011710	Bundle branch block	bundle branch block	True	CV_416.42	Left bundle branch block	left bundle branch block	Cardiovascular
HP_0011710	Bundle branch block	bundle branch block	True	CV_416.43	Right bundle branch block	right bundle branch block	Cardiovascular
HP_0011712	Right bundle branch block	right bundle branch block	True	CV_416.43	Right bundle branch block	right bundle branch block	Cardiovascular
HP_0011726	Persistent fetal circulation	persistent fetal circulation	True	NB_853.6	Persistent fetal circulation	persistent fetal circulation	Neonatal
HP_0011726	Persistent foetal circulation	persistent fetal circulation	False	NB_853.6	Persistent fetal circulation	persistent fetal circulation	Neonatal
HP_0100648	Neoplasm of the tongue	neoplasm of the tongue	True	CA_100.12	Malignant neoplasm of the tongue	malignant neoplasm of the tongue	Neoplasms
HP_0100648	Neoplasm of the tongue	neoplasm of the tongue	True	CA_135.12	Benign neoplasm of the tongue	benign neoplasm of the tongue	Neoplasms
HP_0011841	Ventricular flutter	ventricular flutter	True	CV_416.32	Ventricular flutter	ventricular flutter	Cardiovascular
HP_0011851	Hemopericardium	hemopericardium	True	CV_411.1	Hemopericardium NEC	hemopericardium nec	Cardiovascular
HP_0011854	Hemoperitoneum	hemoperitoneum	True	GI_537.2	Hemoperitoneum	hemoperitoneum	Gastrointestinal
HP_0011856	Pica	pica	True	MB_293.5	Pica	pica	Mental
HP_0011859	Punctate keratitis	punctate keratitis	True	SO_367.22	Punctate keratitis	punctate keratitis	Sense organs
HP_0011868	Sciatica	sciatica	True	MS_718.5	Sciatica	sciatica	Muscloskeletal
HP_0011874	Heparin-induced thrombocytopenia	heparin-induced thrombocytopenia	True	BI_169.15	Heparin-induced thrombocytopenia [HIT]	heparin-induced thrombocytopenia hit	Blood/Immune
HP_0011886	Hyphema	hyphema	True	SO_377.8	Hyphema	hyphema	Sense organs
HP_0011945	Cryptogenic organising pneumonia	cryptogenic organizing pneumonia	False	RE_481.45	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	Respiratory
HP_0011945	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	False	RE_481.45	Cryptogenic organizing pneumonia	cryptogenic organizing pneumonia	Respiratory
HP_0011950	Bronchiolitis	bronchiolitis	True	RE_470	Acute bronchiolitis	acute bronchiolitis	Respiratory
HP_0011967	Copper deficiency	copper deficiency	False	EM_247.87	Copper deficiency*	copper deficiency	Endocrine/Metab
HP_0011970	Cerebral amyloid angiopathy	cerebral amyloid angiopathy	True	EM_249.1	Cerebral amyloid angiopathy*	cerebral amyloid angiopathy	Endocrine/Metab
HP_0011971	Dermatographic urticaria	dermatographic urticaria	True	DE_666.4	Dermatographic urticaria	dermatographic urticaria	Dermatological
HP_0011974	Myelofibrosis	myelofibrosis	True	CA_124.8	Myelofibrosis	myelofibrosis	Neoplasms
HP_0012035	Steatocystoma multiplex	steatocystoma multiplex	True	GE_977.7	Steatocystoma multiplex*	steatocystoma multiplex	Genetic
